Problem,Num_customer,NV,Distance
C101,25,3,191.3
C102,25,3,190.3
C103,25,3,190.3
C104,25,3,186.9
C105,25,3,191.3
C106,25,3,191.3
C107,25,3,191.3
C108,25,3,191.3
C109,25,3,191.3
