Date: 07-15 at 17:46:08, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1611.46(6) mean: 3233.79, max: 4213.96
Date: 07-15 at 17:46:45, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1554.59(6) mean: 2720.56, max: 3752.78
Date: 07-15 at 17:47:18, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1521.95(9) mean: 2406.33, max: 3259.93
Date: 07-15 at 17:47:51, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1424.99(9) mean: 1584.86, max: 1732.57
Date: 07-15 at 17:48:33, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1391.91(11) mean: 1617.76, max: 1802.60
Date: 07-15 at 17:49:22, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1380.30(10) mean: 1636.24, max: 1833.55
Date: 07-15 at 17:50:06, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1366.15(9) mean: 1697.60, max: 1842.51
Date: 07-15 at 17:50:46, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1366.15(9) mean: 1662.62, max: 1827.74
Date: 07-15 at 17:51:30, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1366.15(9) mean: 1426.77, max: 1614.07
Date: 07-15 at 17:52:13, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1366.15(9) mean: 1437.81, max: 1504.27
Date: 07-15 at 17:52:46, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1366.15(9) mean: 1461.84, max: 1547.26
Date: 07-15 at 17:53:28, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1350.38(9) mean: 1398.79, max: 1457.71
Date: 07-15 at 17:54:12, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1347.70(9) mean: 1447.36, max: 1558.44
Date: 07-15 at 17:55:02, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1342.49(9) mean: 1377.26, max: 1413.58
Date: 07-15 at 17:55:42, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1340.95(9) mean: 1382.68, max: 1440.31
Date: 07-15 at 17:56:26, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1339.47(9) mean: 1378.06, max: 1456.45
Date: 07-15 at 17:57:00, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1339.47(9) mean: 1461.05, max: 1530.58
Date: 07-15 at 17:57:47, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1339.47(9) mean: 1468.74, max: 1553.51
Date: 07-15 at 17:58:35, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1311.55(11) mean: 1436.15, max: 1620.59
Date: 07-15 at 17:59:13, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1278.10(11) mean: 1493.43, max: 1652.34
Date: 07-15 at 17:59:50, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1277.73(11) mean: 1520.31, max: 1657.40
Date: 07-15 at 18:00:39, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1262.56(11) mean: 1462.86, max: 1675.06
Date: 07-15 at 18:01:19, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1260.72(11) mean: 1508.56, max: 1723.84
Date: 07-15 at 18:02:03, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1242.30(10) mean: 1440.20, max: 1727.73
Date: 07-15 at 18:02:52, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1234.88(10) mean: 1353.72, max: 1586.15
Date: 07-15 at 18:03:41, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1234.03(10) mean: 1321.39, max: 1456.89
Date: 07-15 at 18:04:19, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1234.03(10) mean: 1379.20, max: 1529.42
Date: 07-15 at 18:05:09, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1233.05(10) mean: 1265.58, max: 1328.15
Date: 07-15 at 18:05:53, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1231.72(10) mean: 1250.31, max: 1301.84
Date: 07-15 at 18:06:37, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1231.72(10) mean: 1253.14, max: 1314.42
Date: 07-15 at 18:07:19, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1231.72(10) mean: 1308.82, max: 1384.97
Date: 07-15 at 18:08:09, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1231.72(10) mean: 1249.46, max: 1387.90
Date: 07-15 at 18:08:56, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1229.70(10) mean: 1240.49, max: 1285.48
Date: 07-15 at 18:09:44, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1227.24(10) mean: 1239.85, max: 1283.35
Date: 07-15 at 18:10:29, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1264.22, max: 1309.96
Date: 07-15 at 18:11:16, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1264.97, max: 1339.75
Date: 07-15 at 18:12:07, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1240.56, max: 1289.28
Date: 07-15 at 18:12:53, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1262.88, max: 1312.76
Date: 07-15 at 18:13:40, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1235.24, max: 1326.48
Date: 07-15 at 18:14:23, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1225.76, max: 1265.66
Date: 07-15 at 18:15:06, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1223.26, max: 1265.33
Date: 07-15 at 18:15:49, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1223.26, max: 1265.33
Date: 07-15 at 18:16:34, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1223.26, max: 1265.33
Date: 07-15 at 18:17:19, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1223.26, max: 1265.33
Date: 07-15 at 18:18:07, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1223.33, max: 1266.42
Date: 07-15 at 18:18:51, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1220.25(10) mean: 1223.26, max: 1265.33
