Date: 07-16 at 03:04:37, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1766.98(6) mean: 4008.63, max: 4815.26
Date: 07-16 at 03:05:18, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1583.85(6) mean: 3652.23, max: 4344.57
Date: 07-16 at 03:06:03, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1507.68(5) mean: 3585.84, max: 4232.67
Date: 07-16 at 03:06:37, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1494.98(5) mean: 2151.76, max: 3137.41
Date: 07-16 at 03:07:11, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1425.40(8) mean: 1495.10, max: 1608.49
Date: 07-16 at 03:07:43, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1418.14(8) mean: 1490.06, max: 1593.10
Date: 07-16 at 03:08:15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1413.94(8) mean: 1549.69, max: 1656.24
Date: 07-16 at 03:08:46, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1413.94(8) mean: 1614.97, max: 1726.18
Date: 07-16 at 03:09:29, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1378.40(8) mean: 1528.66, max: 1753.49
Date: 07-16 at 03:10:14, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1377.49(8) mean: 1597.01, max: 1817.22
Date: 07-16 at 03:11:00, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1355.90(8) mean: 1432.91, max: 1566.89
Date: 07-16 at 03:11:40, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1095.64 best obj: 1348.67(9) mean: 1442.04, max: 1536.48
