Date: 09-17 at 13:39:45, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1501.54(14), mean: 3124.62, max: 3793.91
Date: 09-17 at 13:41:01, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1207.06(14), mean: 3006.24, max: 3606.72
Date: 09-17 at 13:42:26, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1166.43(13), mean: 2866.79, max: 3589.08
Date: 09-17 at 13:43:43, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1163.33(13), mean: 2794.18, max: 3573.10
Date: 09-17 at 13:44:59, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1163.33(13), mean: 2399.24, max: 3211.24
Date: 09-17 at 13:46:18, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1163.33(13), mean: 2325.37, max: 3121.12
Date: 09-17 at 13:47:45, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1136.06(14), mean: 1791.04, max: 3094.93
Date: 09-17 at 13:49:03, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1132.73(14), mean: 1718.94, max: 3064.88
Date: 09-17 at 13:50:36, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1131.35(14), mean: 1288.03, max: 1451.32
Date: 09-17 at 13:52:01, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1077.18(14), mean: 1227.01, max: 1435.40
Date: 09-17 at 13:53:25, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1069.84(14), mean: 1194.75, max: 1303.51
Date: 09-17 at 13:54:43, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1048.68(12), mean: 1134.51, max: 1243.36
Date: 09-17 at 13:55:58, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1018.96(12), mean: 1166.77, max: 1299.09
Date: 09-17 at 13:57:19, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1011.24(12), mean: 1125.65, max: 1209.20
Date: 09-17 at 13:58:44, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1011.24(12), mean: 1138.91, max: 1221.18
Date: 09-17 at 14:00:05, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1011.24(12), mean: 1129.63, max: 1234.23
Date: 09-17 at 14:01:20, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1011.24(12), mean: 1130.86, max: 1216.88
Date: 09-17 at 14:02:39, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 1011.24(12), mean: 1099.88, max: 1213.67
Date: 09-17 at 14:03:58, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 978.01(12), mean: 1233.82, max: 1491.37
Date: 09-17 at 14:05:11, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 978.01(12), mean: 1182.35, max: 1478.21
Date: 09-17 at 14:06:27, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 951.21(11), mean: 1194.55, max: 1441.08
Date: 09-17 at 14:07:44, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 948.56(11), mean: 1092.09, max: 1223.03
Date: 09-17 at 14:08:58, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 948.56(11), mean: 1110.07, max: 1256.11
Date: 09-17 at 14:10:16, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 904.77(11), mean: 1026.51, max: 1110.28
Date: 09-17 at 14:11:21, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 889.97(11), mean: 1055.86, max: 1149.21
Date: 09-17 at 14:12:33, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 861.35(11), mean: 935.04, max: 1011.17
Date: 09-17 at 14:13:39, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 860.57(11), mean: 942.27, max: 1018.35
