Date: 07-09 at 09:16:51, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1579.73(14) mean: 2504.08, max: 3174.12
Date: 07-09 at 09:17:39, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1431.18(14) mean: 2455.28, max: 3087.38
Date: 07-09 at 09:18:29, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1421.69(14) mean: 2431.49, max: 3067.20
Date: 07-09 at 09:19:24, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.52(14) mean: 2455.54, max: 3098.53
Date: 07-09 at 09:20:14, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 2492.18, max: 3136.87
Date: 07-09 at 09:21:07, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 2037.26, max: 3069.86
Date: 07-09 at 09:22:03, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1565.69, max: 1744.22
Date: 07-09 at 09:22:50, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1570.91, max: 1789.57
Date: 07-09 at 09:23:37, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1601.94, max: 1854.56
Date: 07-09 at 09:24:31, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1607.13, max: 1926.63
Date: 07-09 at 09:25:21, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1542.16, max: 2004.56
Date: 07-09 at 09:26:11, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1513.59, max: 1600.92
Date: 07-09 at 09:27:04, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1511.35, max: 1654.54
Date: 07-09 at 09:27:51, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1523.91, max: 1713.62
Date: 07-09 at 09:28:41, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1518.70, max: 1679.80
Date: 07-09 at 09:29:35, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1479.35, max: 1555.74
Date: 07-09 at 09:30:19, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1528.55, max: 1620.79
Date: 07-09 at 09:31:10, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1500.01, max: 1661.59
Date: 07-09 at 09:32:04, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1518.85, max: 1713.59
Date: 07-09 at 09:32:53, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1450.85, max: 1518.60
Date: 07-09 at 09:33:42, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1490.81, max: 1590.98
Date: 07-09 at 09:34:35, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1447.65, max: 1513.91
Date: 07-09 at 09:35:22, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1459.65, max: 1531.42
Date: 07-09 at 09:36:13, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1445.73, max: 1513.91
Date: 07-09 at 09:37:05, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1467.17, max: 1534.14
Date: 07-09 at 09:37:54, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1460.04, max: 1567.36
Date: 07-09 at 09:38:43, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1466.30, max: 1613.59
Date: 07-09 at 09:39:34, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1462.48, max: 1566.99
Date: 07-09 at 09:40:24, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1444.09, max: 1513.91
Date: 07-09 at 09:41:14, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1434.64, max: 1513.91
Date: 07-09 at 09:42:06, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1435.18, max: 1513.91
Date: 07-09 at 09:42:57, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1454.78, max: 1554.73
Date: 07-09 at 09:43:43, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1477.04, max: 1570.95
Date: 07-09 at 09:44:34, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1437.98, max: 1578.13
Date: 07-09 at 09:45:27, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1425.15, max: 1513.91
Date: 07-09 at 09:46:14, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1431.55, max: 1551.54
Date: 07-09 at 09:47:02, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 1261.67 best obj: 1398.14(14) mean: 1472.32, max: 1653.58
