Date: 07-28 at 20:28:49, #particle: 35, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1377.89(16), mean: 2611.42, max: 3103.23
Date: 07-28 at 20:31:59, #particle: 35, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1300.81(15), mean: 2431.26, max: 3122.82
Date: 07-28 at 20:35:07, #particle: 35, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1297.08(15), mean: 2068.09, max: 2983.44
Date: 07-28 at 20:38:09, #particle: 35, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1297.08(15), mean: 1910.91, max: 2942.93
Date: 07-28 at 20:41:14, #particle: 35, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1290.78(16), mean: 1772.03, max: 2880.91
Date: 07-28 at 20:44:17, #particle: 35, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1282.16(16), mean: 1779.82, max: 2918.26
Date: 07-28 at 20:47:22, #particle: 35, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1282.16(16), mean: 1707.35, max: 2830.64
Date: 07-28 at 20:50:36, #particle: 35, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1282.16(16), mean: 1573.99, max: 2747.74
Date: 07-28 at 20:53:46, #particle: 35, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1282.16(16), mean: 1386.63, max: 1492.82
Date: 07-28 at 20:56:40, #particle: 35, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1282.16(16), mean: 1393.35, max: 1512.50
Date: 07-28 at 20:59:43, #particle: 35, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1282.16(16), mean: 1383.79, max: 1538.43
Date: 07-28 at 21:02:42, #particle: 35, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.87(16), mean: 1389.94, max: 1581.11
Date: 07-28 at 21:05:57, #particle: 35, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1265.17(16), mean: 1343.75, max: 1594.55
Date: 07-28 at 21:08:53, #particle: 35, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1370.88, max: 1639.39
Date: 07-28 at 21:11:54, #particle: 35, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1364.38, max: 1462.55
Date: 07-28 at 21:14:53, #particle: 35, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1367.01, max: 1439.85
Date: 07-28 at 21:17:55, #particle: 35, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1357.46, max: 1466.27
Date: 07-28 at 21:20:56, #particle: 35, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1357.08, max: 1476.86
Date: 07-28 at 21:23:59, #particle: 35, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1346.55, max: 1498.80
Date: 07-28 at 21:27:06, #particle: 35, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1335.71, max: 1507.80
Date: 07-28 at 21:30:09, #particle: 35, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1335.26, max: 1503.45
Date: 07-28 at 21:33:02, #particle: 35, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1361.01, max: 1493.48
Date: 07-28 at 21:36:14, #particle: 35, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1261.79(16), mean: 1321.14, max: 1401.31
Date: 07-28 at 21:39:19, #particle: 35, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1213.62, best obj: 1253.40(15), mean: 1320.75, max: 1376.55
