Date: 07-29 at 00:58:59, #particle: 15, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8796.05, max: 9533.13
Date: 07-29 at 01:10:40, #particle: 15, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8813.54, max: 9508.89
Date: 07-29 at 01:22:25, #particle: 15, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8726.61, max: 9416.20
Date: 07-29 at 01:34:13, #particle: 15, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8743.56, max: 9452.32
Date: 07-29 at 01:46:10, #particle: 15, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8724.45, max: 9432.49
Date: 07-29 at 01:58:06, #particle: 15, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8754.70, max: 9464.44
Date: 07-29 at 02:10:11, #particle: 15, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8717.91, max: 9393.53
Date: 07-29 at 02:22:21, #particle: 15, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8560.94, max: 9349.70
Date: 07-29 at 02:34:35, #particle: 15, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8546.68, max: 9352.03
Date: 07-29 at 03:09:06, #particle: 15, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8672.29, max: 9360.72
Date: 07-29 at 03:20:46, #particle: 15, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8681.84, max: 9389.41
Date: 07-29 at 03:32:36, #particle: 15, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8691.07, max: 9448.96
Date: 07-29 at 03:45:25, #particle: 15, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6276.90, max: 6663.23
Date: 07-29 at 03:57:16, #particle: 15, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6335.56, max: 6752.68
Date: 07-29 at 04:09:08, #particle: 15, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6387.77, max: 6777.50
Date: 07-29 at 04:21:04, #particle: 15, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6438.35, max: 6751.52
Date: 07-29 at 04:33:00, #particle: 15, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6512.09, max: 6888.95
Date: 07-29 at 04:45:04, #particle: 15, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 6489.15, max: 6909.15
Date: 07-29 at 05:17:12, #particle: 15, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 4784.11, best obj: 5192.82(31), mean: 8794.89, max: 9446.55
