Date: 09-04 at 04:00:02, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6244.73, max: 6902.11
Date: 09-04 at 04:05:36, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6294.33, max: 6977.01
Date: 09-04 at 04:11:04, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6380.95, max: 7012.46
Date: 09-04 at 04:17:37, #particle: 15, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 9950.27, max: 11812.39
Date: 09-04 at 04:24:07, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6530.74, max: 7070.68
Date: 09-04 at 04:29:33, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6583.59, max: 7131.50
Date: 09-04 at 04:35:18, #particle: 15, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6647.57, max: 7223.37
Date: 09-04 at 04:41:00, #particle: 15, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6668.50, max: 7363.06
Date: 09-04 at 04:47:29, #particle: 15, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6098.70, max: 6609.37
Date: 09-04 at 04:53:01, #particle: 15, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6196.88, max: 6722.76
Date: 09-04 at 04:58:54, #particle: 15, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6212.45, max: 6744.76
Date: 09-04 at 05:04:43, #particle: 15, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6245.27, max: 6864.49
Date: 09-04 at 05:10:56, #particle: 15, iter: 61, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 9613.98, max: 10520.67
Date: 09-04 at 05:16:22, #particle: 15, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 9499.18, max: 10401.58
Date: 09-04 at 05:22:48, #particle: 15, iter: 63, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 9187.22, max: 10195.14
Date: 09-04 at 05:28:27, #particle: 15, iter: 64, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 8654.83, max: 10161.37
Date: 09-04 at 05:34:10, #particle: 15, iter: 66, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 8508.62, max: 10196.34
Date: 09-04 at 05:39:55, #particle: 15, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 8310.53, max: 10114.41
Date: 09-04 at 05:45:34, #particle: 15, iter: 68, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 8306.98, max: 10051.99
Date: 09-04 at 05:51:21, #particle: 15, iter: 69, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 8332.87, max: 9993.51
Date: 09-04 at 05:56:59, #particle: 15, iter: 71, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 8337.46, max: 9870.62
Date: 09-04 at 06:03:02, #particle: 15, iter: 73, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 9733.34, max: 11501.62
Date: 09-04 at 06:09:33, #particle: 15, iter: 74, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6288.76, max: 6717.83
Date: 09-04 at 06:14:55, #particle: 15, iter: 75, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6397.91, max: 6761.33
Date: 09-04 at 06:20:23, #particle: 15, iter: 77, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6690.55, max: 7216.42
Date: 09-04 at 06:25:57, #particle: 15, iter: 78, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6771.75, max: 7398.56
