Date: 08-08 at 09:25:22, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1852.99(19), mean: 2945.89, max: 3395.25
Date: 08-08 at 09:26:09, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1753.00(18), mean: 2905.82, max: 3418.17
Date: 08-08 at 09:26:49, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1725.54(18), mean: 2743.85, max: 3343.27
Date: 08-08 at 09:27:31, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 2563.45, max: 3353.18
Date: 08-08 at 09:28:19, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 2343.50, max: 3342.60
Date: 08-08 at 09:29:05, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 2184.63, max: 3352.30
Date: 08-08 at 09:29:47, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 2166.88, max: 3380.22
Date: 08-08 at 09:30:29, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 2054.50, max: 3009.54
Date: 08-08 at 09:31:16, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 1929.95, max: 2761.93
Date: 08-08 at 09:31:55, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 1931.48, max: 2088.86
Date: 08-08 at 09:32:35, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 1974.69, max: 2147.03
Date: 08-08 at 09:33:22, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1721.24(18), mean: 1886.06, max: 2053.17
Date: 08-08 at 09:34:04, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1710.47(18), mean: 1827.57, max: 2079.93
Date: 08-08 at 09:34:50, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1685.04(18), mean: 1799.50, max: 2024.05
Date: 08-08 at 09:35:31, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1685.03(17), mean: 1839.16, max: 2051.40
Date: 08-08 at 09:36:15, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1680.87(19), mean: 1757.72, max: 1976.99
Date: 08-08 at 09:36:58, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1665.39(17), mean: 1762.58, max: 1843.90
Date: 08-08 at 09:37:41, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1665.39(17), mean: 1729.01, max: 1796.44
Date: 08-08 at 09:38:19, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1664.16(17), mean: 1756.42, max: 1876.85
Date: 08-08 at 09:39:00, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1664.16(17), mean: 1802.39, max: 1945.95
Date: 08-08 at 09:39:44, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1664.16(17), mean: 1741.50, max: 1806.67
Date: 08-08 at 09:40:25, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1653.12(17), mean: 1726.11, max: 1788.73
Date: 08-08 at 09:41:07, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1653.12(17), mean: 1742.39, max: 1812.34
Date: 08-08 at 09:41:53, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1653.12(17), mean: 1708.24, max: 1808.62
Date: 08-08 at 09:42:34, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1653.12(17), mean: 1745.98, max: 1811.14
Date: 08-08 at 09:43:16, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1650.31(17), mean: 1713.41, max: 1878.96
Date: 08-08 at 09:43:57, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1715.88, max: 1842.90
Date: 08-08 at 09:44:41, #particle: 15, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1744.12, max: 1878.99
Date: 08-08 at 09:45:19, #particle: 15, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1782.98, max: 1922.89
Date: 08-08 at 09:46:05, #particle: 15, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1694.60, max: 1769.71
Date: 08-08 at 09:46:45, #particle: 15, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1726.92, max: 1842.60
Date: 08-08 at 09:47:25, #particle: 15, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1679.47, max: 1735.74
Date: 08-08 at 09:48:06, #particle: 15, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1723.55, max: 1834.62
Date: 08-08 at 09:48:50, #particle: 15, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1733.52, max: 1856.66
Date: 08-08 at 09:49:37, #particle: 15, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1649.13(17), mean: 1689.03, max: 1818.25
Date: 08-08 at 09:50:17, #particle: 15, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1643.73(17), mean: 1688.19, max: 1785.15
Date: 08-08 at 09:50:57, #particle: 15, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1643.73(17), mean: 1697.00, max: 1850.67
Date: 08-08 at 09:51:41, #particle: 15, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1643.73(17), mean: 1743.84, max: 1897.65
Date: 08-08 at 09:52:24, #particle: 15, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1643.50(17), mean: 1659.72, max: 1728.32
Date: 08-08 at 09:53:09, #particle: 15, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1642.27(17), mean: 1660.26, max: 1724.90
Date: 08-08 at 09:54:00, #particle: 15, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1642.27(17), mean: 1657.64, max: 1716.42
Date: 08-08 at 09:54:36, #particle: 15, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1640.37(17), mean: 1723.39, max: 1809.85
Date: 08-08 at 09:55:13, #particle: 15, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1640.37(17), mean: 1745.19, max: 1833.90
Date: 08-08 at 09:56:04, #particle: 15, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1640.37(17), mean: 1679.47, max: 1734.79
Date: 08-08 at 09:56:45, #particle: 15, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1640.37(17), mean: 1666.44, max: 1716.42
Date: 08-08 at 09:57:25, #particle: 15, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1693.06, max: 1766.43
Date: 08-08 at 09:58:06, #particle: 15, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1697.51, max: 1831.95
Date: 08-08 at 09:58:48, #particle: 15, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1653.50, max: 1730.36
Date: 08-08 at 09:59:30, #particle: 15, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1654.74, max: 1760.68
Date: 08-08 at 10:00:16, #particle: 15, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1646.94, max: 1732.50
Date: 08-08 at 10:00:58, #particle: 15, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1640.06, max: 1690.72
Date: 08-08 at 10:01:37, #particle: 15, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1640.93, max: 1689.90
Date: 08-08 at 10:02:19, #particle: 15, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1642.88, max: 1689.90
Date: 08-08 at 10:03:04, #particle: 15, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1642.64, max: 1726.60
Date: 08-08 at 10:03:46, #particle: 15, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1637.45, max: 1691.81
Date: 08-08 at 10:04:25, #particle: 15, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 2813.31, max: 3187.96
Date: 08-08 at 10:05:17, #particle: 15, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 1518.58, best obj: 1629.93(16), mean: 1876.96, max: 1996.60
