Date: 12-28 at 11:57:16, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 1160.43(5), mean: 3339.54, max: 3890.83
Date: 12-28 at 11:58:12, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 950.77(5), mean: 3170.92, max: 3560.56
Date: 12-28 at 11:59:10, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 775.75(5), mean: 2391.17, max: 2946.62
Date: 12-28 at 12:00:07, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 759.25(5), mean: 2292.63, max: 2842.09
Date: 12-28 at 12:01:07, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 759.25(5), mean: 2273.93, max: 2839.15
Date: 12-28 at 12:02:03, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 759.25(5), mean: 981.17, max: 1053.15
Date: 12-28 at 12:02:59, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 759.25(5), mean: 895.13, max: 1042.01
Date: 12-28 at 12:03:56, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 759.25(5), mean: 917.93, max: 1040.24
Date: 12-28 at 12:04:51, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 759.25(5), mean: 924.22, max: 1107.35
Date: 12-28 at 12:05:49, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 759.25(5), mean: 919.65, max: 1169.45
Date: 12-28 at 12:06:44, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 690.71(6), mean: 878.23, max: 1164.39
Date: 12-28 at 12:07:39, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 690.71(5), mean: 835.50, max: 1013.37
Date: 12-28 at 12:08:36, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 690.71(5), mean: 771.49, max: 857.41
Date: 12-28 at 12:09:32, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 690.71(5), mean: 754.79, max: 838.25
Date: 12-28 at 12:10:24, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 690.71(5), mean: 745.31, max: 845.85
Date: 12-28 at 12:11:26, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 678.02(5), mean: 771.02, max: 904.06
Date: 12-28 at 12:12:22, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 664.38(4), mean: 700.19, max: 766.52
Date: 12-28 at 12:13:17, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 664.24(4), mean: 733.51, max: 810.88
Date: 12-28 at 12:14:09, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 663.25(4), mean: 703.37, max: 758.41
Date: 12-28 at 12:15:06, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 663.25(4), mean: 732.00, max: 821.03
Date: 12-28 at 12:15:59, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 663.25(4), mean: 717.95, max: 753.51
Date: 12-28 at 12:16:55, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 662.90(4), mean: 668.79, max: 699.02
Date: 12-28 at 12:17:49, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 662.90(4), mean: 694.63, max: 740.78
Date: 12-28 at 12:18:49, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 662.90(4), mean: 662.90, max: 662.90
Date: 12-28 at 12:19:48, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 662.90(4), mean: 662.90, max: 662.90
Date: 12-28 at 12:20:38, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 662.90(4), mean: 662.90, max: 662.90
Date: 12-28 at 12:22:04, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 591.56(3), mean: 717.45, max: 1128.86
Date: 12-28 at 12:22:59, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 591.56(3), mean: 603.80, max: 668.16
Date: 12-28 at 12:23:50, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 591.56(3), mean: 591.56, max: 591.56
Date: 12-28 at 12:24:47, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 591.56(3), mean: 591.56, max: 591.56
Date: 12-28 at 12:27:22, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 591.56(3), mean: 614.68, max: 764.96
Date: 12-28 at 12:28:17, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: false, Khoo: 591.56, best obj: 591.56(3), mean: 607.28, max: 763.49
