Date: 07-05 at 16:20:36, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1683.24(13) mean: 3724.87, max: 4669.11
Date: 07-05 at 16:21:59, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1550.21(12) mean: 3690.64, max: 4600.32
Date: 07-05 at 16:23:30, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1537.52(12) mean: 2836.32, max: 4003.81
Date: 07-05 at 16:24:47, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1537.52(12) mean: 2820.79, max: 3986.54
Date: 07-05 at 16:26:09, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1537.52(12) mean: 2581.67, max: 3605.27
Date: 07-05 at 16:27:33, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1537.52(12) mean: 2598.80, max: 3560.65
Date: 07-05 at 16:28:58, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1537.52(12) mean: 2559.31, max: 3426.14
Date: 07-05 at 16:30:27, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1481.40(13) mean: 1875.90, max: 2282.74
Date: 07-05 at 16:31:48, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1426.80(12) mean: 1882.86, max: 2300.03
Date: 07-05 at 16:33:04, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1794.41, max: 2262.11
Date: 07-05 at 16:34:24, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1803.77, max: 2219.44
Date: 07-05 at 16:35:49, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1663.37, max: 2126.54
Date: 07-05 at 16:37:09, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1598.86, max: 2009.77
Date: 07-05 at 16:38:29, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1602.15, max: 1714.19
Date: 07-05 at 16:39:52, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1767.76, max: 2003.23
Date: 07-05 at 16:41:08, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1728.89, max: 2003.40
Date: 07-05 at 16:42:28, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1717.89, max: 2054.40
Date: 07-05 at 16:43:52, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1409.32(11) mean: 1553.41, max: 1886.23
Date: 07-05 at 16:45:06, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1408.02(12) mean: 1729.91, max: 2042.08
Date: 07-05 at 16:46:30, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1406.65(12) mean: 1480.17, max: 1592.54
Date: 07-05 at 16:47:46, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1406.65(12) mean: 1448.54, max: 1525.61
Date: 07-05 at 16:49:02, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1406.65(12) mean: 1471.93, max: 1554.06
Date: 07-05 at 16:50:25, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1406.65(12) mean: 1470.34, max: 1558.24
Date: 07-05 at 16:51:41, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1406.65(12) mean: 1511.01, max: 1570.20
Date: 07-05 at 16:53:03, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1397.40(10) mean: 1658.03, max: 1947.59
Date: 07-05 at 16:54:24, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1375.68(11) mean: 1468.05, max: 1540.71
Date: 07-05 at 16:55:42, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1371.30(11) mean: 1479.30, max: 1572.05
Date: 07-05 at 16:57:01, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1371.30(11) mean: 1506.86, max: 1647.03
Date: 07-05 at 16:58:26, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1371.30(11) mean: 1441.75, max: 1489.49
Date: 07-05 at 16:59:40, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1371.30(11) mean: 1443.90, max: 1489.49
Date: 07-05 at 17:00:58, iter: 35, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1371.30(11) mean: 1466.43, max: 1558.55
Date: 07-05 at 17:02:16, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1371.30(11) mean: 1617.30, max: 1765.25
Date: 07-05 at 17:03:32, iter: 38, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1368.37(11) mean: 1472.47, max: 1642.31
Date: 07-05 at 17:04:48, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1368.37(11) mean: 1511.26, max: 1691.44
Date: 07-05 at 17:06:10, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1368.37(11) mean: 1498.03, max: 1704.12
Date: 07-05 at 17:07:30, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.75(11) mean: 1464.59, max: 1744.06
Date: 07-05 at 17:08:49, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.35(11) mean: 1433.35, max: 1601.92
Date: 07-05 at 17:10:14, iter: 43, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1383.48, max: 1462.79
Date: 07-05 at 17:11:31, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1380.63, max: 1422.09
Date: 07-05 at 17:12:53, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1374.93, max: 1404.82
Date: 07-05 at 17:14:12, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1409.60, max: 1457.08
Date: 07-05 at 17:15:38, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1385.29, max: 1434.30
Date: 07-05 at 17:16:52, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1554.79, max: 2050.02
Date: 07-05 at 17:18:09, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1449.11, max: 1561.08
Date: 07-05 at 17:19:31, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1464.73, max: 1592.04
Date: 07-05 at 17:20:52, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1424.83, max: 1548.69
Date: 07-05 at 17:22:13, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1354.03(11) mean: 1610.69, max: 1946.62
Date: 07-05 at 17:23:31, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1340.95(10) mean: 1511.20, max: 1712.35
Date: 07-05 at 17:24:46, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1337.29(10) mean: 1476.80, max: 1745.91
Date: 07-05 at 17:26:04, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1337.29(10) mean: 1464.05, max: 1633.99
Date: 07-05 at 17:27:28, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1337.29(10) mean: 1369.61, max: 1421.54
Date: 07-05 at 17:28:45, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1337.29(10) mean: 1367.04, max: 1453.33
Date: 07-05 at 17:30:09, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1337.29(10) mean: 1356.29, max: 1422.75
Date: 07-05 at 17:31:31, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1506.16, max: 1690.20
Date: 07-05 at 17:32:43, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1440.61, max: 1717.80
Date: 07-05 at 17:34:00, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1358.53, max: 1471.10
Date: 07-05 at 17:35:25, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1352.13, max: 1494.64
Date: 07-05 at 17:36:42, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1527.04, max: 1725.19
Date: 07-05 at 17:37:58, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1377.14, max: 1528.79
Date: 07-05 at 17:39:15, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1367.43, max: 1505.97
Date: 07-05 at 17:40:27, iter: 70, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1383.06, max: 1462.33
Date: 07-05 at 17:41:46, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1595.37, max: 1945.55
Date: 07-05 at 17:43:02, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1444.63, max: 1661.16
Date: 07-05 at 17:44:07, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1445.46, max: 1683.91
Date: 07-05 at 17:45:23, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1405.32, max: 1598.05
Date: 07-05 at 17:46:44, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1621.96, max: 1805.13
Date: 07-05 at 17:47:57, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1473.86, max: 1745.17
Date: 07-05 at 17:49:11, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1424.99, max: 1518.64
Date: 07-05 at 17:50:25, iter: 80, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1431.06, max: 1544.32
Date: 07-05 at 17:51:38, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1567.37, max: 1736.20
Date: 07-05 at 17:53:00, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1412.81, max: 1500.65
Date: 07-05 at 17:54:21, iter: 84, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1392.43, max: 1488.04
Date: 07-05 at 17:55:34, iter: 85, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1381.62, max: 1485.07
Date: 07-05 at 17:56:50, iter: 87, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1641.88, max: 2200.62
Date: 07-05 at 17:58:07, iter: 88, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1526.52, max: 1997.70
Date: 07-05 at 17:59:21, iter: 89, fix: false, local: false, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.85(10) mean: 1443.94, max: 1993.80
