Date: 08-03 at 11:37:14, #particle: 20, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 1130.46(5), mean: 2711.93, max: 3536.52
Date: 08-03 at 11:37:39, #particle: 20, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 1043.92(5), mean: 1923.51, max: 2993.77
Date: 08-03 at 11:38:08, #particle: 20, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 1001.56(5), mean: 1608.25, max: 2609.03
Date: 08-03 at 11:38:39, #particle: 20, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 999.74(5), mean: 1116.91, max: 1248.91
Date: 08-03 at 11:39:08, #particle: 20, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 984.60(5), mean: 1169.58, max: 1326.74
Date: 08-03 at 11:39:38, #particle: 20, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 984.60(5), mean: 1102.07, max: 1177.30
Date: 08-03 at 11:40:05, #particle: 20, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 984.60(5), mean: 1122.77, max: 1272.15
Date: 08-03 at 11:40:33, #particle: 20, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 984.60(5), mean: 1087.30, max: 1271.82
Date: 08-03 at 11:41:04, #particle: 20, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 984.60(5), mean: 1042.14, max: 1104.36
Date: 08-03 at 11:41:32, #particle: 20, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 984.60(5), mean: 1253.34, max: 1552.94
Date: 08-03 at 11:41:58, #particle: 20, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 984.60(5), mean: 1113.48, max: 1258.96
Date: 08-03 at 11:42:27, #particle: 20, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 859.39, best obj: 979.24(6), mean: 1065.51, max: 1217.13
