Date: 07-05 at 13:04:00, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1157.91(12) mean: 1192.58, max: 1285.61
Date: 07-05 at 13:05:31, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1157.91(12) mean: 1177.71, max: 1226.72
Date: 07-05 at 13:07:00, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1157.91(12) mean: 1177.89, max: 1280.16
Date: 07-05 at 13:08:22, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1157.91(12) mean: 1175.34, max: 1220.62
Date: 07-05 at 13:09:46, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1157.91(12) mean: 1169.92, max: 1236.26
Date: 07-05 at 13:11:07, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1157.91(12) mean: 1167.95, max: 1227.00
Date: 07-05 at 13:12:34, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1153.08(12) mean: 1160.62, max: 1201.06
Date: 07-05 at 13:13:51, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1151.53(12) mean: 1176.74, max: 1223.98
Date: 07-05 at 13:15:13, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1151.53(12) mean: 1161.62, max: 1200.36
Date: 07-05 at 13:16:37, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(12) mean: 1160.51, max: 1200.31
Date: 07-05 at 13:17:57, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1160.84, max: 1205.32
Date: 07-05 at 13:19:25, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1167.24, max: 1230.39
Date: 07-05 at 13:20:52, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1164.54, max: 1217.40
Date: 07-05 at 13:22:11, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1161.02, max: 1204.77
Date: 07-05 at 13:23:42, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1148.99(11) mean: 1161.02, max: 1204.77
