Date: 07-05 at 06:29:10, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1335.64(5) mean: 2478.87, max: 3376.34
Date: 07-05 at 06:29:56, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1281.17(5) mean: 2123.06, max: 2860.89
Date: 07-05 at 06:30:43, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1265.77(5) mean: 2124.78, max: 2889.52
Date: 07-05 at 06:31:51, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1260.45(5) mean: 1758.21, max: 2567.46
Date: 07-05 at 06:32:47, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1257.24(5) mean: 1443.40, max: 2278.70
Date: 07-05 at 06:33:33, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1230.11(8) mean: 1324.04, max: 1514.43
Date: 07-05 at 06:34:42, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1220.45(9) mean: 1324.73, max: 1564.29
Date: 07-05 at 06:35:59, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1187.73(8) mean: 1300.11, max: 1572.31
Date: 07-05 at 06:36:50, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1187.38(8) mean: 1346.64, max: 1619.09
Date: 07-05 at 06:37:58, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1187.38(8) mean: 1361.34, max: 1633.46
Date: 07-05 at 06:39:11, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1187.38(8) mean: 1275.73, max: 1418.84
Date: 07-05 at 06:40:20, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1167.79(10) mean: 1253.70, max: 1338.34
Date: 07-05 at 06:41:32, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.86(9) mean: 1253.99, max: 1332.30
Date: 07-05 at 06:42:28, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1297.78, max: 1388.96
Date: 07-05 at 06:43:41, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1221.52, max: 1308.52
Date: 07-05 at 06:44:37, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1265.62, max: 1358.61
Date: 07-05 at 06:45:49, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1213.98, max: 1327.84
Date: 07-05 at 06:46:47, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1215.40, max: 1295.26
Date: 07-05 at 06:47:57, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1222.67, max: 1324.56
Date: 07-05 at 06:48:56, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1196.80, max: 1323.57
Date: 07-05 at 06:50:10, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1214.47, max: 1333.83
Date: 07-05 at 06:51:21, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1143.49(9) mean: 1204.76, max: 1264.38
Date: 07-05 at 06:52:24, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1127.82(8) mean: 1177.43, max: 1289.69
Date: 07-05 at 06:53:37, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1127.82(8) mean: 1163.14, max: 1226.99
Date: 07-05 at 06:54:37, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1124.38(8) mean: 1145.34, max: 1200.44
Date: 07-05 at 06:55:51, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1120.68(8) mean: 1155.61, max: 1242.85
Date: 07-05 at 06:57:12, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1107.04(8) mean: 1134.40, max: 1175.07
Date: 07-05 at 06:58:17, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1107.04(8) mean: 1123.74, max: 1135.00
Date: 07-05 at 06:59:13, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1107.04(8) mean: 1117.71, max: 1129.49
Date: 07-05 at 07:00:15, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1107.04(8) mean: 1114.37, max: 1117.82
Date: 07-05 at 07:01:27, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1107.04(8) mean: 1123.75, max: 1163.81
Date: 07-05 at 07:02:30, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1107.04(8) mean: 1115.91, max: 1134.61
Date: 07-05 at 07:03:28, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1107.04(8) mean: 1114.24, max: 1121.04
Date: 07-05 at 07:04:28, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1108.72, max: 1124.49
Date: 07-05 at 07:05:42, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1116.60, max: 1126.55
Date: 07-05 at 07:06:47, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1149.71, max: 1159.00
Date: 07-05 at 07:08:01, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1142.39, max: 1191.45
Date: 07-05 at 07:09:07, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1107.88, max: 1124.02
Date: 07-05 at 07:10:21, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.69, max: 1108.03
Date: 07-05 at 07:11:23, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.69, max: 1108.03
Date: 07-05 at 07:12:30, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.69, max: 1108.03
Date: 07-05 at 07:13:38, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.69, max: 1108.03
Date: 07-05 at 07:14:42, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.69, max: 1108.03
Date: 07-05 at 07:15:54, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.69, max: 1108.03
Date: 07-05 at 07:17:14, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.72, max: 1108.34
Date: 07-05 at 07:18:17, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:19:27, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:20:36, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:21:58, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:23:25, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:24:47, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:26:05, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:27:13, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:28:23, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:29:28, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:30:36, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:31:45, iter: 57, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:32:55, iter: 58, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:34:08, iter: 59, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:35:11, iter: 60, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:36:28, iter: 61, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:37:36, iter: 62, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:38:49, iter: 63, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:39:49, iter: 64, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
Date: 07-05 at 07:40:59, iter: 65, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1106.60(9) mean: 1106.60, max: 1106.60
