Date: 08-06 at 11:50:00, iter: 1, new3, Khoo: 1371.69, current_best: 1715.79 best obj: 1715.79(17) mean: 2704.90, max: 3243.04
Date: 08-06 at 11:51:26, iter: 2, new3, Khoo: 1371.69, current_best: 1598.68 best obj: 1598.68(17) mean: 2717.11, max: 3234.45
Date: 08-06 at 11:52:50, iter: 3, new3, Khoo: 1371.69, current_best: 1558.24 best obj: 1558.24(16) mean: 2702.75, max: 3174.72
Date: 08-06 at 11:54:12, iter: 4, new3, Khoo: 1371.69, current_best: 1554.17 best obj: 1554.17(16) mean: 2734.75, max: 3216.74
Date: 08-06 at 11:55:40, iter: 5, new3, Khoo: 1371.69, current_best: 1554.17 best obj: 1554.17(16) mean: 2468.11, max: 3112.96
Date: 08-06 at 11:57:11, iter: 6, new3, Khoo: 1371.69, current_best: 1554.17 best obj: 1554.17(16) mean: 2472.77, max: 3108.81
Date: 08-06 at 11:58:41, iter: 7, new3, Khoo: 1371.69, current_best: 1554.17 best obj: 1554.17(16) mean: 1706.46, max: 1852.47
Date: 08-06 at 12:00:05, iter: 8, new3, Khoo: 1371.69, current_best: 1520.79 best obj: 1520.79(15) mean: 1722.00, max: 1874.89
Date: 08-06 at 12:01:25, iter: 9, new3, Khoo: 1371.69, current_best: 1508.03 best obj: 1508.03(15) mean: 1723.46, max: 1879.90
Date: 08-06 at 12:02:45, iter: 10, new3, Khoo: 1371.69, current_best: 1508.03 best obj: 1508.03(15) mean: 1768.50, max: 1932.87
Date: 08-06 at 12:04:10, iter: 11, new3, Khoo: 1371.69, current_best: 1508.03 best obj: 1508.03(15) mean: 1832.92, max: 2002.59
Date: 08-06 at 12:05:40, iter: 12, new3, Khoo: 1371.69, current_best: 1508.03 best obj: 1508.03(15) mean: 1610.45, max: 1703.44
Date: 08-06 at 12:07:01, iter: 14, new3, Khoo: 1371.69, current_best: 1508.03 best obj: 1508.03(15) mean: 1762.79, max: 2067.00
Date: 08-06 at 12:08:18, iter: 15, new3, Khoo: 1371.69, current_best: 1508.03 best obj: 1508.03(15) mean: 1736.52, max: 1990.07
Date: 08-06 at 12:09:36, iter: 16, new3, Khoo: 1371.69, current_best: 1508.03 best obj: 1508.03(15) mean: 1739.54, max: 1950.41
Date: 08-06 at 12:10:55, iter: 17, new3, Khoo: 1371.69, current_best: 1508.03 best obj: 1508.03(15) mean: 1740.95, max: 1968.69
