Date: 07-01 at 20:09:14, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:10:43, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:12:09, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:13:45, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:15:43, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:17:18, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:19:05, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:20:54, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:22:56, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:24:33, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:26:03, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:27:31, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:29:25, iter: 60, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 830.63, max: 854.35
Date: 07-01 at 20:30:55, iter: 61, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:32:34, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:34:05, iter: 63, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:36:05, iter: 65, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:37:30, iter: 66, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:39:01, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
