Date: 11-03 at 17:37:19, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 1079.46(7), mean: 2976.40, max: 3722.01
Date: 11-03 at 17:38:41, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 912.69(6), mean: 2517.40, max: 3091.56
Date: 11-03 at 17:40:06, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 858.92(5), mean: 1707.44, max: 2254.25
Date: 11-03 at 17:41:28, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 857.82(5), mean: 1535.17, max: 2105.19
Date: 11-03 at 17:42:50, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 857.82(5), mean: 1014.15, max: 1147.70
Date: 11-03 at 17:44:08, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 768.93(5), mean: 895.05, max: 999.74
Date: 11-03 at 17:45:29, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 763.27(5), mean: 860.84, max: 903.81
Date: 11-03 at 17:46:47, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 763.27(5), mean: 925.01, max: 988.28
Date: 11-03 at 17:48:10, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 763.27(5), mean: 861.38, max: 951.54
Date: 11-03 at 17:49:30, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 755.82(5), mean: 794.36, max: 831.19
Date: 11-03 at 17:50:58, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 736.94(5), mean: 763.44, max: 797.30
Date: 11-03 at 17:52:11, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 657.32(5), mean: 736.83, max: 813.22
Date: 11-03 at 17:53:34, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 620.35(4), mean: 768.32, max: 851.88
Date: 11-03 at 17:54:49, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 718.28, max: 746.52
Date: 11-03 at 17:56:10, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 705.79, max: 740.96
Date: 11-03 at 17:57:26, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 689.66, max: 740.96
Date: 11-03 at 17:58:49, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 684.25, max: 740.96
Date: 11-03 at 18:00:11, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 677.65, max: 740.96
Date: 11-03 at 18:01:37, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 677.65, max: 740.96
Date: 11-03 at 18:03:03, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 677.65, max: 740.96
Date: 11-03 at 18:04:30, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 677.65, max: 740.96
Date: 11-03 at 18:05:57, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 677.65, max: 740.96
Date: 11-03 at 18:07:25, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 677.65, max: 740.96
Date: 11-03 at 18:08:53, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 677.65, max: 740.96
Date: 11-03 at 18:10:17, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 677.65, max: 740.96
Date: 11-03 at 18:11:36, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(6), mean: 686.03, max: 741.67
Date: 11-03 at 18:12:59, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 618.57(4), mean: 656.72, max: 709.56
Date: 11-03 at 18:14:15, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(4), mean: 648.24, max: 675.75
Date: 11-03 at 18:15:30, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(4), mean: 614.56, max: 618.57
Date: 11-03 at 18:16:53, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:18:16, #particle: 15, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:19:39, #particle: 15, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:21:01, #particle: 15, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:22:25, #particle: 15, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:23:48, #particle: 15, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:25:09, #particle: 15, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:26:34, #particle: 15, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:27:56, #particle: 15, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:29:20, #particle: 15, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:30:42, #particle: 15, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:32:06, #particle: 15, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:33:27, #particle: 15, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:34:50, #particle: 15, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:36:12, #particle: 15, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:37:32, #particle: 15, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:38:53, #particle: 15, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:40:15, #particle: 15, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:41:39, #particle: 15, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:43:00, #particle: 15, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:44:25, #particle: 15, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:45:45, #particle: 15, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:47:04, #particle: 15, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:48:24, #particle: 15, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:49:46, #particle: 15, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:51:08, #particle: 15, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:52:29, #particle: 15, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:53:51, #particle: 15, iter: 57, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:55:11, #particle: 15, iter: 58, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:56:35, #particle: 15, iter: 59, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:57:55, #particle: 15, iter: 60, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 18:59:19, #particle: 15, iter: 61, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 19:00:39, #particle: 15, iter: 62, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
Date: 11-03 at 19:02:02, #particle: 15, iter: 63, fix: false, local: true, cut car: false, new generate: false, Khoo: 588.49, best obj: 588.49(3), mean: 588.49, max: 588.49
