Date: 07-10 at 17:23:54, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1407.75(13) mean: 3313.83, max: 4244.37
Date: 07-10 at 17:24:59, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1242.49(13) mean: 2923.55, max: 3847.08
Date: 07-10 at 17:26:04, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1144.40(13) mean: 2879.68, max: 3737.72
Date: 07-10 at 17:27:09, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1089.67(13) mean: 2700.76, max: 3721.79
Date: 07-10 at 17:28:15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1082.43(13) mean: 2492.41, max: 3615.59
Date: 07-10 at 17:29:20, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1082.43(13) mean: 2481.10, max: 3578.41
Date: 07-10 at 17:30:28, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1082.43(13) mean: 2387.53, max: 3437.76
Date: 07-10 at 17:31:36, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1082.43(13) mean: 1866.13, max: 3117.85
Date: 07-10 at 17:32:44, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1082.43(13) mean: 1527.81, max: 2809.45
Date: 07-10 at 17:33:49, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1082.43(13) mean: 1213.43, max: 1399.02
Date: 07-10 at 17:34:54, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1061.27(13) mean: 1209.32, max: 1389.18
Date: 07-10 at 17:35:55, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1026.41(12) mean: 1196.23, max: 1385.80
Date: 07-10 at 17:36:57, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 1013.26(13) mean: 1137.48, max: 1258.27
Date: 07-10 at 17:38:00, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 963.80(12) mean: 1130.42, max: 1259.86
Date: 07-10 at 17:38:59, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 958.15(12) mean: 1131.91, max: 1232.43
Date: 07-10 at 17:40:05, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 958.15(12) mean: 1092.33, max: 1220.60
Date: 07-10 at 17:41:05, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 958.15(12) mean: 1076.66, max: 1220.01
Date: 07-10 at 17:42:07, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 956.15(12) mean: 1047.52, max: 1141.42
Date: 07-10 at 17:43:08, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 929.15(11) mean: 1071.83, max: 1179.29
Date: 07-10 at 17:44:11, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 929.15(11) mean: 1039.63, max: 1130.26
Date: 07-10 at 17:45:13, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 929.15(11) mean: 1016.33, max: 1117.83
Date: 07-10 at 17:46:14, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 929.15(11) mean: 1022.28, max: 1129.29
Date: 07-10 at 17:47:15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 896.63(10) mean: 984.76, max: 1057.03
Date: 07-10 at 17:48:16, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 896.63(10) mean: 971.55, max: 1119.40
Date: 07-10 at 17:49:13, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 925.52, max: 1022.75
Date: 07-10 at 17:50:09, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 935.93, max: 1005.76
Date: 07-10 at 17:51:06, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 889.79, max: 907.38
Date: 07-10 at 17:52:00, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 885.78, max: 907.38
Date: 07-10 at 17:52:55, iter: 29, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 882.67, max: 907.38
Date: 07-10 at 17:53:50, iter: 30, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 882.67, max: 907.38
Date: 07-10 at 17:54:46, iter: 31, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 882.67, max: 907.38
Date: 07-10 at 17:55:46, iter: 32, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 882.67, max: 907.38
Date: 07-10 at 17:56:39, iter: 33, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 882.67, max: 907.38
Date: 07-10 at 17:57:41, iter: 34, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 882.67, max: 907.38
Date: 07-10 at 17:58:37, iter: 35, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 882.67, max: 907.38
Date: 07-10 at 17:59:32, iter: 36, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 882.67, max: 907.38
Date: 07-10 at 18:00:27, iter: 37, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:01:20, iter: 38, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:02:17, iter: 39, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:03:10, iter: 40, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:04:05, iter: 41, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:05:00, iter: 42, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:05:55, iter: 43, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:06:54, iter: 44, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:07:50, iter: 45, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:08:46, iter: 46, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:09:45, iter: 47, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:10:48, iter: 48, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:11:42, iter: 49, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:12:38, iter: 50, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:13:32, iter: 51, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:14:30, iter: 52, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:15:23, iter: 53, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:16:18, iter: 54, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:17:21, iter: 55, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:18:22, iter: 56, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:19:17, iter: 57, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:20:11, iter: 58, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:21:06, iter: 59, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:22:08, iter: 60, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
Date: 07-10 at 18:23:04, iter: 61, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.07 best obj: 870.32(10) mean: 870.32, max: 870.32
