Date: 12-23 at 06:20:50, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1448.90(4), mean: 3524.63, max: 4837.30
Date: 12-23 at 06:21:16, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1350.58(4), mean: 1914.72, max: 3205.46
Date: 12-23 at 06:21:43, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1319.99(4), mean: 1734.16, max: 2656.12
Date: 12-23 at 06:22:15, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1319.78(4), mean: 1455.71, max: 1850.59
Date: 12-23 at 06:22:54, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1319.78(4), mean: 1404.20, max: 1579.86
Date: 12-23 at 06:23:20, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1287.30(5), mean: 1361.03, max: 1451.03
Date: 12-23 at 06:23:51, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1254.33(5), mean: 1412.53, max: 1507.26
Date: 12-23 at 06:24:24, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1246.73(5), mean: 1322.99, max: 1395.49
Date: 12-23 at 06:24:59, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1240.87(5), mean: 1310.17, max: 1345.54
Date: 12-23 at 06:25:39, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1193.20(6), mean: 1289.14, max: 1366.56
Date: 12-23 at 06:26:15, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1176.44(6), mean: 1268.32, max: 1360.52
Date: 12-23 at 06:26:50, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1153.29(6), mean: 1186.11, max: 1249.35
Date: 12-23 at 06:27:25, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1145.61(6), mean: 1174.84, max: 1244.16
Date: 12-23 at 06:27:59, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1143.65(6), mean: 1192.10, max: 1283.32
Date: 12-23 at 06:28:33, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1139.99(6), mean: 1157.18, max: 1203.49
Date: 12-23 at 06:28:59, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.38(6), mean: 1172.04, max: 1201.34
Date: 12-23 at 06:29:39, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.13(6), mean: 1172.24, max: 1209.05
Date: 12-23 at 06:30:20, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1126.02, max: 1152.01
Date: 12-23 at 06:31:04, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1123.38, max: 1137.41
Date: 12-23 at 06:31:39, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1125.03, max: 1152.30
Date: 12-23 at 06:32:20, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1121.75, max: 1129.52
Date: 12-23 at 06:32:59, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1125.00, max: 1162.88
Date: 12-23 at 06:33:32, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1121.61, max: 1128.70
Date: 12-23 at 06:34:08, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1127.30, max: 1169.86
Date: 12-23 at 06:34:52, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1122.83, max: 1140.55
Date: 12-23 at 06:35:31, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1139.52, max: 1216.88
Date: 12-23 at 06:36:14, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1121.36, max: 1125.38
Date: 12-23 at 06:37:00, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82, best obj: 1121.08(6), mean: 1124.52, max: 1172.74
