Date: 11-15 at 19:18:46, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 1047.67(8), mean: 2315.89, max: 3401.95
Date: 11-15 at 19:20:07, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 969.27(8), mean: 2124.14, max: 3187.26
Date: 11-15 at 19:21:31, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 964.22(8), mean: 2005.59, max: 3170.69
Date: 11-15 at 19:22:54, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 955.58(8), mean: 1737.19, max: 2670.23
Date: 11-15 at 19:24:17, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 913.47(7), mean: 1619.68, max: 2400.05
Date: 11-15 at 19:25:40, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 903.23(7), mean: 1662.55, max: 2438.11
Date: 11-15 at 19:27:03, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 895.49(7), mean: 1036.26, max: 1170.72
Date: 11-15 at 19:28:25, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 895.49(7), mean: 1036.97, max: 1147.90
Date: 11-15 at 19:29:49, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 895.49(7), mean: 1094.71, max: 1184.04
Date: 11-15 at 19:31:14, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 895.49(7), mean: 1082.07, max: 1169.05
Date: 11-15 at 19:32:37, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 895.49(7), mean: 959.87, max: 1005.65
Date: 11-15 at 19:34:04, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 895.49(7), mean: 993.59, max: 1059.34
Date: 11-15 at 19:35:27, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 885.80(8), mean: 938.21, max: 1003.02
Date: 11-15 at 19:36:51, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 872.69(8), mean: 996.08, max: 1068.73
Date: 11-15 at 19:38:12, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 868.72(8), mean: 1015.65, max: 1094.85
Date: 11-15 at 19:39:37, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 867.54(8), mean: 967.63, max: 1139.59
Date: 11-15 at 19:41:04, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 861.97(8), mean: 924.58, max: 1015.75
Date: 11-15 at 19:42:24, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 856.46(8), mean: 900.78, max: 944.13
Date: 11-15 at 19:43:43, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 853.85(8), mean: 893.59, max: 965.53
Date: 11-15 at 19:45:08, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 853.85(8), mean: 922.16, max: 1010.33
Date: 11-15 at 19:46:28, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 853.85(8), mean: 897.03, max: 952.10
Date: 11-15 at 19:47:50, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 853.85(8), mean: 939.08, max: 997.03
Date: 11-15 at 19:49:11, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 835.74(7), mean: 892.78, max: 979.71
Date: 11-15 at 19:50:28, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 835.28(7), mean: 877.06, max: 935.93
Date: 11-15 at 19:51:46, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 830.24(7), mean: 869.57, max: 931.02
Date: 11-15 at 19:53:04, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 852.81, max: 904.90
Date: 11-15 at 19:54:24, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 875.12, max: 914.82
Date: 11-15 at 19:55:42, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 885.84, max: 940.72
Date: 11-15 at 19:57:00, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 848.85, max: 896.13
Date: 11-15 at 19:58:18, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 839.78, max: 868.80
Date: 11-15 at 19:59:44, #particle: 15, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 860.13, max: 902.77
Date: 11-15 at 20:01:01, #particle: 15, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 832.15, max: 852.89
Date: 11-15 at 20:02:27, #particle: 15, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 832.27, max: 849.48
Date: 11-15 at 20:03:43, #particle: 15, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 831.70, max: 854.71
Date: 11-15 at 20:05:07, #particle: 15, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 830.73, max: 848.70
Date: 11-15 at 20:06:25, #particle: 15, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 753.15, best obj: 824.37(7), mean: 841.10, max: 873.08
