Date: 02-07 at 06:21:24, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1559.17(13), mean: 3291.04, max: 3851.02
Date: 02-07 at 06:23:35, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1416.65(13), mean: 3050.22, max: 3718.66
Date: 02-07 at 06:25:42, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1281.84(13), mean: 2836.26, max: 3645.34
Date: 02-07 at 06:27:56, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1230.47(13), mean: 2788.40, max: 3514.78
Date: 02-07 at 06:30:14, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1228.15(13), mean: 2477.21, max: 3228.64
Date: 02-07 at 06:32:31, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1142.31(13), mean: 2105.10, max: 3140.14
Date: 02-07 at 06:34:47, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1100.97(13), mean: 2117.40, max: 3099.61
Date: 02-07 at 06:37:05, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1074.59(13), mean: 2091.34, max: 3070.83
Date: 02-07 at 06:39:25, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1072.08(13), mean: 2057.06, max: 2929.24
Date: 02-07 at 06:41:49, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1072.08(13), mean: 1214.54, max: 1346.65
Date: 02-07 at 06:44:08, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1040.64(13), mean: 1126.99, max: 1292.56
Date: 02-07 at 06:46:27, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 959.87(12), mean: 1089.23, max: 1280.04
Date: 02-07 at 06:48:37, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 959.87(12), mean: 1029.45, max: 1140.14
Date: 02-07 at 06:50:46, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 959.87(12), mean: 1087.08, max: 1206.14
Date: 02-07 at 06:53:01, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 959.87(12), mean: 1047.74, max: 1118.56
Date: 02-07 at 06:55:15, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 955.63(12), mean: 1033.60, max: 1117.33
Date: 02-07 at 06:57:25, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 955.63(12), mean: 1084.83, max: 1186.84
Date: 02-07 at 06:59:37, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 955.63(12), mean: 1076.05, max: 1183.96
Date: 02-07 at 07:01:57, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 921.95(12), mean: 1009.88, max: 1109.60
Date: 02-07 at 07:04:12, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 921.95(12), mean: 988.21, max: 1119.44
Date: 02-07 at 07:06:27, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 919.00(12), mean: 980.33, max: 1060.14
Date: 02-07 at 07:08:34, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 919.00(12), mean: 989.79, max: 1098.02
Date: 02-07 at 07:10:36, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 919.00(12), mean: 972.30, max: 1100.10
Date: 02-07 at 07:12:46, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 919.00(12), mean: 989.40, max: 1122.26
Date: 02-07 at 07:14:54, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 919.00(12), mean: 967.37, max: 1060.17
Date: 02-07 at 07:17:05, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 908.60(11), mean: 3156.61, max: 3828.30
Date: 02-07 at 07:19:13, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 908.60(11), mean: 2872.02, max: 3820.76
Date: 02-07 at 07:21:25, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 908.60(11), mean: 2585.62, max: 3581.81
Date: 02-07 at 07:23:44, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 908.60(11), mean: 1979.18, max: 3449.47
Date: 02-07 at 07:26:05, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 908.60(11), mean: 3071.89, max: 3955.02
Date: 02-07 at 07:28:24, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 908.60(11), mean: 1867.18, max: 3001.51
