Date: 09-23 at 04:17:55, #particle: 15, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 870.50(11), mean: 1248.32, max: 1471.49
Date: 09-23 at 04:19:27, #particle: 15, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 870.50(11), mean: 1118.24, max: 1498.16
Date: 09-23 at 04:21:02, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 870.50(11), mean: 1041.77, max: 1441.45
Date: 09-23 at 04:22:33, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 868.39(11), mean: 1003.39, max: 1168.90
Date: 09-23 at 04:24:00, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 868.39(11), mean: 975.99, max: 1092.12
Date: 09-23 at 04:25:28, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 868.39(11), mean: 949.66, max: 1073.87
Date: 09-23 at 04:26:56, #particle: 15, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 868.39(11), mean: 940.80, max: 1026.60
Date: 09-23 at 04:28:20, #particle: 15, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 865.68(11), mean: 931.76, max: 1034.83
Date: 09-23 at 04:29:51, #particle: 15, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 907.06, max: 1020.73
Date: 09-23 at 04:31:22, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 899.14, max: 996.69
Date: 09-23 at 04:32:46, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 896.84, max: 996.69
Date: 09-23 at 04:34:16, #particle: 15, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 894.43, max: 996.69
Date: 09-23 at 04:35:36, #particle: 15, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 861.16, max: 955.03
Date: 09-23 at 04:37:05, #particle: 15, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 971.74, max: 1265.45
Date: 09-23 at 04:38:28, #particle: 15, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 885.86, max: 1298.15
Date: 09-23 at 04:39:59, #particle: 15, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 879.92, max: 1312.86
Date: 09-23 at 04:41:22, #particle: 15, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 850.56, max: 917.14
Date: 09-23 at 04:43:03, #particle: 15, iter: 60, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 888.14, max: 1058.89
Date: 09-23 at 04:44:27, #particle: 15, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 3215.34, max: 3825.12
Date: 09-23 at 04:46:00, #particle: 15, iter: 63, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 1290.98, max: 1417.55
Date: 09-23 at 04:47:33, #particle: 15, iter: 64, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 1192.62, max: 1349.08
Date: 09-23 at 04:49:08, #particle: 15, iter: 66, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 1293.22, max: 1710.68
Date: 09-23 at 04:50:37, #particle: 15, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 1244.59, max: 1674.95
Date: 09-23 at 04:52:04, #particle: 15, iter: 68, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 1062.02, max: 1641.38
Date: 09-23 at 04:53:31, #particle: 15, iter: 69, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 957.49, max: 1189.12
Date: 09-23 at 04:54:59, #particle: 15, iter: 71, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 991.17, max: 1303.77
Date: 09-23 at 04:56:22, #particle: 15, iter: 72, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 937.89, max: 1278.95
Date: 09-23 at 04:57:46, #particle: 15, iter: 74, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 3021.89, max: 3693.36
Date: 09-23 at 04:59:15, #particle: 15, iter: 75, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 828.06(10), mean: 1309.30, max: 1565.72
