Problem,Num_customer,NV,Opt,Our_NV,Our_floor,Our
C201,25,2,214.7,2,214.7,215.5
C202,25,2,214.7,2,214.7,215.5
C203,25,2,214.7,2,214.7,215.5
C204,25,2,213.1,2,214.5,215.3
C205,25,2,214.7,2,214.7,215.5
C206,25,2,214.7,2,214.7,215.5
C207,25,2,214.5,1,274.0,274.8
C208,25,2,214.5,1,229.1,229.8
