Date: 11-05 at 13:15:25, #particle: 20, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1829.87(6), mean: 3816.91, max: 4645.54
Date: 11-05 at 13:16:24, #particle: 20, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1604.96(6), mean: 2794.03, max: 4070.77
Date: 11-05 at 13:17:15, #particle: 20, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1604.37(6), mean: 2186.79, max: 3058.23
Date: 11-05 at 13:18:31, #particle: 20, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1604.37(6), mean: 2028.88, max: 2734.85
Date: 11-05 at 13:19:27, #particle: 20, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1506.19(7), mean: 1622.36, max: 1724.05
Date: 11-05 at 13:20:40, #particle: 20, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1489.40(9), mean: 1640.25, max: 1762.88
Date: 11-05 at 13:21:30, #particle: 20, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1488.47(9), mean: 1718.11, max: 1846.86
Date: 11-05 at 13:22:46, #particle: 20, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1476.54(8), mean: 1730.82, max: 1853.92
Date: 11-05 at 13:24:12, #particle: 20, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1476.54(8), mean: 1579.49, max: 1741.91
Date: 11-05 at 13:24:58, #particle: 20, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1476.54(8), mean: 1631.89, max: 1793.81
Date: 11-05 at 13:25:53, #particle: 20, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1476.54(8), mean: 1550.06, max: 1668.69
Date: 11-05 at 13:26:48, #particle: 20, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1095.64, best obj: 1476.54(8), mean: 1543.94, max: 1602.85
