Date: 07-01 at 18:50:45, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1598.19(6) mean: 3293.34, max: 3748.68
Date: 07-01 at 18:51:29, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1440.84(8) mean: 2436.95, max: 3249.91
Date: 07-01 at 18:52:12, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1343.41(8) mean: 2325.22, max: 3225.01
Date: 07-01 at 18:53:02, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1322.93(8) mean: 1530.83, max: 1795.32
Date: 07-01 at 18:53:42, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1322.93(8) mean: 1564.45, max: 1731.37
Date: 07-01 at 18:54:28, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1322.93(8) mean: 1477.68, max: 1637.30
Date: 07-01 at 18:55:13, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1299.71(11) mean: 1429.77, max: 1543.61
Date: 07-01 at 18:55:54, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1287.01(11) mean: 1471.76, max: 1591.46
Date: 07-01 at 18:56:38, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1287.01(11) mean: 1460.64, max: 1595.03
Date: 07-01 at 18:57:26, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1287.01(11) mean: 1404.07, max: 1550.74
Date: 07-01 at 18:58:09, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1287.01(11) mean: 1366.33, max: 1460.71
Date: 07-01 at 18:58:54, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1287.01(11) mean: 1381.04, max: 1528.44
Date: 07-01 at 18:59:39, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1287.01(11) mean: 1499.75, max: 1689.78
Date: 07-01 at 19:00:25, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1287.01(11) mean: 1366.41, max: 1555.58
Date: 07-01 at 19:01:13, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1272.36(10) mean: 1344.51, max: 1564.65
Date: 07-01 at 19:01:55, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1328.10, max: 1410.18
Date: 07-01 at 19:02:41, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1318.77, max: 1402.99
Date: 07-01 at 19:03:29, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1293.66, max: 1347.29
Date: 07-01 at 19:04:08, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1331.78, max: 1373.39
Date: 07-01 at 19:04:50, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1363.77, max: 1432.00
Date: 07-01 at 19:05:38, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1432.07, max: 1660.41
Date: 07-01 at 19:06:24, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1359.96, max: 1677.75
Date: 07-01 at 19:07:12, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1323.93, max: 1458.25
Date: 07-01 at 19:07:54, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1258.50(10) mean: 1335.63, max: 1466.07
Date: 07-01 at 19:08:42, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1250.10(11) mean: 1484.32, max: 1790.69
Date: 07-01 at 19:09:35, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1242.69(10) mean: 1366.70, max: 1628.75
Date: 07-01 at 19:10:29, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1242.69(10) mean: 1344.29, max: 1549.48
Date: 07-01 at 19:11:34, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1283.51, max: 1431.92
Date: 07-01 at 19:12:53, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1266.17, max: 1314.71
Date: 07-01 at 19:14:14, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1279.20, max: 1341.32
Date: 07-01 at 19:15:44, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1281.46, max: 1382.26
Date: 07-01 at 19:17:25, iter: 35, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1252.71, max: 1276.77
Date: 07-01 at 19:18:55, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1399.72, max: 1560.70
Date: 07-01 at 19:20:25, iter: 38, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1295.36, max: 1445.30
Date: 07-01 at 19:21:58, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1282.72, max: 1399.32
Date: 07-01 at 19:23:23, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1240.61(9) mean: 1274.04, max: 1335.03
Date: 07-01 at 19:24:54, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1237.68(9) mean: 1410.67, max: 1615.68
Date: 07-01 at 19:26:28, iter: 43, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1237.68(9) mean: 1321.11, max: 1509.20
Date: 07-01 at 19:27:55, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1237.68(9) mean: 1262.49, max: 1316.44
Date: 07-01 at 19:29:18, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1237.68(9) mean: 1289.89, max: 1329.13
Date: 07-01 at 19:30:52, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1237.68(9) mean: 1441.86, max: 1715.56
Date: 07-01 at 19:32:17, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1237.68(9) mean: 1280.28, max: 1353.43
Date: 07-01 at 19:33:44, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1237.68(9) mean: 1285.82, max: 1388.15
Date: 07-01 at 19:35:14, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1227.02(9) mean: 1269.66, max: 1404.26
Date: 07-01 at 19:36:36, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1227.02(9) mean: 1264.52, max: 1354.31
Date: 07-01 at 19:38:03, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1227.02(9) mean: 1258.39, max: 1349.58
Date: 07-01 at 19:39:31, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1227.02(9) mean: 1263.12, max: 1396.67
Date: 07-01 at 19:40:55, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1227.02(9) mean: 1258.68, max: 1333.66
Date: 07-01 at 19:42:17, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1227.02(9) mean: 1471.16, max: 1893.86
Date: 07-01 at 19:43:38, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1227.02(9) mean: 1426.92, max: 1782.87
Date: 07-01 at 19:45:04, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1227.02(9) mean: 1366.24, max: 1546.92
Date: 07-01 at 19:46:25, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1274.87, max: 1487.35
Date: 07-01 at 19:47:47, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1276.48, max: 1411.71
Date: 07-01 at 19:49:15, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1256.63, max: 1376.14
Date: 07-01 at 19:50:32, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1261.31, max: 1377.08
Date: 07-01 at 19:51:53, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1252.09, max: 1356.64
Date: 07-01 at 19:53:20, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1448.22, max: 1890.07
Date: 07-01 at 19:54:35, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1359.98, max: 1925.32
Date: 07-01 at 19:55:55, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1275.74, max: 1376.84
Date: 07-01 at 19:57:14, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1219.53(9) mean: 1288.22, max: 1432.32
Date: 07-01 at 19:58:27, iter: 70, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1218.66(9) mean: 1495.04, max: 1653.20
Date: 07-01 at 19:59:41, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1213.34(9) mean: 1485.17, max: 1681.25
Date: 07-01 at 20:00:56, iter: 72, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1213.34(9) mean: 1439.30, max: 1714.82
Date: 07-01 at 20:02:11, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1213.34(9) mean: 1299.66, max: 1530.28
Date: 07-01 at 20:03:25, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1213.34(9) mean: 1277.94, max: 1520.34
Date: 07-01 at 20:04:46, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1209.70(9) mean: 1246.30, max: 1274.20
Date: 07-01 at 20:05:56, iter: 76, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1209.70(9) mean: 1262.16, max: 1301.59
Date: 07-01 at 20:07:10, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1209.70(9) mean: 1245.28, max: 1271.36
Date: 07-01 at 20:08:21, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1209.70(9) mean: 1256.23, max: 1314.22
Date: 07-01 at 20:09:36, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1209.70(9) mean: 1244.75, max: 1301.26
Date: 07-01 at 20:10:46, iter: 81, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1209.70(9) mean: 1389.33, max: 1641.29
Date: 07-01 at 20:12:00, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1209.70(9) mean: 1264.80, max: 1375.44
Date: 07-01 at 20:13:11, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 1144.48 best obj: 1209.70(9) mean: 1257.75, max: 1407.53
