Date: 07-03 at 05:06:04, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1899.18(19) mean: 2832.31, max: 3232.43
Date: 07-03 at 05:08:01, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1829.43(18) mean: 2796.36, max: 3238.07
Date: 07-03 at 05:10:02, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1795.51(18) mean: 2736.24, max: 3277.27
Date: 07-03 at 05:12:04, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1795.51(18) mean: 2681.06, max: 3319.86
Date: 07-03 at 05:14:09, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1795.51(18) mean: 2510.50, max: 3344.63
Date: 07-03 at 05:16:13, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1795.51(18) mean: 2074.32, max: 3012.28
Date: 07-03 at 05:18:08, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1795.51(18) mean: 1923.27, max: 2091.73
Date: 07-03 at 05:20:05, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1775.91(18) mean: 1958.17, max: 2122.27
Date: 07-03 at 05:21:59, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1771.82(18) mean: 2012.81, max: 2193.22
Date: 07-03 at 05:23:57, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1771.82(18) mean: 2046.40, max: 2219.12
Date: 07-03 at 05:25:53, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1771.82(18) mean: 2003.53, max: 2219.42
Date: 07-03 at 05:27:53, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1771.82(18) mean: 1871.47, max: 1954.90
Date: 07-03 at 05:29:50, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1771.82(18) mean: 1824.45, max: 1985.70
Date: 07-03 at 05:31:46, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1771.82(18) mean: 1913.84, max: 2166.80
Date: 07-03 at 05:33:42, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1771.82(18) mean: 1954.48, max: 2198.04
Date: 07-03 at 05:35:35, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1738.96(18) mean: 1911.24, max: 2243.45
Date: 07-03 at 05:37:25, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1738.96(18) mean: 1943.58, max: 2218.15
Date: 07-03 at 05:39:21, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1738.96(18) mean: 1816.45, max: 1917.50
Date: 07-03 at 05:41:12, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1738.96(18) mean: 1812.83, max: 1918.83
Date: 07-03 at 05:43:08, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1793.67, max: 1899.70
Date: 07-03 at 05:44:56, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1794.85, max: 1908.49
Date: 07-03 at 05:46:57, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1792.50, max: 1899.70
Date: 07-03 at 05:48:46, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1792.50, max: 1899.70
Date: 07-03 at 05:50:46, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1792.50, max: 1899.70
Date: 07-03 at 05:52:41, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1898.46, max: 2141.33
Date: 07-03 at 05:54:35, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1945.75, max: 2196.51
Date: 07-03 at 05:56:25, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1887.40, max: 2213.76
Date: 07-03 at 05:58:22, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1837.54, max: 2280.04
Date: 07-03 at 06:00:20, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1888.65, max: 2074.54
Date: 07-03 at 06:02:15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1781.29, max: 1925.54
Date: 07-03 at 06:04:04, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1734.86(18) mean: 1818.57, max: 1988.55
Date: 07-03 at 06:05:53, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1717.33(18) mean: 1765.19, max: 1821.10
Date: 07-03 at 06:07:55, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1715.63(17) mean: 1758.62, max: 1833.39
Date: 07-03 at 06:09:49, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1715.63(17) mean: 1827.78, max: 1901.50
Date: 07-03 at 06:11:46, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1715.63(17) mean: 1857.88, max: 1936.40
Date: 07-03 at 06:13:41, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1714.19(17) mean: 1865.52, max: 2006.48
Date: 07-03 at 06:15:40, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1697.08(18) mean: 1744.23, max: 1836.24
Date: 07-03 at 06:17:27, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1697.08(18) mean: 1753.12, max: 1810.80
Date: 07-03 at 06:19:20, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1697.08(18) mean: 1796.01, max: 1849.89
Date: 07-03 at 06:21:18, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1683.32(18) mean: 1770.09, max: 1855.91
Date: 07-03 at 06:23:20, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1683.32(18) mean: 1760.82, max: 1880.91
Date: 07-03 at 06:25:10, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1683.32(18) mean: 1717.69, max: 1764.77
