Date: 07-02 at 22:14:37, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1915.47(20) mean: 2898.01, max: 3274.72
Date: 07-02 at 22:16:33, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1855.49(19) mean: 2924.05, max: 3318.88
Date: 07-02 at 22:18:34, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1837.59(19) mean: 2650.92, max: 3339.94
Date: 07-02 at 22:20:32, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1837.59(19) mean: 2592.80, max: 3268.83
Date: 07-02 at 22:22:33, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1837.59(19) mean: 2444.82, max: 3317.88
Date: 07-02 at 22:24:31, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1837.59(19) mean: 2373.07, max: 3305.59
Date: 07-02 at 22:26:35, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1837.59(19) mean: 2253.17, max: 3320.62
Date: 07-02 at 22:28:32, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1818.74(20) mean: 2268.96, max: 3272.64
Date: 07-02 at 22:30:32, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1805.39(20) mean: 2223.54, max: 3276.37
Date: 07-02 at 22:32:35, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1787.46(20) mean: 2026.65, max: 2359.37
Date: 07-02 at 22:34:31, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1787.45(19) mean: 2015.41, max: 2428.22
Date: 07-02 at 22:36:31, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1787.45(19) mean: 1876.74, max: 1996.52
Date: 07-02 at 22:38:28, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1787.45(19) mean: 1918.38, max: 2047.47
Date: 07-02 at 22:40:25, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1787.45(19) mean: 1918.75, max: 2116.57
Date: 07-02 at 22:42:23, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1787.45(19) mean: 1896.88, max: 2030.58
Date: 07-02 at 22:44:20, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1776.59(19) mean: 1952.54, max: 2204.50
Date: 07-02 at 22:46:15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1776.59(19) mean: 1979.17, max: 2228.80
Date: 07-02 at 22:48:14, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1776.59(19) mean: 2043.91, max: 2337.14
Date: 07-02 at 22:50:05, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1623.58 best obj: 1755.71(18) mean: 1871.32, max: 2201.59
