Date: 12-31 at 22:26:39, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 1020.53(7), mean: 2834.39, max: 3625.23
Date: 12-31 at 22:27:31, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 818.16(6), mean: 2693.45, max: 3524.71
Date: 12-31 at 22:28:26, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 728.95(6), mean: 1986.19, max: 2833.18
Date: 12-31 at 22:29:19, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 720.39(6), mean: 1995.38, max: 2839.75
Date: 12-31 at 22:30:14, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 716.97(6), mean: 1957.93, max: 2770.53
Date: 12-31 at 22:31:07, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 672.48(5), mean: 924.83, max: 1106.21
Date: 12-31 at 22:32:01, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 672.48(5), mean: 892.13, max: 1138.02
Date: 12-31 at 22:32:52, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 672.48(5), mean: 791.38, max: 938.89
Date: 12-31 at 22:33:47, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 672.48(5), mean: 804.25, max: 996.68
Date: 12-31 at 22:34:38, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 672.48(5), mean: 743.73, max: 795.73
Date: 12-31 at 22:35:34, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 672.48(5), mean: 892.47, max: 1435.14
Date: 12-31 at 22:36:28, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 672.48(5), mean: 796.17, max: 1262.01
Date: 12-31 at 22:37:19, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.73(4), mean: 664.29, max: 734.25
Date: 12-31 at 22:38:14, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.73(4), mean: 662.47, max: 785.77
Date: 12-31 at 22:39:07, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.73(4), mean: 658.82, max: 733.42
Date: 12-31 at 22:39:55, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 656.86, max: 712.55
Date: 12-31 at 22:40:50, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 651.34, max: 673.48
Date: 12-31 at 22:41:44, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 654.05, max: 721.37
Date: 12-31 at 22:42:38, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 652.24, max: 684.48
Date: 12-31 at 22:43:26, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 650.61, max: 671.82
Date: 12-31 at 22:44:29, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 843.69, max: 1297.93
Date: 12-31 at 22:45:21, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 756.92, max: 1116.78
Date: 12-31 at 22:46:13, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 729.66, max: 870.34
Date: 12-31 at 22:47:04, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 656.86, max: 736.12
Date: 12-31 at 22:48:15, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 837.26, max: 1289.23
Date: 12-31 at 22:49:10, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.29, best obj: 634.07(4), mean: 769.41, max: 1143.26
