Date: 12-05 at 07:26:02, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1286.77(14), mean: 2158.69, max: 2719.91
Date: 12-05 at 07:26:46, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1231.90(14), mean: 2070.85, max: 2659.31
Date: 12-05 at 07:27:31, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1221.71(14), mean: 1922.52, max: 2669.43
Date: 12-05 at 07:28:18, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1211.05(15), mean: 1942.63, max: 2692.10
Date: 12-05 at 07:29:03, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1169.53(14), mean: 1935.83, max: 2669.36
Date: 12-05 at 07:29:48, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1812.58, max: 2586.20
Date: 12-05 at 07:30:35, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1796.57, max: 2566.15
Date: 12-05 at 07:31:21, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1589.57, max: 2361.59
Date: 12-05 at 07:32:10, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1300.51, max: 1460.73
Date: 12-05 at 07:33:02, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1331.31, max: 1519.02
Date: 12-05 at 07:33:49, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 2110.83, max: 2517.38
Date: 12-05 at 07:34:36, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1812.36, max: 2384.97
Date: 12-05 at 07:35:25, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1733.62, max: 2333.47
Date: 12-05 at 07:36:10, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1685.49, max: 2277.60
Date: 12-05 at 07:36:54, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 2132.64, max: 2514.94
Date: 12-05 at 07:37:37, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1053.5, best obj: 1152.88(13), mean: 1969.88, max: 2381.52
