Date: 04-09 at 15:49:49, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 262.94(2), mean: 763.43, max: 870.02
Date: 04-09 at 15:49:52, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 970.95, max: 1092.57
Date: 04-09 at 15:49:59, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 1175.95, max: 1312.22
Date: 04-09 at 15:50:07, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 1213.65, max: 1352.61
Date: 04-09 at 15:50:19, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 1418.65, max: 1572.25
Date: 04-09 at 15:50:39, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 1623.65, max: 1791.89
Date: 04-09 at 15:51:08, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 1828.65, max: 2011.53
Date: 04-09 at 15:51:35, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 1866.35, max: 2051.93
Date: 04-09 at 15:52:20, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 2071.35, max: 2271.57
Date: 04-09 at 15:53:20, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 2276.35, max: 2491.21
Date: 04-09 at 15:54:12, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 2314.05, max: 2531.60
Date: 04-09 at 15:55:10, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 260.03(2), mean: 2351.74, max: 2571.99
