Date: 03-24 at 17:19:28, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 733.05(5), mean: 1035.13, max: 1581.81
Date: 03-24 at 17:19:29, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 673.58(5), mean: 972.22, max: 1395.87
Date: 03-24 at 17:19:31, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 666.52(4), mean: 896.86, max: 1298.09
Date: 03-24 at 17:19:33, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 659.67(4), mean: 855.48, max: 1109.79
Date: 03-24 at 17:19:36, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 659.67(4), mean: 741.72, max: 879.36
Date: 03-24 at 17:19:38, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 618.52(3), mean: 708.39, max: 824.75
Date: 03-24 at 17:19:44, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 612.48(3), mean: 644.48, max: 669.52
Date: 03-24 at 17:19:48, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 612.48(3), mean: 652.36, max: 693.16
Date: 03-24 at 17:19:51, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 612.48(3), mean: 661.58, max: 717.66
Date: 03-24 at 17:19:54, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 612.21(3), mean: 625.42, max: 649.77
Date: 03-24 at 17:19:58, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 602.01, max: 623.85
Date: 03-24 at 17:20:02, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 601.24, max: 612.21
Date: 03-24 at 17:20:07, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 601.24, max: 612.21
Date: 03-24 at 17:20:17, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 603.35, max: 628.02
Date: 03-24 at 17:20:27, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 602.33, max: 621.35
Date: 03-24 at 17:20:37, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 1604.42, max: 2030.45
Date: 03-24 at 17:20:40, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 1283.77, max: 1690.98
Date: 03-24 at 17:20:43, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 864.48, max: 1325.73
Date: 03-24 at 17:20:47, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 681.38, max: 749.80
Date: 03-24 at 17:20:55, particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 1640.87, max: 2056.06
Date: 03-24 at 17:20:58, particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, best obj: 599.55(3), mean: 1257.76, max: 1706.75
