Date: 01-27 at 03:35:47, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1440.12(4), mean: 2995.34, max: 3729.83
Date: 01-27 at 03:36:13, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1276.54(9), mean: 2309.11, max: 2960.50
Date: 01-27 at 03:36:57, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1187.62(9), mean: 2145.46, max: 2826.18
Date: 01-27 at 03:37:24, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1187.62(9), mean: 2068.25, max: 2795.48
Date: 01-27 at 03:38:07, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1187.62(9), mean: 1724.36, max: 2673.08
Date: 01-27 at 03:38:49, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1135.06(9), mean: 1359.34, max: 1969.11
Date: 01-27 at 03:39:28, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1091.18(9), mean: 1222.22, max: 1733.71
Date: 01-27 at 03:40:12, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1080.42(9), mean: 1224.29, max: 1693.36
Date: 01-27 at 03:40:53, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1080.42(9), mean: 1188.49, max: 1696.21
Date: 01-27 at 03:41:24, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.80(8), mean: 1204.25, max: 1307.35
Date: 01-27 at 03:41:59, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.80(8), mean: 1154.05, max: 1291.40
Date: 01-27 at 03:42:41, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.80(8), mean: 1146.76, max: 1276.53
Date: 01-27 at 03:43:18, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.80(8), mean: 1130.30, max: 1206.84
Date: 01-27 at 03:43:58, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.80(8), mean: 1115.44, max: 1185.86
Date: 01-27 at 03:44:42, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.80(8), mean: 1286.73, max: 1564.39
Date: 01-27 at 03:45:24, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.80(8), mean: 1228.84, max: 1559.40
Date: 01-27 at 03:46:05, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.80(8), mean: 1178.36, max: 1438.24
Date: 01-27 at 03:46:43, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1073.73(8), mean: 1144.94, max: 1273.36
Date: 01-27 at 03:47:24, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1071.13(8), mean: 1125.86, max: 1216.89
Date: 01-27 at 03:48:07, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1068.79(8), mean: 1131.55, max: 1235.15
Date: 01-27 at 03:48:48, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1121.79, max: 1257.65
Date: 01-27 at 03:49:19, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1132.29, max: 1219.23
Date: 01-27 at 03:50:06, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1120.68, max: 1231.34
Date: 01-27 at 03:50:39, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1122.31, max: 1219.45
Date: 01-27 at 03:51:17, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1094.92, max: 1149.48
Date: 01-27 at 03:52:03, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1335.33, max: 1635.47
Date: 01-27 at 03:52:40, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1183.55, max: 1524.14
Date: 01-27 at 03:53:23, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1125.29, max: 1246.56
Date: 01-27 at 03:54:04, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1061.92(8), mean: 1129.70, max: 1266.10
Date: 01-27 at 03:54:37, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1045.60(7), mean: 1280.37, max: 1622.73
Date: 01-27 at 03:55:15, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 954.16, best obj: 1039.68(7), mean: 1231.29, max: 1541.75
