Date: 09-11 at 12:48:51, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1300.11, max: 1562.85
Date: 09-11 at 12:49:58, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 2909.43, max: 3717.82
Date: 09-11 at 12:51:03, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1167.55, max: 1273.93
Date: 09-11 at 12:52:15, #particle: 15, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1429.15, max: 1660.08
Date: 09-11 at 12:53:21, #particle: 15, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1349.04, max: 1714.05
Date: 09-11 at 12:54:25, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1137.26, max: 1356.96
Date: 09-11 at 12:55:31, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1151.12, max: 1386.89
Date: 09-11 at 12:56:38, #particle: 15, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1362.82, max: 1697.77
Date: 09-11 at 12:57:47, #particle: 15, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1216.83, max: 1553.66
Date: 09-11 at 12:58:50, #particle: 15, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 979.61(4), mean: 1069.54, max: 1219.40
Date: 09-11 at 12:59:58, #particle: 15, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.59(4), mean: 1142.73, max: 1289.56
Date: 09-11 at 13:01:00, #particle: 15, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.59(4), mean: 1042.97, max: 1252.58
Date: 09-11 at 13:02:10, #particle: 15, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.59(4), mean: 1096.76, max: 1276.32
Date: 09-11 at 13:03:13, #particle: 15, iter: 59, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.59(4), mean: 1026.51, max: 1155.32
Date: 09-11 at 13:04:15, #particle: 15, iter: 60, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.37(4), mean: 1021.23, max: 1082.40
Date: 09-11 at 13:05:19, #particle: 15, iter: 61, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.03(4), mean: 1036.29, max: 1101.27
Date: 09-11 at 13:06:21, #particle: 15, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.03(4), mean: 996.40, max: 1121.02
Date: 09-11 at 13:07:26, #particle: 15, iter: 63, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.03(4), mean: 1032.96, max: 1084.86
Date: 09-11 at 13:08:27, #particle: 15, iter: 64, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 977.03(4), mean: 994.97, max: 1068.40
Date: 09-11 at 13:09:34, #particle: 15, iter: 65, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 995.64, max: 1028.57
Date: 09-11 at 13:10:38, #particle: 15, iter: 66, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1014.62, max: 1114.95
Date: 09-11 at 13:11:42, #particle: 15, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1028.10, max: 1151.04
Date: 09-11 at 13:12:50, #particle: 15, iter: 68, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 991.75, max: 1066.36
Date: 09-11 at 13:13:50, #particle: 15, iter: 69, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 985.29, max: 1077.58
Date: 09-11 at 13:15:12, #particle: 15, iter: 71, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1106.04, max: 1430.94
Date: 09-11 at 13:16:14, #particle: 15, iter: 72, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1067.68, max: 1456.91
Date: 09-11 at 13:17:21, #particle: 15, iter: 73, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1001.62, max: 1147.86
Date: 09-11 at 13:18:28, #particle: 15, iter: 74, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 996.77, max: 1092.32
Date: 09-11 at 13:19:54, #particle: 15, iter: 76, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1139.99, max: 1523.60
Date: 09-11 at 13:20:59, #particle: 15, iter: 78, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 2843.84, max: 3607.38
Date: 09-11 at 13:22:06, #particle: 15, iter: 79, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1426.75, max: 2561.93
Date: 09-11 at 13:23:13, #particle: 15, iter: 80, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1191.29, max: 1339.34
Date: 09-11 at 13:24:21, #particle: 15, iter: 82, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1296.70, max: 1516.26
Date: 09-11 at 13:25:27, #particle: 15, iter: 83, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1061.28, max: 1366.25
Date: 09-11 at 13:26:32, #particle: 15, iter: 84, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 975.25(4), mean: 1074.87, max: 1209.28
Date: 09-11 at 13:27:35, #particle: 15, iter: 85, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.28(4), mean: 1015.50, max: 1103.48
Date: 09-11 at 13:28:39, #particle: 15, iter: 86, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1106.52, max: 1176.89
Date: 09-11 at 13:29:45, #particle: 15, iter: 87, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1120.60, max: 1256.01
Date: 09-11 at 13:30:48, #particle: 15, iter: 88, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1024.57, max: 1140.59
Date: 09-11 at 13:31:57, #particle: 15, iter: 89, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1056.98, max: 1150.64
Date: 09-11 at 13:32:59, #particle: 15, iter: 90, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1046.10, max: 1182.78
Date: 09-11 at 13:34:07, #particle: 15, iter: 92, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1211.94, max: 1467.87
Date: 09-11 at 13:35:10, #particle: 15, iter: 93, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1066.18, max: 1381.67
Date: 09-11 at 13:36:14, #particle: 15, iter: 94, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1020.69, max: 1127.61
Date: 09-11 at 13:37:19, #particle: 15, iter: 95, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 972.04(4), mean: 1056.48, max: 1263.15
Date: 09-11 at 13:38:29, #particle: 15, iter: 97, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 969.43(5), mean: 1192.29, max: 1654.82
Date: 09-11 at 13:39:36, #particle: 15, iter: 99, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 962.54(5), mean: 3431.41, max: 4416.80
Date: 09-11 at 13:40:43, #particle: 15, iter: 100, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 962.46(5), mean: 1584.16, max: 3599.18
Date: 09-11 at 13:41:54, #particle: 15, iter: 101, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 962.46(5), mean: 1230.11, max: 1338.54
Date: 09-11 at 13:43:00, #particle: 15, iter: 102, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 962.46(5), mean: 1176.11, max: 1369.81
Date: 09-11 at 13:44:10, #particle: 15, iter: 103, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 962.46(5), mean: 1117.68, max: 1230.48
