Date: 07-20 at 15:41:03, #particle: 10, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1694.74(22), mean: 1746.36, max: 1840.97
Date: 07-20 at 15:41:49, #particle: 10, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1694.74(22), mean: 1740.40, max: 1870.34
Date: 07-20 at 15:42:38, #particle: 10, iter: 43, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1694.74(22), mean: 1727.69, max: 1769.95
Date: 07-20 at 15:43:24, #particle: 10, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1694.74(22), mean: 1815.20, max: 1909.33
Date: 07-20 at 15:44:10, #particle: 10, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1691.94(22), mean: 1719.23, max: 1768.22
Date: 07-20 at 15:44:50, #particle: 10, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1691.94(22), mean: 1750.43, max: 1791.39
Date: 07-20 at 15:45:34, #particle: 10, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1691.94(22), mean: 1752.90, max: 1810.33
Date: 07-20 at 15:46:20, #particle: 10, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1691.94(22), mean: 1766.27, max: 1847.27
Date: 07-20 at 15:47:06, #particle: 10, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1691.94(22), mean: 1739.86, max: 1791.09
Date: 07-20 at 15:47:47, #particle: 10, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1691.94(22), mean: 1783.23, max: 1862.95
Date: 07-20 at 15:48:31, #particle: 10, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1678.79(22), mean: 1770.50, max: 1856.99
Date: 07-20 at 15:49:19, #particle: 10, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1678.79(22), mean: 1708.80, max: 1737.33
Date: 07-20 at 15:50:00, #particle: 10, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1678.79(22), mean: 1717.00, max: 1760.85
Date: 07-20 at 15:50:41, #particle: 10, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1678.79(22), mean: 1726.23, max: 1792.00
Date: 07-20 at 15:51:24, #particle: 10, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1678.79(22), mean: 1745.98, max: 1832.80
Date: 07-20 at 15:52:12, #particle: 10, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1673.37(21), mean: 1759.51, max: 1895.34
Date: 07-20 at 15:52:56, #particle: 10, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1732.55, max: 1881.31
Date: 07-20 at 15:53:35, #particle: 10, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1755.70, max: 1893.61
Date: 07-20 at 15:54:21, #particle: 10, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1668.23(21), mean: 1702.20, max: 1756.36
