Date: 12-26 at 20:08:23, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1662.12(16), mean: 2686.04, max: 3007.37
Date: 12-26 at 20:09:17, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1544.83(15), mean: 2635.21, max: 3044.51
Date: 12-26 at 20:10:13, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1496.69(14), mean: 2311.55, max: 2814.20
Date: 12-26 at 20:11:04, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1481.73(16), mean: 2339.51, max: 2838.00
Date: 12-26 at 20:11:57, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1411.21(14), mean: 2364.27, max: 2869.58
Date: 12-26 at 20:12:54, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 2403.70, max: 2945.13
Date: 12-26 at 20:13:55, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1866.34, max: 2787.37
Date: 12-26 at 20:14:49, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1688.81, max: 2630.42
Date: 12-26 at 20:15:44, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1604.64, max: 1751.74
Date: 12-26 at 20:16:41, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1633.29, max: 1794.71
Date: 12-26 at 20:17:39, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1613.07, max: 1948.52
Date: 12-26 at 20:18:27, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1626.24, max: 1973.60
Date: 12-26 at 20:19:20, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1667.19, max: 2049.42
Date: 12-26 at 20:20:13, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1501.16, max: 1753.09
Date: 12-26 at 20:21:05, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1616.82, max: 1895.30
Date: 12-26 at 20:21:58, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 1212.83, best obj: 1398.50(14), mean: 1583.14, max: 1967.11
