Date: 07-11 at 20:05:25, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 1312.98(5) mean: 3184.95, max: 4315.48
Date: 07-11 at 20:05:56, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 1034.27(5) mean: 2123.09, max: 3501.09
Date: 07-11 at 20:06:30, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 966.91(5) mean: 1770.00, max: 2891.97
Date: 07-11 at 20:07:00, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 868.01(5) mean: 1423.61, max: 2520.41
Date: 07-11 at 20:07:27, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 817.85(5) mean: 1037.24, max: 1581.05
Date: 07-11 at 20:07:52, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 775.39(5) mean: 997.79, max: 1547.38
Date: 07-11 at 20:08:37, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 738.49(7) mean: 838.28, max: 949.84
Date: 07-11 at 20:09:10, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 662.75(5) mean: 808.95, max: 915.89
Date: 07-11 at 20:09:54, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 662.75(5) mean: 777.71, max: 930.19
Date: 07-11 at 20:10:29, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 661.99(5) mean: 718.83, max: 812.54
Date: 07-11 at 20:11:03, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 661.94(5) mean: 692.95, max: 755.44
Date: 07-11 at 20:11:38, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 661.94(5) mean: 676.67, max: 752.95
Date: 07-11 at 20:12:16, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 658.00(4) mean: 674.13, max: 733.31
Date: 07-11 at 20:12:52, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.78(4) mean: 669.83, max: 717.36
Date: 07-11 at 20:13:20, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.24(4) mean: 664.43, max: 688.87
Date: 07-11 at 20:13:52, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 681.41, max: 696.27
Date: 07-11 at 20:14:24, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 656.28, max: 657.56
Date: 07-11 at 20:14:54, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 656.19, max: 656.19
Date: 07-11 at 20:15:27, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 656.19, max: 656.19
Date: 07-11 at 20:15:53, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 656.19, max: 656.19
Date: 07-11 at 20:16:36, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 717.67, max: 1045.60
Date: 07-11 at 20:17:05, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 697.96, max: 1036.49
Date: 07-11 at 20:17:39, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 660.76, max: 724.22
Date: 07-11 at 20:18:06, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 656.19, max: 656.19
Date: 07-11 at 20:18:45, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 656.19(4) mean: 714.60, max: 862.38
Date: 07-11 at 20:19:10, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 626.25(3) mean: 657.89, max: 732.32
Date: 07-11 at 20:19:38, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 626.25(3) mean: 652.90, max: 696.69
Date: 07-11 at 20:20:04, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 626.25(3) mean: 651.11, max: 669.92
Date: 07-11 at 20:20:29, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 626.25(3) mean: 651.06, max: 689.01
Date: 07-11 at 20:20:53, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 626.25(4) mean: 626.98, max: 629.92
Date: 07-11 at 20:23:22, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 626.25(4) mean: 648.15, max: 792.66
Date: 07-11 at 20:24:16, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 626.25(4) mean: 629.14, max: 652.61
Date: 07-11 at 20:25:07, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 617.62(3) mean: 626.42, max: 637.46
Date: 07-11 at 20:25:33, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 617.62(3) mean: 625.48, max: 626.25
Date: 07-11 at 20:25:56, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.17 best obj: 617.62(3) mean: 635.15, max: 636.67
