Date: 12-02 at 17:41:35, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1337.56(14), mean: 3386.53, max: 3949.70
Date: 12-02 at 17:42:27, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1212.48(14), mean: 3331.60, max: 3900.32
Date: 12-02 at 17:43:22, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1143.61(13), mean: 3237.17, max: 3763.33
Date: 12-02 at 17:44:19, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1143.61(13), mean: 2965.01, max: 3511.80
Date: 12-02 at 17:45:27, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1097.67(14), mean: 1317.60, max: 1504.46
Date: 12-02 at 17:46:19, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 996.52(13), mean: 1378.82, max: 1552.53
Date: 12-02 at 17:47:15, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 928.09(13), mean: 1374.15, max: 1573.33
Date: 12-02 at 17:48:17, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 923.19(13), mean: 1155.59, max: 1541.65
Date: 12-02 at 17:49:19, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 899.00(12), mean: 1073.14, max: 1256.56
Date: 12-02 at 17:50:15, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 895.08(12), mean: 1035.95, max: 1253.63
Date: 12-02 at 17:51:06, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 894.33(12), mean: 1030.47, max: 1258.48
Date: 12-02 at 17:52:01, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 892.97(12), mean: 1034.88, max: 1193.32
Date: 12-02 at 17:52:59, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 892.97(12), mean: 960.03, max: 1054.21
Date: 12-02 at 17:53:55, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 889.14(12), mean: 939.33, max: 1054.21
Date: 12-02 at 17:54:52, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 911.86, max: 1032.91
Date: 12-02 at 17:55:46, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 902.89, max: 1030.82
Date: 12-02 at 17:56:39, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 893.71, max: 929.37
Date: 12-02 at 17:57:33, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 891.71, max: 929.37
Date: 12-02 at 17:58:30, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 891.71, max: 929.37
Date: 12-02 at 17:59:25, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 3224.00, max: 3762.23
Date: 12-02 at 18:00:27, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 1288.23, max: 1404.22
Date: 12-02 at 18:01:23, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 1182.78, max: 1449.58
Date: 12-02 at 18:02:17, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 1121.98, max: 1349.27
Date: 12-02 at 18:03:18, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 3272.89, max: 3766.52
Date: 12-02 at 18:04:20, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 1235.49, max: 1498.14
