Date: 01-16 at 11:57:59, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 1513.64(15), mean: 3285.20, max: 3879.09
Date: 01-16 at 11:58:58, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 1352.13(15), mean: 3222.78, max: 3797.35
Date: 01-16 at 12:00:02, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 1285.02(15), mean: 2917.82, max: 3526.50
Date: 01-16 at 12:00:59, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 1269.83(15), mean: 2741.26, max: 3400.85
Date: 01-16 at 12:02:00, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 1247.31(15), mean: 2490.15, max: 3327.63
Date: 01-16 at 12:03:09, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 1084.48(14), mean: 1369.38, max: 1556.55
Date: 01-16 at 12:04:09, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 1011.29(14), mean: 1241.39, max: 1543.95
Date: 01-16 at 12:05:13, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 947.99(13), mean: 1146.92, max: 1514.65
Date: 01-16 at 12:06:07, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 1175.97, max: 1557.99
Date: 01-16 at 12:07:09, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 1053.46, max: 1260.92
Date: 01-16 at 12:08:09, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 1004.11, max: 1154.63
Date: 01-16 at 12:09:03, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 1007.62, max: 1184.76
Date: 01-16 at 12:10:02, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 990.27, max: 1146.57
Date: 01-16 at 12:11:03, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 3256.30, max: 3841.82
Date: 01-16 at 12:11:59, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 2809.96, max: 3633.33
Date: 01-16 at 12:12:57, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 2664.23, max: 3355.62
Date: 01-16 at 12:14:01, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 2274.03, max: 3164.31
Date: 01-16 at 12:15:00, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 3121.57, max: 3600.48
Date: 01-16 at 12:15:59, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 828.94, best obj: 916.72(12), mean: 2755.71, max: 3492.84
