Date: 07-10 at 05:50:33, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 676.27(5) mean: 722.99, max: 770.72
Date: 07-10 at 05:51:05, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 676.27(5) mean: 716.88, max: 767.64
Date: 07-10 at 05:51:46, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 676.27(5) mean: 715.15, max: 768.13
Date: 07-10 at 05:52:29, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 676.27(5) mean: 715.15, max: 768.13
Date: 07-10 at 05:53:06, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 676.27(5) mean: 923.43, max: 1338.48
Date: 07-10 at 05:53:31, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 789.34, max: 1075.40
Date: 07-10 at 05:53:58, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 764.21, max: 1026.65
Date: 07-10 at 05:54:27, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 672.90, max: 696.69
Date: 07-10 at 05:54:57, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 669.89, max: 672.29
Date: 07-10 at 05:55:24, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 669.52, max: 669.52
Date: 07-10 at 05:56:07, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 731.73, max: 1190.04
Date: 07-10 at 05:56:35, iter: 57, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 720.80, max: 1113.15
Date: 07-10 at 05:57:01, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 701.31, max: 1088.95
Date: 07-10 at 05:57:29, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 676.61, max: 725.06
Date: 07-10 at 05:58:13, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 669.52(4) mean: 771.34, max: 1336.27
Date: 07-10 at 05:58:43, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 717.71, max: 1097.87
Date: 07-10 at 05:59:12, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 702.63, max: 906.58
Date: 07-10 at 05:59:45, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 674.20, max: 792.44
Date: 07-10 at 06:00:18, iter: 65, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 661.47, max: 793.78
Date: 07-10 at 06:00:43, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 644.53, max: 674.00
Date: 07-10 at 06:01:17, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 747.57, max: 1142.76
Date: 07-10 at 06:01:49, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 657.23, max: 729.08
Date: 07-10 at 06:02:22, iter: 70, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:02:55, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 642.14, max: 642.14
Date: 07-10 at 06:03:41, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 678.62, max: 918.90
Date: 07-10 at 06:04:10, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 642.14(4) mean: 648.33, max: 728.66
