Date: 12-03 at 19:16:42, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1278.56(12), mean: 3466.39, max: 3833.64
Date: 12-03 at 19:17:32, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1123.49(12), mean: 3181.56, max: 3737.12
Date: 12-03 at 19:18:22, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1102.73(12), mean: 2969.38, max: 3500.84
Date: 12-03 at 19:19:08, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1102.73(12), mean: 2732.07, max: 3399.81
Date: 12-03 at 19:19:56, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1066.30(13), mean: 2735.72, max: 3429.08
Date: 12-03 at 19:20:46, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 984.45(12), mean: 2681.76, max: 3358.38
Date: 12-03 at 19:21:37, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 975.66(12), mean: 2684.57, max: 3359.42
Date: 12-03 at 19:22:27, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 974.11(12), mean: 2319.18, max: 3085.32
Date: 12-03 at 19:23:19, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 974.11(12), mean: 2203.33, max: 3091.68
Date: 12-03 at 19:24:20, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 974.11(12), mean: 1167.12, max: 1295.38
Date: 12-03 at 19:25:10, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 974.11(12), mean: 1095.34, max: 1263.82
Date: 12-03 at 19:26:01, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 959.79(12), mean: 1087.99, max: 1305.06
Date: 12-03 at 19:26:54, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 1037.51, max: 1261.30
Date: 12-03 at 19:27:43, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 1033.29, max: 1287.52
Date: 12-03 at 19:28:31, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 1073.53, max: 1336.19
Date: 12-03 at 19:29:26, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 1009.05, max: 1104.34
Date: 12-03 at 19:30:19, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 985.90, max: 1071.81
Date: 12-03 at 19:31:16, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 3079.01, max: 3420.11
Date: 12-03 at 19:32:07, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 1177.87, max: 1269.21
Date: 12-03 at 19:32:53, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 1230.20, max: 1342.64
Date: 12-03 at 19:33:44, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 1153.42, max: 1285.61
Date: 12-03 at 19:34:37, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 2971.54, max: 3540.51
Date: 12-03 at 19:35:31, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 948.88(12), mean: 1189.38, max: 1398.74
