Date: 01-03 at 01:27:18, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 906.57(5), mean: 3207.27, max: 4081.83
Date: 01-03 at 01:28:11, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 837.32(5), mean: 2587.74, max: 3371.24
Date: 01-03 at 01:29:07, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 821.38(5), mean: 2603.96, max: 3369.24
Date: 01-03 at 01:30:02, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 810.00(5), mean: 1955.74, max: 2591.56
Date: 01-03 at 01:31:00, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 808.09(5), mean: 1971.39, max: 2639.94
Date: 01-03 at 01:31:54, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 801.35(5), mean: 978.04, max: 1209.90
Date: 01-03 at 01:32:51, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 793.75(5), mean: 1001.99, max: 1163.70
Date: 01-03 at 01:33:45, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 793.75(5), mean: 1009.09, max: 1193.54
Date: 01-03 at 01:34:40, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 751.24(5), mean: 903.94, max: 997.62
Date: 01-03 at 01:35:32, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 747.45(5), mean: 849.37, max: 934.41
Date: 01-03 at 01:36:26, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 706.81(4), mean: 749.18, max: 801.54
Date: 01-03 at 01:37:20, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 706.81(4), mean: 761.93, max: 826.84
Date: 01-03 at 01:38:14, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 698.80(4), mean: 706.28, max: 706.81
Date: 01-03 at 01:39:02, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 698.80(4), mean: 706.28, max: 706.81
Date: 01-03 at 01:39:54, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 698.80(4), mean: 726.28, max: 728.24
Date: 01-03 at 01:40:41, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 698.80(4), mean: 718.21, max: 728.24
Date: 01-03 at 01:41:32, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 698.80(4), mean: 718.88, max: 740.33
Date: 01-03 at 01:42:23, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 698.80(5), mean: 2707.44, max: 3155.09
Date: 01-03 at 01:43:16, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 698.80(5), mean: 963.59, max: 1138.01
Date: 01-03 at 01:44:07, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 698.80(5), mean: 872.44, max: 1114.06
Date: 01-03 at 01:44:59, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 689.11(5), mean: 784.45, max: 919.92
Date: 01-03 at 01:45:53, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 661.32(4), mean: 761.40, max: 890.75
Date: 01-03 at 01:46:46, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 656.79(4), mean: 741.99, max: 865.08
Date: 01-03 at 01:47:39, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 656.79(4), mean: 716.74, max: 826.36
Date: 01-03 at 01:48:31, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 656.79(4), mean: 698.36, max: 749.71
Date: 01-03 at 01:49:22, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 656.79(4), mean: 684.45, max: 731.19
Date: 01-03 at 01:50:13, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 655.72(5), mean: 677.10, max: 728.94
Date: 01-03 at 01:51:03, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 632.23(4), mean: 649.03, max: 660.54
Date: 01-03 at 01:52:00, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 631.59(5), mean: 651.93, max: 673.12
Date: 01-03 at 01:52:48, #particle: 15, iter: 31, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 628.46(4), mean: 631.26, max: 633.03
Date: 01-03 at 01:53:43, #particle: 15, iter: 32, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 628.46(4), mean: 631.17, max: 631.59
Date: 01-03 at 01:54:29, #particle: 15, iter: 33, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 628.46(4), mean: 631.17, max: 631.59
Date: 01-03 at 01:55:26, #particle: 15, iter: 34, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 628.46(4), mean: 631.17, max: 631.59
Date: 01-03 at 01:56:13, #particle: 15, iter: 35, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 628.46(4), mean: 631.17, max: 631.59
Date: 01-03 at 01:57:01, #particle: 15, iter: 37, fix: false, local: true, cut car: false, new generate: true, Khoo: 591.17, best obj: 628.46(4), mean: 2416.82, max: 2827.24
