Date: 07-08 at 19:58:14, iter: 45, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 778.85, max: 1029.47
Date: 07-08 at 19:59:01, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 700.72, max: 727.90
Date: 07-08 at 19:59:42, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 1002.16, max: 1334.16
Date: 07-08 at 20:00:24, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 655.77(4) mean: 889.40, max: 1355.95
Date: 07-08 at 20:01:11, iter: 50, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 655.77(4) mean: 738.44, max: 843.36
Date: 07-08 at 20:01:51, iter: 51, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 655.77(4) mean: 739.41, max: 887.55
Date: 07-08 at 20:02:34, iter: 52, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 655.77(4) mean: 729.16, max: 806.04
Date: 07-08 at 20:03:20, iter: 53, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 655.77(4) mean: 690.75, max: 803.55
Date: 07-08 at 20:04:09, iter: 55, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 632.74(3) mean: 661.55, max: 761.69
Date: 07-08 at 20:04:50, iter: 56, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 651.87, max: 675.19
Date: 07-08 at 20:05:33, iter: 57, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 617.80, max: 617.80
Date: 07-08 at 20:06:19, iter: 58, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 617.80, max: 617.80
Date: 07-08 at 20:06:57, iter: 59, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 617.80, max: 617.80
Date: 07-08 at 20:07:36, iter: 60, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 617.80, max: 617.80
Date: 07-08 at 20:10:07, iter: 62, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 617.80, max: 617.80
Date: 07-08 at 20:10:51, iter: 63, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 617.80, max: 617.80
Date: 07-08 at 20:11:32, iter: 64, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 617.80, max: 617.80
Date: 07-08 at 20:12:11, iter: 65, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 617.80, max: 617.80
Date: 07-08 at 20:14:22, iter: 67, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 631.09, max: 817.14
Date: 07-08 at 20:15:06, iter: 68, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 630.80, max: 812.77
Date: 07-08 at 20:15:49, iter: 69, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 619.32, max: 640.48
Date: 07-08 at 20:16:29, iter: 70, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 618.53, max: 628.72
Date: 07-08 at 20:18:35, iter: 72, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 617.80(3) mean: 647.19, max: 874.08
Date: 07-08 at 20:19:20, iter: 73, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 603.05(3) mean: 629.86, max: 698.67
Date: 07-08 at 20:20:02, iter: 74, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 597.73, max: 689.45
Date: 07-08 at 20:20:43, iter: 75, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 20:21:24, iter: 76, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 20:22:08, iter: 77, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 20:22:50, iter: 78, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
Date: 07-08 at 20:24:52, iter: 80, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 601.29, max: 648.98
Date: 07-08 at 20:25:35, iter: 81, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 602.14, max: 654.32
Date: 07-08 at 20:26:21, iter: 82, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 591.17(3) mean: 591.17, max: 591.17
