Date: 01-14 at 11:27:17, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 1098.45(4), mean: 3053.14, max: 3644.32
Date: 01-14 at 11:28:16, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 1001.06(4), mean: 2294.88, max: 3063.70
Date: 01-14 at 11:29:11, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 987.92(4), mean: 1573.38, max: 2404.91
Date: 01-14 at 11:30:07, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 980.06(4), mean: 1358.25, max: 2045.41
Date: 01-14 at 11:31:00, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 972.21(4), mean: 1085.92, max: 1262.74
Date: 01-14 at 11:31:54, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 946.25(5), mean: 1037.92, max: 1182.52
Date: 01-14 at 11:32:46, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 939.43(6), mean: 1018.78, max: 1131.22
Date: 01-14 at 11:33:42, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 917.12(6), mean: 1037.00, max: 1152.99
Date: 01-14 at 11:34:34, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 900.87(4), mean: 958.81, max: 1023.61
Date: 01-14 at 11:35:29, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 882.94(4), mean: 979.93, max: 1063.87
Date: 01-14 at 11:36:20, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 878.62(5), mean: 921.12, max: 1054.46
Date: 01-14 at 11:37:16, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.54(5), mean: 900.90, max: 941.54
Date: 01-14 at 11:38:09, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 898.45, max: 961.99
Date: 01-14 at 11:39:05, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 896.70, max: 937.10
Date: 01-14 at 11:39:56, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 978.74, max: 1023.69
Date: 01-14 at 11:40:53, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 912.07, max: 1041.07
Date: 01-14 at 11:41:46, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 921.34, max: 979.85
Date: 01-14 at 11:42:39, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 1080.64, max: 1375.25
Date: 01-14 at 11:43:32, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 1057.96, max: 1374.59
Date: 01-14 at 11:44:26, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 953.75, max: 1288.56
Date: 01-14 at 11:45:20, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 867.01(5), mean: 892.84, max: 1028.98
Date: 01-14 at 11:46:13, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 865.40(5), mean: 1204.70, max: 1434.47
Date: 01-14 at 11:47:06, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 797.99, best obj: 864.97(4), mean: 1136.13, max: 1413.64
