Date: 08-11 at 06:48:09, iter: 47, new3, Khoo: 1135.52, current_best: 1212.38 best obj: 1212.38(12) mean: 1231.55, max: 1286.70
Date: 08-11 at 06:50:18, iter: 48, new3, Khoo: 1135.52, current_best: 1207.86 best obj: 1207.86(12) mean: 1252.81, max: 1352.12
Date: 08-11 at 06:52:43, iter: 49, new3, Khoo: 1135.52, current_best: 1207.86 best obj: 1207.86(12) mean: 1286.51, max: 1390.78
Date: 08-11 at 06:55:18, iter: 50, new3, Khoo: 1135.52, current_best: 1207.84 best obj: 1207.84(12) mean: 1230.36, max: 1400.65
Date: 08-11 at 06:57:39, iter: 51, new3, Khoo: 1135.52, current_best: 1207.58 best obj: 1207.58(12) mean: 1264.25, max: 1451.53
Date: 08-11 at 07:00:04, iter: 52, new3, Khoo: 1135.52, current_best: 1207.58 best obj: 1207.58(12) mean: 1277.98, max: 1380.12
Date: 08-11 at 07:02:36, iter: 53, new3, Khoo: 1135.52, current_best: 1207.58 best obj: 1207.58(12) mean: 1228.24, max: 1287.36
Date: 08-11 at 07:04:56, iter: 54, new3, Khoo: 1135.52, current_best: 1207.58 best obj: 1207.58(12) mean: 1244.21, max: 1313.21
Date: 08-11 at 07:07:27, iter: 56, new3, Khoo: 1135.52, current_best: 1207.58 best obj: 1207.58(12) mean: 1305.66, max: 1559.09
Date: 08-11 at 07:09:54, iter: 57, new3, Khoo: 1135.52, current_best: 1207.58 best obj: 1207.58(12) mean: 1296.23, max: 1563.15
Date: 08-11 at 07:12:23, iter: 58, new3, Khoo: 1135.52, current_best: 1207.58 best obj: 1207.58(12) mean: 1281.37, max: 1553.96
Date: 08-11 at 07:14:40, iter: 59, new3, Khoo: 1135.52, current_best: 1207.58 best obj: 1207.58(12) mean: 1270.58, max: 1580.73
Date: 08-11 at 07:17:03, iter: 60, new3, Khoo: 1135.52, current_best: 1195.26 best obj: 1195.26(12) mean: 1228.48, max: 1293.36
Date: 08-11 at 07:19:31, iter: 61, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1223.28, max: 1284.55
Date: 08-11 at 07:21:46, iter: 62, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1223.27, max: 1291.10
Date: 08-11 at 07:24:14, iter: 63, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1219.58, max: 1267.79
Date: 08-11 at 07:26:36, iter: 64, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1222.24, max: 1296.37
Date: 08-11 at 07:29:05, iter: 66, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1273.31, max: 1472.97
Date: 08-11 at 07:31:29, iter: 67, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1267.28, max: 1482.14
Date: 08-11 at 07:33:58, iter: 68, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1266.96, max: 1509.36
Date: 08-11 at 07:36:29, iter: 69, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1227.88, max: 1495.09
Date: 08-11 at 07:38:48, iter: 71, new3, Khoo: 1135.52, current_best: 1195.19 best obj: 1195.19(12) mean: 1347.15, max: 1553.64
Date: 08-11 at 07:41:13, iter: 72, new3, Khoo: 1135.52, current_best: 1182.97 best obj: 1182.97(11) mean: 1337.37, max: 1558.42
Date: 08-11 at 07:43:37, iter: 73, new3, Khoo: 1135.52, current_best: 1180.08 best obj: 1180.08(11) mean: 1296.16, max: 1503.98
Date: 08-11 at 07:45:58, iter: 74, new3, Khoo: 1135.52, current_best: 1180.08 best obj: 1180.08(11) mean: 1223.98, max: 1423.37
Date: 08-11 at 07:48:26, iter: 75, new3, Khoo: 1135.52, current_best: 1180.08 best obj: 1180.08(11) mean: 1224.02, max: 1336.55
Date: 08-11 at 07:50:47, iter: 76, new3, Khoo: 1135.52, current_best: 1180.08 best obj: 1180.08(11) mean: 1314.99, max: 1435.33
Date: 08-11 at 07:53:25, iter: 78, new3, Khoo: 1135.52, current_best: 1180.08 best obj: 1180.08(11) mean: 1293.43, max: 1502.12
Date: 08-11 at 07:55:46, iter: 79, new3, Khoo: 1135.52, current_best: 1178.56 best obj: 1178.56(11) mean: 1253.46, max: 1474.20
Date: 08-11 at 07:58:03, iter: 80, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1331.81, max: 1523.79
Date: 08-11 at 08:00:31, iter: 81, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1290.40, max: 1503.04
Date: 08-11 at 08:02:43, iter: 82, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1339.63, max: 1561.51
Date: 08-11 at 08:05:13, iter: 83, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1224.49, max: 1308.46
Date: 08-11 at 08:07:44, iter: 85, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1311.62, max: 1449.84
Date: 08-11 at 08:10:12, iter: 86, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1296.64, max: 1482.83
Date: 08-11 at 08:12:33, iter: 87, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1230.03, max: 1338.56
Date: 08-11 at 08:14:56, iter: 88, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1240.72, max: 1390.20
Date: 08-11 at 08:17:21, iter: 90, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(11) mean: 1304.91, max: 1536.58
Date: 08-11 at 08:20:13, iter: 92, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1175.09(12) mean: 1317.80, max: 1544.13
Date: 08-11 at 08:22:32, iter: 93, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1202.61(11) mean: 1278.99, max: 1455.55
Date: 08-11 at 08:24:55, iter: 94, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1199.99(11) mean: 1252.79, max: 1356.13
Date: 08-11 at 08:27:20, iter: 96, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1199.20(11) mean: 1363.93, max: 1641.67
Date: 08-11 at 08:29:41, iter: 97, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1198.87(11) mean: 1263.46, max: 1406.63
Date: 08-11 at 08:32:01, iter: 98, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1198.87(11) mean: 1288.54, max: 1420.65
Date: 08-11 at 08:34:23, iter: 99, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1196.83(11) mean: 1290.07, max: 1448.74
Date: 08-11 at 08:36:58, iter: 101, new3, Khoo: 1135.52, current_best: 1175.09 best obj: 1185.64(11) mean: 1327.21, max: 1703.10
Date: 08-11 at 08:39:20, iter: 102, new3, Khoo: 1135.52, current_best: 1171.77 best obj: 1171.77(11) mean: 1299.51, max: 1705.38
Date: 08-11 at 08:41:38, iter: 103, new3, Khoo: 1135.52, current_best: 1171.77 best obj: 1171.77(11) mean: 1246.20, max: 1586.94
Date: 08-11 at 08:44:07, iter: 104, new3, Khoo: 1135.52, current_best: 1171.77 best obj: 1171.77(11) mean: 1241.96, max: 1588.47
Date: 08-11 at 08:46:19, iter: 105, new3, Khoo: 1135.52, current_best: 1171.77 best obj: 1171.77(11) mean: 1250.71, max: 1415.50
Date: 08-11 at 08:48:39, iter: 106, new3, Khoo: 1135.52, current_best: 1171.60 best obj: 1171.60(11) mean: 1240.41, max: 1387.85
Date: 08-11 at 08:50:58, iter: 107, new3, Khoo: 1135.52, current_best: 1171.60 best obj: 1171.60(11) mean: 1207.87, max: 1330.38
Date: 08-11 at 08:53:19, iter: 108, new3, Khoo: 1135.52, current_best: 1171.60 best obj: 1171.60(11) mean: 1202.47, max: 1343.31
Date: 08-11 at 08:55:38, iter: 109, new3, Khoo: 1135.52, current_best: 1171.60 best obj: 1171.60(11) mean: 1197.65, max: 1272.15
Date: 08-11 at 08:58:17, iter: 111, new3, Khoo: 1135.52, current_best: 1171.60 best obj: 1171.60(11) mean: 1244.29, max: 1426.70
Date: 08-11 at 09:00:37, iter: 112, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1208.81, max: 1389.64
Date: 08-11 at 09:02:53, iter: 113, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1252.13, max: 1422.27
Date: 08-11 at 09:05:20, iter: 114, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1251.63, max: 1475.23
Date: 08-11 at 09:07:49, iter: 115, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1232.54, max: 1423.96
Date: 08-11 at 09:10:19, iter: 117, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1304.89, max: 1548.27
Date: 08-11 at 09:12:40, iter: 118, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1239.34, max: 1478.19
Date: 08-11 at 09:14:59, iter: 119, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1240.09, max: 1502.33
Date: 08-11 at 09:17:18, iter: 120, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1249.57, max: 1543.69
Date: 08-11 at 09:19:47, iter: 122, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(11) mean: 1247.43, max: 1416.03
Date: 08-11 at 09:22:35, iter: 124, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.55(12) mean: 1244.59, max: 1424.77
Date: 08-11 at 09:24:48, iter: 125, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1219.52(12) mean: 1337.12, max: 1487.17
Date: 08-11 at 09:27:18, iter: 126, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1172.37(11) mean: 1293.95, max: 1562.22
Date: 08-11 at 09:29:44, iter: 128, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.94(11) mean: 1346.71, max: 1518.07
Date: 08-11 at 09:32:04, iter: 129, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.94(11) mean: 1258.47, max: 1432.71
Date: 08-11 at 09:34:26, iter: 130, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.94(11) mean: 1233.84, max: 1291.01
Date: 08-11 at 09:36:43, iter: 131, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.94(11) mean: 1254.03, max: 1359.13
Date: 08-11 at 09:39:07, iter: 133, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.94(11) mean: 1293.83, max: 1521.41
Date: 08-11 at 09:41:27, iter: 134, new3, Khoo: 1135.52, current_best: 1169.55 best obj: 1169.94(11) mean: 1232.13, max: 1479.36
Date: 08-11 at 09:43:47, iter: 135, new3, Khoo: 1135.52, current_best: 1169.53 best obj: 1169.53(11) mean: 1217.55, max: 1347.96
Date: 08-11 at 09:46:05, iter: 136, new3, Khoo: 1135.52, current_best: 1169.53 best obj: 1169.53(11) mean: 1220.24, max: 1296.59
Date: 08-11 at 09:48:23, iter: 137, new3, Khoo: 1135.52, current_best: 1169.53 best obj: 1169.53(11) mean: 1205.79, max: 1277.82
Date: 08-11 at 09:50:44, iter: 138, new3, Khoo: 1135.52, current_best: 1169.53 best obj: 1169.53(11) mean: 1207.09, max: 1276.63
Date: 08-11 at 09:53:00, iter: 140, new3, Khoo: 1135.52, current_best: 1169.53 best obj: 1169.53(11) mean: 1322.32, max: 1486.86
Date: 08-11 at 09:55:18, iter: 141, new3, Khoo: 1135.52, current_best: 1169.53 best obj: 1169.53(11) mean: 1286.28, max: 1504.93
Date: 08-11 at 09:57:29, iter: 142, new3, Khoo: 1135.52, current_best: 1169.32 best obj: 1169.32(11) mean: 1257.72, max: 1528.31
Date: 08-11 at 09:59:46, iter: 143, new3, Khoo: 1135.52, current_best: 1169.32 best obj: 1169.32(11) mean: 1225.20, max: 1398.07
Date: 08-11 at 10:02:11, iter: 144, new3, Khoo: 1135.52, current_best: 1169.32 best obj: 1169.32(11) mean: 1215.48, max: 1398.11
Date: 08-11 at 10:04:26, iter: 145, new3, Khoo: 1135.52, current_best: 1169.32 best obj: 1169.32(11) mean: 1210.48, max: 1276.17
Date: 08-11 at 10:06:44, iter: 146, new3, Khoo: 1135.52, current_best: 1168.65 best obj: 1168.65(11) mean: 1191.25, max: 1265.83
Date: 08-11 at 10:09:06, iter: 147, new3, Khoo: 1135.52, current_best: 1168.65 best obj: 1168.65(11) mean: 1197.33, max: 1265.83
Date: 08-11 at 10:11:18, iter: 148, new3, Khoo: 1135.52, current_best: 1168.65 best obj: 1168.65(11) mean: 1196.07, max: 1281.07
Date: 08-11 at 10:13:35, iter: 149, new3, Khoo: 1135.52, current_best: 1168.65 best obj: 1168.65(11) mean: 1191.20, max: 1299.71
Date: 08-11 at 10:16:18, iter: 151, new3, Khoo: 1135.52, current_best: 1168.65 best obj: 1168.65(11) mean: 1221.59, max: 1462.56
Date: 08-11 at 10:18:34, iter: 152, new3, Khoo: 1135.52, current_best: 1154.51 best obj: 1154.51(10) mean: 1188.91, max: 1306.37
Date: 08-11 at 10:20:51, iter: 153, new3, Khoo: 1135.52, current_best: 1154.51 best obj: 1154.51(10) mean: 1207.33, max: 1266.31
Date: 08-11 at 10:22:58, iter: 154, new3, Khoo: 1135.52, current_best: 1154.51 best obj: 1154.51(10) mean: 1243.25, max: 1304.92
Date: 08-11 at 10:25:22, iter: 155, new3, Khoo: 1135.52, current_best: 1154.51 best obj: 1154.51(10) mean: 1194.62, max: 1306.82
Date: 08-11 at 10:27:31, iter: 156, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1213.39, max: 1257.10
Date: 08-11 at 10:29:48, iter: 157, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1172.59, max: 1280.06
Date: 08-11 at 10:31:58, iter: 158, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1161.18, max: 1233.89
Date: 08-11 at 10:34:15, iter: 159, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1159.10, max: 1183.45
Date: 08-11 at 10:37:02, iter: 161, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1163.31, max: 1242.74
Date: 08-11 at 10:39:14, iter: 162, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1159.38, max: 1203.78
Date: 08-11 at 10:41:26, iter: 163, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1157.97, max: 1179.00
Date: 08-11 at 10:43:39, iter: 164, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1157.96, max: 1179.00
Date: 08-11 at 10:46:27, iter: 166, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1159.84, max: 1223.08
Date: 08-11 at 10:49:10, iter: 168, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(11) mean: 1171.24, max: 1226.83
Date: 08-11 at 10:51:22, iter: 169, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1214.55, max: 1294.81
Date: 08-11 at 10:53:41, iter: 170, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1213.99, max: 1297.76
Date: 08-11 at 10:56:24, iter: 172, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1176.96, max: 1374.57
Date: 08-11 at 10:58:44, iter: 173, new3, Khoo: 1135.52, current_best: 1154.50 best obj: 1154.50(10) mean: 1168.80, max: 1322.31
Date: 08-11 at 11:00:56, iter: 174, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1161.64, max: 1290.08
Date: 08-11 at 11:03:14, iter: 175, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1157.59, max: 1214.84
Date: 08-11 at 11:05:21, iter: 176, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1155.61, max: 1194.42
Date: 08-11 at 11:07:36, iter: 177, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1155.81, max: 1201.48
Date: 08-11 at 11:10:23, iter: 179, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1154.52, max: 1155.83
Date: 08-11 at 11:12:43, iter: 180, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1154.89, max: 1169.28
Date: 08-11 at 11:14:53, iter: 181, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1152.79, max: 1153.52
Date: 08-11 at 11:17:15, iter: 182, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1153.38, max: 1173.95
Date: 08-11 at 11:20:03, iter: 184, new3, Khoo: 1135.52, current_best: 1152.76 best obj: 1152.76(10) mean: 1153.33, max: 1169.35
