Date: 07-07 at 08:00:00, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1511.47(5) mean: 3210.17, max: 3889.45
Date: 07-07 at 08:01:13, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1307.30(10) mean: 2319.63, max: 2993.92
Date: 07-07 at 08:02:25, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1284.72(10) mean: 2106.44, max: 2774.42
Date: 07-07 at 08:03:35, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1265.71(10) mean: 2114.43, max: 2777.66
Date: 07-07 at 08:04:49, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1240.99(10) mean: 1293.57, max: 1339.22
Date: 07-07 at 08:05:57, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1224.93(10) mean: 1325.71, max: 1390.48
Date: 07-07 at 08:06:59, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1203.62(10) mean: 1371.33, max: 1439.07
Date: 07-07 at 08:08:07, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1202.90(10) mean: 1379.06, max: 1453.31
Date: 07-07 at 08:09:18, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1201.25(10) mean: 1351.88, max: 1472.22
Date: 07-07 at 08:10:27, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1201.25(10) mean: 1375.93, max: 1512.75
Date: 07-07 at 08:11:33, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1201.25(10) mean: 1449.32, max: 1639.46
Date: 07-07 at 08:12:47, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 1034.35 best obj: 1201.25(10) mean: 1353.42, max: 1657.02
