Date: 04-10 at 20:24:39, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 500.42(3), mean: 534.07, max: 592.24
Date: 04-10 at 20:24:41, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 474.02(3), mean: 591.88, max: 899.20
Date: 04-10 at 20:24:42, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 592.67, max: 968.96
Date: 04-10 at 20:24:43, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 666.00, max: 1256.60
Date: 04-10 at 20:24:46, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 760.85, max: 1544.24
Date: 04-10 at 20:24:49, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 802.70, max: 1614.00
Date: 04-10 at 20:24:51, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 844.56, max: 1683.75
Date: 04-10 at 20:24:55, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 886.37, max: 1760.60
Date: 04-10 at 20:24:58, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 932.87, max: 1830.36
Date: 04-10 at 20:25:04, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 1143.81, max: 2118.00
Date: 04-10 at 20:25:11, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 1200.17, max: 2194.85
Date: 04-10 at 20:25:18, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 1256.53, max: 2271.71
Date: 04-10 at 20:25:26, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 434.25(3), mean: 1307.68, max: 2341.46
