Date: 07-17 at 22:46:12, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1742.74(22) mean: 2445.75, max: 2693.53
Date: 07-17 at 22:47:17, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.62(22) mean: 2386.84, max: 2707.87
Date: 07-17 at 22:48:19, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 2376.85, max: 2715.99
Date: 07-17 at 22:49:24, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 2376.85, max: 2697.18
Date: 07-17 at 22:50:29, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 2352.24, max: 2712.11
Date: 07-17 at 22:51:36, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 1815.66, max: 1897.98
Date: 07-17 at 22:52:40, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 1816.86, max: 1935.64
Date: 07-17 at 22:53:41, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 1866.52, max: 2163.89
Date: 07-17 at 22:54:44, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 1808.37, max: 1950.66
Date: 07-17 at 22:55:46, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 1839.01, max: 1986.29
Date: 07-17 at 22:56:46, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 1766.27, max: 1910.29
Date: 07-17 at 22:57:49, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 1836.31, max: 1960.60
Date: 07-17 at 22:58:49, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1699.06(22) mean: 1780.30, max: 1935.32
Date: 07-17 at 22:59:52, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1687.83(22) mean: 1783.30, max: 1937.03
Date: 07-17 at 23:00:54, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1687.54(22) mean: 1792.44, max: 1972.09
Date: 07-17 at 23:01:53, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1687.54(22) mean: 1757.21, max: 1893.72
Date: 07-17 at 23:02:57, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1687.54(22) mean: 1765.86, max: 1834.28
Date: 07-17 at 23:03:58, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1687.54(22) mean: 1748.85, max: 1824.21
