Date: 08-01 at 22:34:44, #particle: 15, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 754.61(5), mean: 796.28, max: 847.05
Date: 08-01 at 22:35:45, #particle: 15, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 754.61(5), mean: 793.74, max: 869.51
Date: 08-01 at 22:36:48, #particle: 15, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 754.61(5), mean: 786.27, max: 799.39
Date: 08-01 at 22:37:51, #particle: 15, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 754.61(5), mean: 891.29, max: 1132.01
Date: 08-01 at 22:38:52, #particle: 15, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 754.61(5), mean: 801.67, max: 856.75
Date: 08-01 at 22:39:55, #particle: 15, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 754.61(5), mean: 806.17, max: 883.67
Date: 08-01 at 22:40:53, #particle: 15, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 754.61(5), mean: 810.63, max: 906.79
Date: 08-01 at 22:41:49, #particle: 15, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 754.61(5), mean: 932.79, max: 1199.09
Date: 08-01 at 22:42:48, #particle: 15, iter: 51, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 747.39(5), mean: 3020.87, max: 3631.79
Date: 08-01 at 22:43:51, #particle: 15, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 737.75(4), mean: 3020.79, max: 3623.73
Date: 08-01 at 22:44:55, #particle: 15, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 737.75(4), mean: 2332.93, max: 3162.50
Date: 08-01 at 22:46:03, #particle: 15, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 737.75(4), mean: 1280.12, max: 2312.54
Date: 08-01 at 22:47:08, #particle: 15, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 737.75(4), mean: 951.21, max: 1073.71
Date: 08-01 at 22:48:08, #particle: 15, iter: 56, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 737.75(4), mean: 837.44, max: 997.24
Date: 08-01 at 22:49:12, #particle: 15, iter: 58, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 737.75(4), mean: 899.38, max: 1088.14
Date: 08-01 at 22:50:14, #particle: 15, iter: 59, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 737.75(4), mean: 828.75, max: 1106.30
Date: 08-01 at 22:51:18, #particle: 15, iter: 60, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 760.41, max: 831.63
Date: 08-01 at 22:52:22, #particle: 15, iter: 61, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 771.81, max: 863.55
Date: 08-01 at 22:53:27, #particle: 15, iter: 62, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 753.74, max: 806.70
Date: 08-01 at 22:54:34, #particle: 15, iter: 63, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 757.04, max: 828.28
Date: 08-01 at 22:55:35, #particle: 15, iter: 64, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 751.00, max: 798.47
Date: 08-01 at 22:56:38, #particle: 15, iter: 66, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 963.65, max: 1272.76
Date: 08-01 at 22:57:41, #particle: 15, iter: 67, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 863.51, max: 1198.58
Date: 08-01 at 22:58:46, #particle: 15, iter: 68, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 785.39, max: 831.21
Date: 08-01 at 22:59:53, #particle: 15, iter: 69, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 770.00, max: 798.30
Date: 08-01 at 23:01:07, #particle: 15, iter: 71, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 945.15, max: 1127.78
Date: 08-01 at 23:02:15, #particle: 15, iter: 73, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 3034.83, max: 3717.57
Date: 08-01 at 23:03:37, #particle: 15, iter: 74, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 2103.82, max: 3180.82
Date: 08-01 at 23:04:59, #particle: 15, iter: 75, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 1350.09, max: 2372.23
Date: 08-01 at 23:06:18, #particle: 15, iter: 77, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 1048.98, max: 1235.71
Date: 08-01 at 23:07:33, #particle: 15, iter: 78, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 988.61, max: 1264.95
Date: 08-01 at 23:08:51, #particle: 15, iter: 79, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 861.96, max: 935.09
Date: 08-01 at 23:10:11, #particle: 15, iter: 80, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 852.88, max: 938.19
Date: 08-01 at 23:11:35, #particle: 15, iter: 82, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 860.30, max: 1272.76
Date: 08-01 at 23:12:52, #particle: 15, iter: 83, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.52(4), mean: 772.90, max: 985.94
Date: 08-01 at 23:14:11, #particle: 15, iter: 85, fix: false, local: false, cut car: true, new generate: true, Khoo: 705.33, best obj: 736.14(4), mean: 2964.38, max: 3658.52
