Date: 08-06 at 20:06:33, iter: 1, new3, Khoo: 778.93, current_best: 1352.77 best obj: 1352.77(4) mean: 2967.55, max: 4113.46
Date: 08-06 at 20:08:14, iter: 2, new3, Khoo: 778.93, current_best: 1219.18 best obj: 1219.18(4) mean: 2354.10, max: 3534.34
Date: 08-06 at 20:09:38, iter: 3, new3, Khoo: 778.93, current_best: 1187.77 best obj: 1187.77(4) mean: 1764.31, max: 3138.26
Date: 08-06 at 20:10:56, iter: 4, new3, Khoo: 778.93, current_best: 1153.82 best obj: 1153.82(7) mean: 1661.91, max: 2690.29
Date: 08-06 at 20:13:08, iter: 5, new3, Khoo: 778.93, current_best: 1112.82 best obj: 1112.82(6) mean: 1684.34, max: 2680.98
Date: 08-06 at 20:14:37, iter: 6, new3, Khoo: 778.93, current_best: 1092.44 best obj: 1092.44(6) mean: 1236.38, max: 1424.41
Date: 08-06 at 20:16:01, iter: 7, new3, Khoo: 778.93, current_best: 1092.44 best obj: 1092.44(6) mean: 1294.75, max: 1460.33
Date: 08-06 at 20:17:27, iter: 8, new3, Khoo: 778.93, current_best: 1090.46 best obj: 1090.46(5) mean: 1178.89, max: 1340.51
Date: 08-06 at 20:18:46, iter: 9, new3, Khoo: 778.93, current_best: 1035.09 best obj: 1035.09(7) mean: 1156.98, max: 1322.64
Date: 08-06 at 20:20:36, iter: 10, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1210.45, max: 1361.46
Date: 08-06 at 20:22:25, iter: 11, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1238.68, max: 1425.49
Date: 08-06 at 20:23:52, iter: 12, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1321.53, max: 1532.59
Date: 08-06 at 20:25:37, iter: 13, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1265.04, max: 1547.14
Date: 08-06 at 20:27:45, iter: 15, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1346.44, max: 1771.48
Date: 08-06 at 20:29:21, iter: 16, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1218.05, max: 1473.94
Date: 08-06 at 20:30:51, iter: 17, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1119.92, max: 1255.58
Date: 08-06 at 20:32:38, iter: 18, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1108.01, max: 1264.66
Date: 08-06 at 20:34:06, iter: 20, new3, Khoo: 778.93, current_best: 1018.39 best obj: 1018.39(7) mean: 1296.22, max: 1565.25
Date: 08-06 at 20:35:56, iter: 21, new3, Khoo: 778.93, current_best: 1006.52 best obj: 1006.52(7) mean: 1196.91, max: 1442.07
Date: 08-06 at 20:37:12, iter: 22, new3, Khoo: 778.93, current_best: 993.30 best obj: 993.30(7) mean: 1243.82, max: 1484.80
Date: 08-06 at 20:39:09, iter: 23, new3, Khoo: 778.93, current_best: 993.30 best obj: 993.30(7) mean: 1203.89, max: 1536.23
Date: 08-06 at 20:40:49, iter: 24, new3, Khoo: 778.93, current_best: 993.30 best obj: 993.30(7) mean: 1054.43, max: 1414.94
Date: 08-06 at 20:42:40, iter: 25, new3, Khoo: 778.93, current_best: 986.19 best obj: 986.19(7) mean: 1083.15, max: 1475.11
Date: 08-06 at 20:44:13, iter: 26, new3, Khoo: 778.93, current_best: 978.85 best obj: 978.85(7) mean: 1093.51, max: 1498.11
Date: 08-06 at 20:46:05, iter: 27, new3, Khoo: 778.93, current_best: 962.37 best obj: 962.37(6) mean: 1005.40, max: 1105.77
Date: 08-06 at 20:47:55, iter: 28, new3, Khoo: 778.93, current_best: 942.57 best obj: 942.57(6) mean: 994.40, max: 1049.09
Date: 08-06 at 20:49:37, iter: 29, new3, Khoo: 778.93, current_best: 942.33 best obj: 942.33(6) mean: 1053.23, max: 1109.66
Date: 08-06 at 20:51:29, iter: 30, new3, Khoo: 778.93, current_best: 942.33 best obj: 942.33(6) mean: 1066.60, max: 1194.60
Date: 08-06 at 20:53:13, iter: 31, new3, Khoo: 778.93, current_best: 942.33 best obj: 942.33(6) mean: 1011.35, max: 1161.02
Date: 08-06 at 20:54:32, iter: 32, new3, Khoo: 778.93, current_best: 942.33 best obj: 942.33(6) mean: 1049.30, max: 1192.15
Date: 08-06 at 20:56:00, iter: 34, new3, Khoo: 778.93, current_best: 942.33 best obj: 942.33(6) mean: 1173.20, max: 1705.92
Date: 08-06 at 20:57:52, iter: 35, new3, Khoo: 778.93, current_best: 942.33 best obj: 942.33(6) mean: 1140.51, max: 1721.27
Date: 08-06 at 20:59:14, iter: 36, new3, Khoo: 778.93, current_best: 942.33 best obj: 942.33(6) mean: 1072.33, max: 1460.32
Date: 08-06 at 21:00:44, iter: 37, new3, Khoo: 778.93, current_best: 937.31 best obj: 937.31(6) mean: 957.15, max: 1023.95
Date: 08-06 at 21:02:29, iter: 38, new3, Khoo: 778.93, current_best: 923.21 best obj: 923.21(6) mean: 950.92, max: 1024.68
Date: 08-06 at 21:03:55, iter: 39, new3, Khoo: 778.93, current_best: 923.21 best obj: 923.21(6) mean: 933.85, max: 978.83
Date: 08-06 at 21:05:41, iter: 40, new3, Khoo: 778.93, current_best: 923.21 best obj: 923.21(6) mean: 936.02, max: 1049.30
Date: 08-06 at 21:07:12, iter: 41, new3, Khoo: 778.93, current_best: 923.21 best obj: 923.21(6) mean: 956.17, max: 1086.45
Date: 08-06 at 21:08:50, iter: 42, new3, Khoo: 778.93, current_best: 912.88 best obj: 912.88(6) mean: 928.41, max: 946.75
Date: 08-06 at 21:10:36, iter: 43, new3, Khoo: 778.93, current_best: 869.72 best obj: 869.72(6) mean: 911.92, max: 962.28
Date: 08-06 at 21:12:11, iter: 44, new3, Khoo: 778.93, current_best: 861.45 best obj: 861.45(6) mean: 927.28, max: 978.74
Date: 08-06 at 21:13:56, iter: 45, new3, Khoo: 778.93, current_best: 857.20 best obj: 857.20(6) mean: 906.44, max: 923.55
Date: 08-06 at 21:15:29, iter: 46, new3, Khoo: 778.93, current_best: 857.20 best obj: 857.20(6) mean: 905.50, max: 919.82
Date: 08-06 at 21:17:09, iter: 47, new3, Khoo: 778.93, current_best: 856.64 best obj: 856.64(6) mean: 905.21, max: 921.19
Date: 08-06 at 21:18:38, iter: 48, new3, Khoo: 778.93, current_best: 856.64 best obj: 856.64(6) mean: 902.62, max: 919.82
Date: 08-06 at 21:20:00, iter: 49, new3, Khoo: 778.93, current_best: 856.64 best obj: 856.64(6) mean: 857.32, max: 880.33
Date: 08-06 at 21:21:37, iter: 50, new3, Khoo: 778.93, current_best: 856.64 best obj: 856.64(6) mean: 856.64, max: 856.64
Date: 08-06 at 21:23:06, iter: 52, new3, Khoo: 778.93, current_best: 856.64 best obj: 856.64(6) mean: 1116.91, max: 1369.48
Date: 08-06 at 21:24:29, iter: 53, new3, Khoo: 778.93, current_best: 856.64 best obj: 856.64(6) mean: 975.86, max: 1183.37
Date: 08-06 at 21:26:00, iter: 54, new3, Khoo: 778.93, current_best: 856.64 best obj: 856.64(6) mean: 935.64, max: 1194.65
Date: 08-06 at 21:27:24, iter: 55, new3, Khoo: 778.93, current_best: 856.64 best obj: 856.64(6) mean: 902.31, max: 1051.09
Date: 08-06 at 21:29:00, iter: 56, new3, Khoo: 778.93, current_best: 839.30 best obj: 839.30(6) mean: 892.34, max: 1024.82
Date: 08-06 at 21:30:22, iter: 57, new3, Khoo: 778.93, current_best: 839.30 best obj: 839.30(6) mean: 920.58, max: 1060.88
Date: 08-06 at 21:31:46, iter: 58, new3, Khoo: 778.93, current_best: 839.30 best obj: 839.30(6) mean: 860.71, max: 924.19
Date: 08-06 at 21:33:12, iter: 59, new3, Khoo: 778.93, current_best: 839.30 best obj: 839.30(6) mean: 889.56, max: 922.96
Date: 08-06 at 21:34:36, iter: 60, new3, Khoo: 778.93, current_best: 832.65 best obj: 832.65(6) mean: 858.89, max: 895.81
Date: 08-06 at 21:36:08, iter: 61, new3, Khoo: 778.93, current_best: 830.24 best obj: 830.24(6) mean: 892.56, max: 906.26
Date: 08-06 at 21:37:34, iter: 62, new3, Khoo: 778.93, current_best: 830.24 best obj: 830.24(6) mean: 880.81, max: 894.66
Date: 08-06 at 21:39:03, iter: 63, new3, Khoo: 778.93, current_best: 830.24 best obj: 830.24(6) mean: 833.73, max: 881.44
Date: 08-06 at 21:40:33, iter: 64, new3, Khoo: 778.93, current_best: 830.24 best obj: 830.24(6) mean: 832.96, max: 860.10
Date: 08-06 at 21:42:02, iter: 66, new3, Khoo: 778.93, current_best: 830.24 best obj: 830.24(6) mean: 1113.93, max: 1476.90
Date: 08-06 at 21:43:27, iter: 67, new3, Khoo: 778.93, current_best: 830.24 best obj: 830.24(6) mean: 991.54, max: 1488.72
Date: 08-06 at 21:44:56, iter: 68, new3, Khoo: 778.93, current_best: 830.24 best obj: 830.24(6) mean: 888.70, max: 1018.53
Date: 08-06 at 21:46:23, iter: 69, new3, Khoo: 778.93, current_best: 830.24 best obj: 830.24(6) mean: 863.94, max: 944.60
Date: 08-06 at 21:47:56, iter: 70, new3, Khoo: 778.93, current_best: 826.08 best obj: 826.08(6) mean: 861.23, max: 936.65
Date: 08-06 at 21:49:30, iter: 71, new3, Khoo: 778.93, current_best: 826.08 best obj: 826.08(6) mean: 857.49, max: 931.48
Date: 08-06 at 21:50:52, iter: 72, new3, Khoo: 778.93, current_best: 826.08 best obj: 826.08(6) mean: 846.65, max: 947.89
Date: 08-06 at 21:52:25, iter: 73, new3, Khoo: 778.93, current_best: 826.08 best obj: 826.08(6) mean: 830.42, max: 886.72
Date: 08-06 at 21:53:48, iter: 75, new3, Khoo: 778.93, current_best: 826.08 best obj: 826.08(6) mean: 1065.06, max: 1339.20
Date: 08-06 at 21:55:17, iter: 76, new3, Khoo: 778.93, current_best: 826.08 best obj: 826.08(6) mean: 943.54, max: 1265.79
Date: 08-06 at 21:56:43, iter: 77, new3, Khoo: 778.93, current_best: 826.08 best obj: 826.08(6) mean: 877.76, max: 1027.88
Date: 08-06 at 21:58:05, iter: 78, new3, Khoo: 778.93, current_best: 825.08 best obj: 825.08(6) mean: 871.01, max: 1045.36
Date: 08-06 at 21:59:42, iter: 79, new3, Khoo: 778.93, current_best: 822.10 best obj: 822.10(6) mean: 832.54, max: 924.96
Date: 08-06 at 22:01:09, iter: 80, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 830.79, max: 924.11
Date: 08-06 at 22:02:39, iter: 81, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 828.19, max: 924.11
Date: 08-06 at 22:04:15, iter: 82, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 824.39, max: 921.10
Date: 08-06 at 22:05:50, iter: 83, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 823.18, max: 878.76
Date: 08-06 at 22:07:23, iter: 85, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 1024.77, max: 1336.85
Date: 08-06 at 22:08:54, iter: 86, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 901.47, max: 1154.56
Date: 08-06 at 22:10:25, iter: 87, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 870.98, max: 986.02
Date: 08-06 at 22:12:00, iter: 88, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 854.65, max: 960.84
Date: 08-06 at 22:13:34, iter: 90, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 1127.69, max: 1678.15
Date: 08-06 at 22:15:11, iter: 92, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(7) mean: 986.88, max: 1667.48
Date: 08-06 at 22:16:27, iter: 93, new3, Khoo: 778.93, current_best: 820.76 best obj: 845.00(6) mean: 1130.65, max: 1454.22
Date: 08-06 at 22:17:53, iter: 94, new3, Khoo: 778.93, current_best: 820.76 best obj: 823.80(6) mean: 905.61, max: 1040.27
Date: 08-06 at 22:19:18, iter: 96, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 1175.06, max: 1622.57
Date: 08-06 at 22:20:45, iter: 97, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 1062.60, max: 1383.10
Date: 08-06 at 22:22:12, iter: 98, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 1002.93, max: 1400.55
Date: 08-06 at 22:23:40, iter: 99, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 914.24, max: 1092.12
Date: 08-06 at 22:25:11, iter: 101, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 1097.41, max: 1464.64
Date: 08-06 at 22:26:36, iter: 102, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(6) mean: 1003.52, max: 1248.50
Date: 08-06 at 22:28:14, iter: 104, new3, Khoo: 778.93, current_best: 820.76 best obj: 820.76(7) mean: 921.68, max: 1028.07
Date: 08-06 at 22:29:42, iter: 105, new3, Khoo: 778.93, current_best: 820.76 best obj: 953.92(7) mean: 1146.12, max: 1348.12
Date: 08-06 at 22:31:14, iter: 107, new3, Khoo: 778.93, current_best: 820.76 best obj: 945.93(7) mean: 1290.60, max: 1583.89
Date: 08-06 at 22:32:49, iter: 108, new3, Khoo: 778.93, current_best: 820.76 best obj: 945.93(7) mean: 1127.22, max: 1419.51
Date: 08-06 at 22:34:15, iter: 109, new3, Khoo: 778.93, current_best: 820.76 best obj: 945.71(7) mean: 1040.76, max: 1256.14
Date: 08-06 at 22:35:41, iter: 110, new3, Khoo: 778.93, current_best: 820.76 best obj: 945.71(7) mean: 1015.06, max: 1156.76
Date: 08-06 at 22:37:16, iter: 112, new3, Khoo: 778.93, current_best: 820.76 best obj: 945.71(7) mean: 1248.89, max: 1693.69
Date: 08-06 at 22:38:50, iter: 113, new3, Khoo: 778.93, current_best: 820.76 best obj: 945.71(7) mean: 1101.21, max: 1465.30
Date: 08-06 at 22:40:14, iter: 114, new3, Khoo: 778.93, current_best: 820.76 best obj: 895.84(6) mean: 1043.91, max: 1166.04
Date: 08-06 at 22:41:56, iter: 116, new3, Khoo: 778.93, current_best: 820.76 best obj: 848.01(8) mean: 901.79, max: 990.84
Date: 08-06 at 22:43:38, iter: 118, new3, Khoo: 778.93, current_best: 820.76 best obj: 907.36(7) mean: 1497.66, max: 2003.60
Date: 08-06 at 22:45:12, iter: 120, new3, Khoo: 778.93, current_best: 820.76 best obj: 863.03(6) mean: 2156.41, max: 3983.52
Date: 08-06 at 22:46:50, iter: 121, new3, Khoo: 778.93, current_best: 820.76 best obj: 854.87(6) mean: 1379.95, max: 3216.47
Date: 08-06 at 22:48:17, iter: 122, new3, Khoo: 778.93, current_best: 820.76 best obj: 854.87(6) mean: 1133.77, max: 1334.86
Date: 08-06 at 22:49:48, iter: 124, new3, Khoo: 778.93, current_best: 820.76 best obj: 854.87(6) mean: 1249.12, max: 1649.33
Date: 08-06 at 22:51:13, iter: 125, new3, Khoo: 778.93, current_best: 820.76 best obj: 844.33(6) mean: 1016.43, max: 1426.11
Date: 08-06 at 22:52:36, iter: 126, new3, Khoo: 778.93, current_best: 820.76 best obj: 839.74(6) mean: 944.22, max: 1244.52
Date: 08-06 at 22:54:12, iter: 127, new3, Khoo: 778.93, current_best: 820.76 best obj: 839.74(6) mean: 911.84, max: 1072.90
Date: 08-06 at 22:55:53, iter: 130, new3, Khoo: 778.93, current_best: 820.76 best obj: 1027.28(6) mean: 1360.77, max: 1756.96
Date: 08-06 at 22:57:29, iter: 131, new3, Khoo: 778.93, current_best: 820.76 best obj: 907.17(6) mean: 1217.88, max: 1722.50
Date: 08-06 at 22:59:01, iter: 132, new3, Khoo: 778.93, current_best: 820.76 best obj: 903.86(6) mean: 1145.01, max: 1742.84
Date: 08-06 at 23:00:42, iter: 133, new3, Khoo: 778.93, current_best: 820.76 best obj: 869.78(7) mean: 1129.21, max: 1760.15
Date: 08-06 at 23:02:19, iter: 135, new3, Khoo: 778.93, current_best: 820.76 best obj: 864.62(7) mean: 1261.11, max: 1626.31
Date: 08-06 at 23:03:50, iter: 136, new3, Khoo: 778.93, current_best: 820.76 best obj: 864.62(7) mean: 1179.67, max: 1540.12
Date: 08-06 at 23:05:20, iter: 137, new3, Khoo: 778.93, current_best: 820.76 best obj: 864.62(7) mean: 1157.32, max: 1540.43
Date: 08-06 at 23:07:19, iter: 138, new3, Khoo: 778.93, current_best: 820.76 best obj: 864.62(7) mean: 1145.55, max: 1506.05
Date: 08-06 at 23:08:56, iter: 140, new3, Khoo: 778.93, current_best: 820.76 best obj: 864.62(7) mean: 1328.75, max: 1718.99
Date: 08-06 at 23:10:53, iter: 142, new3, Khoo: 778.93, current_best: 820.76 best obj: 864.62(8) mean: 1177.95, max: 1654.18
Date: 08-06 at 23:12:29, iter: 143, new3, Khoo: 778.93, current_best: 820.76 best obj: 1026.98(8) mean: 1364.55, max: 1757.34
Date: 08-06 at 23:14:01, iter: 144, new3, Khoo: 778.93, current_best: 820.76 best obj: 865.71(7) mean: 1108.32, max: 1514.39
Date: 08-06 at 23:15:38, iter: 146, new3, Khoo: 778.93, current_best: 820.76 best obj: 864.66(7) mean: 1223.76, max: 1647.32
Date: 08-06 at 23:16:58, iter: 147, new3, Khoo: 778.93, current_best: 820.76 best obj: 863.64(7) mean: 1103.47, max: 1469.79
