Date: 07-14 at 06:06:46, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1452.21(17) mean: 3425.71, max: 4228.59
Date: 07-14 at 06:07:39, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1222.47(16) mean: 3351.77, max: 4118.37
Date: 07-14 at 06:08:36, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1072.10(14) mean: 2999.00, max: 4016.37
Date: 07-14 at 06:09:34, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1059.14(14) mean: 2992.61, max: 3985.91
Date: 07-14 at 06:10:37, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1052.84(14) mean: 1360.35, max: 1498.05
Date: 07-14 at 06:11:26, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1013.92(13) mean: 1272.81, max: 1486.42
Date: 07-14 at 06:12:18, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1004.64(13) mean: 1138.14, max: 1322.48
Date: 07-14 at 06:13:14, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 998.43(13) mean: 1166.30, max: 1391.22
Date: 07-14 at 06:14:08, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 998.43(13) mean: 1145.32, max: 1312.08
Date: 07-14 at 06:15:05, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 963.97(13) mean: 1099.94, max: 1324.16
Date: 07-14 at 06:15:55, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 892.97(12) mean: 1029.31, max: 1189.48
Date: 07-14 at 06:16:54, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 892.97(12) mean: 1040.45, max: 1220.74
Date: 07-14 at 06:17:38, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 861.78(11) mean: 966.47, max: 1112.66
Date: 07-14 at 06:18:32, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 859.06(11) mean: 990.00, max: 1147.62
Date: 07-14 at 06:19:22, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 859.06(11) mean: 963.66, max: 1112.11
Date: 07-14 at 06:20:10, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(11) mean: 925.69, max: 1108.70
Date: 07-14 at 06:21:09, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(11) mean: 918.02, max: 1108.70
Date: 07-14 at 06:21:59, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(11) mean: 901.93, max: 1108.70
Date: 07-14 at 06:22:50, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(11) mean: 896.14, max: 1108.70
Date: 07-14 at 06:23:36, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 886.93, max: 1036.05
Date: 07-14 at 06:24:26, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 909.50, max: 1138.82
Date: 07-14 at 06:25:14, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 859.97, max: 969.23
Date: 07-14 at 06:26:02, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 857.86, max: 969.23
Date: 07-14 at 06:26:57, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 850.48, max: 969.23
Date: 07-14 at 06:27:53, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 860.87, max: 1031.90
Date: 07-14 at 06:28:41, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 851.20, max: 969.23
Date: 07-14 at 06:29:28, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 844.30, max: 937.26
Date: 07-14 at 06:30:15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 838.20, max: 915.91
Date: 07-14 at 06:31:18, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 829.04, max: 830.46
Date: 07-14 at 06:32:04, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:32:49, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:33:40, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:34:43, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:35:29, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:36:16, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:37:00, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:38:05, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:38:53, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:39:45, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:40:31, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-14 at 06:41:29, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 842.55, max: 1033.13
