Date: 12-11 at 18:45:25, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1487.53(15), mean: 2515.91, max: 2980.55
Date: 12-11 at 18:46:08, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1450.98(15), mean: 2548.59, max: 3013.79
Date: 12-11 at 18:46:51, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1445.40(15), mean: 2486.87, max: 2969.66
Date: 12-11 at 18:47:43, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1442.74(15), mean: 1591.83, max: 1715.87
Date: 12-11 at 18:48:26, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1433.33(15), mean: 1633.81, max: 1791.14
Date: 12-11 at 18:49:07, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1707.51, max: 1863.98
Date: 12-11 at 18:49:55, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1571.10, max: 1786.74
Date: 12-11 at 18:50:36, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1640.91, max: 1840.28
Date: 12-11 at 18:51:19, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1661.48, max: 1855.51
Date: 12-11 at 18:52:10, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1511.54, max: 1612.43
Date: 12-11 at 18:52:54, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1496.68, max: 1563.36
Date: 12-11 at 18:53:41, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1485.83, max: 1537.39
Date: 12-11 at 18:54:33, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1472.16, max: 1531.38
Date: 12-11 at 18:55:16, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1493.66, max: 1570.28
Date: 12-11 at 18:56:03, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1474.65, max: 1531.68
Date: 12-11 at 18:56:51, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 1212.83, best obj: 1419.00(15), mean: 1478.55, max: 1531.38
