Date: 07-09 at 23:39:14, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1323.31(10) mean: 2858.63, max: 4037.95
Date: 07-09 at 23:40:02, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1259.73(9) mean: 2741.22, max: 3996.81
Date: 07-09 at 23:40:56, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1258.93(9) mean: 2033.88, max: 3636.99
Date: 07-09 at 23:41:43, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1249.36(8) mean: 1906.39, max: 3143.96
Date: 07-09 at 23:42:30, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1239.79(8) mean: 1910.54, max: 3137.30
Date: 07-09 at 23:43:24, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1189.17(10) mean: 1602.90, max: 2610.13
Date: 07-09 at 23:44:14, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1146.74(9) mean: 1656.74, max: 2565.49
Date: 07-09 at 23:44:59, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1137.48(9) mean: 1700.15, max: 2582.86
Date: 07-09 at 23:45:47, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1129.26(9) mean: 1670.00, max: 2454.64
Date: 07-09 at 23:46:42, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1101.74(8) mean: 1476.45, max: 2201.71
Date: 07-09 at 23:47:33, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1101.08(8) mean: 1372.97, max: 2065.08
Date: 07-09 at 23:48:24, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1101.08(8) mean: 1347.05, max: 2075.50
Date: 07-09 at 23:49:20, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1101.08(8) mean: 1159.15, max: 1283.69
Date: 07-09 at 23:50:08, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1101.08(8) mean: 1198.52, max: 1358.36
Date: 07-09 at 23:50:58, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1101.08(8) mean: 1232.88, max: 1408.34
Date: 07-09 at 23:51:52, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1089.66(8) mean: 1154.22, max: 1285.35
Date: 07-09 at 23:52:41, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 926.82 best obj: 1085.46(8) mean: 1180.34, max: 1280.53
