Date: 08-01 at 03:34:15, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 956.95(7), mean: 1859.95, max: 2973.32
Date: 08-01 at 03:35:13, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 903.65(7), mean: 1784.02, max: 2706.54
Date: 08-01 at 03:36:07, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 880.99(7), mean: 1662.44, max: 2510.29
Date: 08-01 at 03:37:06, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 828.04(6), mean: 981.32, max: 1588.88
Date: 08-01 at 03:38:02, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 820.94(6), mean: 1027.00, max: 1608.29
Date: 08-01 at 03:38:55, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 820.94(6), mean: 1042.69, max: 1470.99
Date: 08-01 at 03:39:49, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 820.94(6), mean: 1018.87, max: 1199.82
Date: 08-01 at 03:40:49, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 820.94(6), mean: 892.88, max: 982.96
Date: 08-01 at 03:41:40, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 820.94(6), mean: 934.83, max: 1023.31
Date: 08-01 at 03:42:35, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 820.94(6), mean: 939.71, max: 1006.32
Date: 08-01 at 03:43:32, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 812.25(6), mean: 844.31, max: 963.01
Date: 08-01 at 03:44:22, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 837.77, max: 878.64
Date: 08-01 at 03:45:16, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 831.40, max: 909.82
Date: 08-01 at 03:46:13, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 814.12, max: 843.43
Date: 08-01 at 03:47:05, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 815.91, max: 874.20
Date: 08-01 at 03:47:58, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 811.92, max: 814.33
Date: 08-01 at 03:48:50, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 854.31, max: 859.80
Date: 08-01 at 03:49:46, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 831.92, max: 896.76
Date: 08-01 at 03:50:39, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 814.75, max: 834.17
Date: 08-01 at 03:51:31, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 809.34(6), mean: 848.96, max: 870.00
Date: 08-01 at 03:52:26, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 783.71(5), mean: 810.34, max: 887.45
Date: 08-01 at 03:53:19, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 783.71(5), mean: 813.06, max: 841.31
Date: 08-01 at 03:54:14, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 783.71(5), mean: 806.23, max: 823.39
Date: 08-01 at 03:55:09, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 783.71(5), mean: 803.18, max: 808.21
Date: 08-01 at 03:56:02, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 783.71(5), mean: 803.18, max: 808.21
Date: 08-01 at 03:56:54, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 783.71(5), mean: 798.15, max: 801.92
Date: 08-01 at 03:57:49, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 785.03, max: 806.34
Date: 08-01 at 03:58:40, #particle: 15, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 784.78, max: 800.15
Date: 08-01 at 03:59:32, #particle: 15, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 783.44, max: 783.71
Date: 08-01 at 04:00:23, #particle: 15, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 785.09, max: 785.48
Date: 08-01 at 04:01:19, #particle: 15, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 783.44, max: 783.71
Date: 08-01 at 04:02:08, #particle: 15, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 785.09, max: 785.48
Date: 08-01 at 04:02:59, #particle: 15, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 811.54, max: 813.82
Date: 08-01 at 04:03:50, #particle: 15, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 779.68, max: 779.68
Date: 08-01 at 04:04:44, #particle: 15, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 779.68, max: 779.68
Date: 08-01 at 04:05:38, #particle: 15, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 779.68, max: 779.68
Date: 08-01 at 04:06:30, #particle: 15, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 2701.99, max: 3778.74
Date: 08-01 at 04:07:26, #particle: 15, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 1611.22, max: 2389.62
Date: 08-01 at 04:08:24, #particle: 15, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 886.90, max: 1010.32
Date: 08-01 at 04:09:14, #particle: 15, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 878.00, max: 974.19
Date: 08-01 at 04:10:07, #particle: 15, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 862.11, max: 983.23
Date: 08-01 at 04:11:03, #particle: 15, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 779.68(5), mean: 826.07, max: 906.80
Date: 08-01 at 04:11:53, #particle: 15, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 772.97(5), mean: 825.68, max: 876.56
Date: 08-01 at 04:12:48, #particle: 15, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 772.97(5), mean: 798.61, max: 853.30
Date: 08-01 at 04:13:43, #particle: 15, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 772.97(5), mean: 812.81, max: 857.20
Date: 08-01 at 04:14:33, #particle: 15, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 772.97(5), mean: 807.09, max: 889.49
Date: 08-01 at 04:15:27, #particle: 15, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.48(5), mean: 778.70, max: 814.34
Date: 08-01 at 04:16:21, #particle: 15, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.48(5), mean: 794.47, max: 810.26
Date: 08-01 at 04:17:09, #particle: 15, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 767.48(5), mean: 825.17, max: 843.15
Date: 08-01 at 04:18:04, #particle: 15, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 781.26, max: 835.14
Date: 08-01 at 04:18:58, #particle: 15, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 772.07, max: 808.43
Date: 08-01 at 04:19:49, #particle: 15, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 767.24, max: 772.87
Date: 08-01 at 04:20:42, #particle: 15, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 767.12, max: 772.81
Date: 08-01 at 04:21:36, #particle: 15, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 766.75, max: 770.10
Date: 08-01 at 04:22:29, #particle: 15, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 766.75, max: 770.10
Date: 08-01 at 04:23:15, #particle: 15, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 771.91, max: 807.85
Date: 08-01 at 04:24:05, #particle: 15, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 767.39, max: 774.73
Date: 08-01 at 04:24:55, #particle: 15, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 768.35, max: 795.86
Date: 08-01 at 04:25:48, #particle: 15, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 766.57, max: 769.26
Date: 08-01 at 04:26:37, #particle: 15, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 2826.61, max: 3794.32
Date: 08-01 at 04:27:31, #particle: 15, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 2086.57, max: 3082.74
Date: 08-01 at 04:28:27, #particle: 15, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 766.38(5), mean: 1308.46, max: 2347.26
Date: 08-01 at 04:29:19, #particle: 15, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 705.33, best obj: 744.33(4), mean: 863.63, max: 1162.26
