Date: 07-02 at 11:12:36, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 1195.92(11) mean: 3611.32, max: 4442.33
Date: 07-02 at 11:13:54, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 1010.46(10) mean: 3059.00, max: 4109.23
Date: 07-02 at 11:15:10, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 910.16(9) mean: 2507.23, max: 3811.77
Date: 07-02 at 11:16:28, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 884.66(9) mean: 2177.65, max: 3582.53
Date: 07-02 at 11:17:44, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 825.95(7) mean: 1788.32, max: 3091.02
Date: 07-02 at 11:19:01, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 754.41(7) mean: 1412.90, max: 2641.74
Date: 07-02 at 11:20:16, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 731.52(6) mean: 1426.70, max: 2663.13
Date: 07-02 at 11:21:27, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 709.16(6) mean: 925.79, max: 1102.02
Date: 07-02 at 11:22:35, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 709.16(5) mean: 918.96, max: 1138.19
Date: 07-02 at 11:23:41, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 703.14(5) mean: 818.87, max: 896.97
Date: 07-02 at 11:24:44, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 703.14(5) mean: 763.23, max: 840.37
Date: 07-02 at 11:25:49, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 703.14(5) mean: 749.28, max: 821.64
Date: 07-02 at 11:26:59, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 703.14(5) mean: 743.66, max: 867.56
Date: 07-02 at 11:28:00, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 591.56 best obj: 680.47(5) mean: 717.84, max: 751.98
