Date: 12-22 at 13:09:38, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1601.22(13), mean: 3482.96, max: 4027.69
Date: 12-22 at 13:10:34, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1334.10(13), mean: 3412.04, max: 3988.42
Date: 12-22 at 13:11:34, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1173.07(13), mean: 3083.21, max: 3641.59
Date: 12-22 at 13:12:35, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1135.96(13), mean: 2882.74, max: 3563.23
Date: 12-22 at 13:13:33, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1128.33(13), mean: 2502.98, max: 3268.45
Date: 12-22 at 13:14:32, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1125.95(13), mean: 2514.21, max: 3254.90
Date: 12-22 at 13:15:42, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1125.95(13), mean: 1266.52, max: 1355.98
Date: 12-22 at 13:16:37, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1125.95(13), mean: 1335.47, max: 1440.01
Date: 12-22 at 13:17:39, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1088.03(14), mean: 1192.86, max: 1417.54
Date: 12-22 at 13:18:39, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 996.13(12), mean: 1101.24, max: 1223.51
Date: 12-22 at 13:19:40, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 947.64(12), mean: 1050.98, max: 1134.33
Date: 12-22 at 13:20:34, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 944.51(12), mean: 1055.22, max: 1157.12
Date: 12-22 at 13:21:27, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 911.65(11), mean: 1079.08, max: 1189.99
Date: 12-22 at 13:22:28, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 911.65(11), mean: 1022.08, max: 1170.81
Date: 12-22 at 13:23:25, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 911.65(11), mean: 1012.59, max: 1105.03
Date: 12-22 at 13:24:19, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 911.65(11), mean: 1007.60, max: 1108.58
Date: 12-22 at 13:25:18, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 911.65(11), mean: 985.83, max: 1084.10
Date: 12-22 at 13:26:18, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 911.65(11), mean: 1113.71, max: 1335.38
Date: 12-22 at 13:27:13, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 911.65(11), mean: 1011.29, max: 1310.60
Date: 12-22 at 13:28:12, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 866.01(11), mean: 946.29, max: 1054.36
Date: 12-22 at 13:29:05, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 861.70(11), mean: 984.43, max: 1104.90
Date: 12-22 at 13:30:01, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 861.70(11), mean: 908.41, max: 1029.43
Date: 12-22 at 13:30:56, #particle: 15, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 861.70(11), mean: 901.69, max: 1035.24
Date: 12-22 at 13:31:55, #particle: 15, iter: 25, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 861.70(11), mean: 885.63, max: 978.79
Date: 12-22 at 13:32:49, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 861.70(11), mean: 880.94, max: 972.64
Date: 12-22 at 13:33:45, #particle: 15, iter: 28, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 908.15, max: 1185.23
Date: 12-22 at 13:34:42, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 896.98, max: 1121.22
Date: 12-22 at 13:35:38, #particle: 15, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 856.25, max: 1108.59
Date: 12-22 at 13:36:30, #particle: 15, iter: 31, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 840.00, max: 926.28
Date: 12-22 at 13:37:33, #particle: 15, iter: 33, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 854.69, max: 1145.69
Date: 12-22 at 13:38:29, #particle: 15, iter: 34, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 837.23, max: 897.49
