Date: 03-25 at 01:11:35, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 458.91(3), mean: 686.20, max: 988.97
Date: 03-25 at 01:11:36, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 427.77(3), mean: 478.08, max: 687.61
Date: 03-25 at 01:11:38, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 427.77(3), mean: 456.77, max: 509.44
Date: 03-25 at 01:11:40, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 427.77(3), mean: 446.12, max: 471.75
Date: 03-25 at 01:11:41, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 421.88(4), mean: 446.53, max: 466.68
Date: 03-25 at 01:11:42, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 421.88(4), mean: 452.63, max: 490.79
Date: 03-25 at 01:11:44, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 421.88(4), mean: 432.33, max: 469.74
Date: 03-25 at 01:11:46, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 422.51, max: 433.62
Date: 03-25 at 01:11:47, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 421.79, max: 422.83
Date: 03-25 at 01:11:51, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 418.60, max: 418.60
Date: 03-25 at 01:11:55, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 418.60, max: 418.60
Date: 03-25 at 01:11:57, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 418.60, max: 418.60
Date: 03-25 at 01:12:01, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 917.95, max: 1047.63
Date: 03-25 at 01:12:01, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 760.39, max: 989.44
Date: 03-25 at 01:12:02, particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 516.87, max: 669.33
Date: 03-25 at 01:12:06, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 420.75, max: 450.89
Date: 03-25 at 01:12:09, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 919.36, max: 1024.71
Date: 03-25 at 01:12:10, particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, best obj: 418.60(3), mean: 567.40, max: 797.49
