Date: 09-15 at 13:56:47, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 3312.34, max: 4091.46
Date: 09-15 at 13:57:55, #particle: 15, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 2845.43, max: 3777.43
Date: 09-15 at 13:59:06, #particle: 15, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 2577.41, max: 3413.33
Date: 09-15 at 14:00:17, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 2383.61, max: 3149.50
Date: 09-15 at 14:01:30, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1927.58, max: 2731.34
Date: 09-15 at 14:02:46, #particle: 15, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1217.74, max: 1590.91
Date: 09-15 at 14:03:59, #particle: 15, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1024.06, max: 1350.93
Date: 09-15 at 14:05:11, #particle: 15, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 963.43, max: 1141.80
Date: 09-15 at 14:06:19, #particle: 15, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 947.95, max: 1136.52
Date: 09-15 at 14:07:31, #particle: 15, iter: 59, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 3373.32, max: 3994.70
Date: 09-15 at 14:08:48, #particle: 15, iter: 60, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 3018.70, max: 3773.54
Date: 09-15 at 14:09:58, #particle: 15, iter: 61, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 2678.01, max: 3481.10
Date: 09-15 at 14:11:09, #particle: 15, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 2444.58, max: 3262.49
Date: 09-15 at 14:12:28, #particle: 15, iter: 64, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1336.56, max: 1760.11
Date: 09-15 at 14:13:36, #particle: 15, iter: 65, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1216.33, max: 1673.70
Date: 09-15 at 14:14:53, #particle: 15, iter: 66, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1106.67, max: 1609.97
Date: 09-15 at 14:16:09, #particle: 15, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 984.60, max: 1075.07
Date: 09-15 at 14:17:31, #particle: 15, iter: 69, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 975.68, max: 1158.30
Date: 09-15 at 14:18:41, #particle: 15, iter: 71, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 3364.55, max: 3968.54
Date: 09-15 at 14:19:51, #particle: 15, iter: 72, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 2715.61, max: 3577.29
Date: 09-15 at 14:21:01, #particle: 15, iter: 73, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 2103.45, max: 3170.35
Date: 09-15 at 14:22:15, #particle: 15, iter: 75, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1900.39, max: 2685.20
Date: 09-15 at 14:23:26, #particle: 15, iter: 76, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94, best obj: 828.94(10), mean: 1536.56, max: 2587.64
