Date: 09-16 at 21:17:21, #particle: 15, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 878.43(11), mean: 952.37, max: 1007.93
Date: 09-16 at 21:18:06, #particle: 15, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 878.43(11), mean: 929.90, max: 984.04
Date: 09-16 at 21:18:53, #particle: 15, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 878.43(11), mean: 1093.53, max: 1430.62
Date: 09-16 at 21:19:37, #particle: 15, iter: 43, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 878.43(11), mean: 1000.35, max: 1435.11
Date: 09-16 at 21:20:17, #particle: 15, iter: 44, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 878.43(11), mean: 983.27, max: 1409.01
Date: 09-16 at 21:21:01, #particle: 15, iter: 45, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 861.25(10), mean: 929.24, max: 993.40
Date: 09-16 at 21:21:44, #particle: 15, iter: 46, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 919.71, max: 975.75
Date: 09-16 at 21:22:25, #particle: 15, iter: 47, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 916.88, max: 1001.81
Date: 09-16 at 21:23:08, #particle: 15, iter: 48, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 906.17, max: 972.49
Date: 09-16 at 21:23:52, #particle: 15, iter: 49, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 903.88, max: 972.49
Date: 09-16 at 21:24:36, #particle: 15, iter: 50, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 903.30, max: 972.49
Date: 09-16 at 21:25:19, #particle: 15, iter: 52, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 1024.11, max: 1286.77
Date: 09-16 at 21:26:01, #particle: 15, iter: 53, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 980.16, max: 1287.04
Date: 09-16 at 21:26:43, #particle: 15, iter: 54, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 970.89, max: 1238.40
Date: 09-16 at 21:27:28, #particle: 15, iter: 55, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 856.62(10), mean: 916.85, max: 1002.16
