Date: 08-07 at 01:48:05, iter: 1, new3, Khoo: 954.16, current_best: 1330.04 best obj: 1330.04(4) mean: 2472.39, max: 3325.08
Date: 08-07 at 01:48:50, iter: 2, new3, Khoo: 954.16, current_best: 1252.59 best obj: 1252.59(4) mean: 2078.18, max: 3035.19
Date: 08-07 at 01:50:01, iter: 3, new3, Khoo: 954.16, current_best: 1239.71 best obj: 1239.71(4) mean: 1641.63, max: 2409.35
Date: 08-07 at 01:51:08, iter: 4, new3, Khoo: 954.16, current_best: 1196.89 best obj: 1196.89(8) mean: 1685.89, max: 2464.89
Date: 08-07 at 01:52:30, iter: 5, new3, Khoo: 954.16, current_best: 1151.67 best obj: 1151.67(8) mean: 1230.83, max: 1335.76
Date: 08-07 at 01:53:38, iter: 6, new3, Khoo: 954.16, current_best: 1116.59 best obj: 1116.59(8) mean: 1244.78, max: 1413.25
Date: 08-07 at 01:54:56, iter: 7, new3, Khoo: 954.16, current_best: 1076.52 best obj: 1076.52(8) mean: 1239.21, max: 1367.44
Date: 08-07 at 01:56:09, iter: 8, new3, Khoo: 954.16, current_best: 1054.65 best obj: 1054.65(8) mean: 1289.05, max: 1478.12
Date: 08-07 at 01:57:31, iter: 9, new3, Khoo: 954.16, current_best: 1052.65 best obj: 1052.65(8) mean: 1169.00, max: 1250.90
Date: 08-07 at 01:58:47, iter: 10, new3, Khoo: 954.16, current_best: 1052.65 best obj: 1052.65(8) mean: 1211.29, max: 1303.98
Date: 08-07 at 02:00:11, iter: 11, new3, Khoo: 954.16, current_best: 1052.65 best obj: 1052.65(8) mean: 1159.24, max: 1209.27
Date: 08-07 at 02:01:29, iter: 12, new3, Khoo: 954.16, current_best: 1052.65 best obj: 1052.65(8) mean: 1188.52, max: 1244.66
Date: 08-07 at 02:02:40, iter: 14, new3, Khoo: 954.16, current_best: 1052.65 best obj: 1052.65(8) mean: 1366.43, max: 1608.85
Date: 08-07 at 02:03:36, iter: 15, new3, Khoo: 954.16, current_best: 1052.65 best obj: 1052.65(8) mean: 1298.71, max: 1455.85
Date: 08-07 at 02:04:44, iter: 16, new3, Khoo: 954.16, current_best: 1012.12 best obj: 1012.12(7) mean: 1088.41, max: 1174.79
Date: 08-07 at 02:05:41, iter: 17, new3, Khoo: 954.16, current_best: 1012.12 best obj: 1012.12(7) mean: 1088.67, max: 1169.72
Date: 08-07 at 02:06:57, iter: 18, new3, Khoo: 954.16, current_best: 1012.12 best obj: 1012.12(7) mean: 1064.38, max: 1170.13
Date: 08-07 at 02:08:08, iter: 19, new3, Khoo: 954.16, current_best: 1012.12 best obj: 1012.12(7) mean: 1095.50, max: 1247.78
Date: 08-07 at 02:09:17, iter: 20, new3, Khoo: 954.16, current_best: 1003.41 best obj: 1003.41(7) mean: 1055.46, max: 1135.01
Date: 08-07 at 02:10:32, iter: 21, new3, Khoo: 954.16, current_best: 1003.41 best obj: 1003.41(7) mean: 1054.48, max: 1131.26
Date: 08-07 at 02:11:46, iter: 22, new3, Khoo: 954.16, current_best: 1003.41 best obj: 1003.41(7) mean: 1039.11, max: 1081.52
Date: 08-07 at 02:12:38, iter: 23, new3, Khoo: 954.16, current_best: 1003.41 best obj: 1003.41(7) mean: 1043.90, max: 1110.00
Date: 08-07 at 02:13:50, iter: 25, new3, Khoo: 954.16, current_best: 1003.41 best obj: 1003.41(7) mean: 1259.46, max: 1566.92
Date: 08-07 at 02:14:55, iter: 26, new3, Khoo: 954.16, current_best: 999.80 best obj: 999.80(6) mean: 1099.40, max: 1384.58
Date: 08-07 at 02:15:46, iter: 27, new3, Khoo: 954.16, current_best: 999.80 best obj: 999.80(6) mean: 1073.84, max: 1257.46
Date: 08-07 at 02:16:57, iter: 28, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1056.78, max: 1168.28
Date: 08-07 at 02:18:04, iter: 29, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1026.11, max: 1092.61
Date: 08-07 at 02:18:59, iter: 30, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1017.11, max: 1101.42
Date: 08-07 at 02:19:51, iter: 31, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1028.38, max: 1171.83
Date: 08-07 at 02:20:54, iter: 33, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1268.66, max: 1544.78
Date: 08-07 at 02:21:57, iter: 34, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1144.30, max: 1488.94
Date: 08-07 at 02:23:04, iter: 35, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1077.93, max: 1440.53
Date: 08-07 at 02:24:07, iter: 36, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1042.37, max: 1168.78
Date: 08-07 at 02:25:19, iter: 38, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1308.88, max: 1539.35
Date: 08-07 at 02:26:34, iter: 40, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(7) mean: 1143.00, max: 1321.79
Date: 08-07 at 02:27:38, iter: 41, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1228.39, max: 1567.66
Date: 08-07 at 02:28:54, iter: 42, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1186.46, max: 1576.31
Date: 08-07 at 02:29:45, iter: 44, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1337.38, max: 1564.78
Date: 08-07 at 02:30:45, iter: 45, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1187.02, max: 1497.09
Date: 08-07 at 02:31:35, iter: 46, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1144.10, max: 1356.60
Date: 08-07 at 02:32:53, iter: 47, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1125.42, max: 1341.55
Date: 08-07 at 02:34:07, iter: 49, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1369.16, max: 1553.96
Date: 08-07 at 02:35:22, iter: 50, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1208.92, max: 1423.66
Date: 08-07 at 02:36:39, iter: 52, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(7) mean: 1196.28, max: 1440.19
Date: 08-07 at 02:37:31, iter: 53, new3, Khoo: 954.16, current_best: 997.85 best obj: 1012.22(6) mean: 1298.85, max: 1674.53
Date: 08-07 at 02:38:43, iter: 55, new3, Khoo: 954.16, current_best: 997.85 best obj: 1006.10(6) mean: 1438.66, max: 1897.59
Date: 08-07 at 02:39:38, iter: 56, new3, Khoo: 954.16, current_best: 997.85 best obj: 1006.10(6) mean: 1335.89, max: 1753.20
Date: 08-07 at 02:40:38, iter: 57, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1211.61, max: 1656.37
Date: 08-07 at 02:41:34, iter: 58, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1201.20, max: 1647.31
Date: 08-07 at 02:42:50, iter: 60, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1435.74, max: 1894.74
Date: 08-07 at 02:44:01, iter: 61, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1310.19, max: 1904.15
Date: 08-07 at 02:45:18, iter: 62, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1215.71, max: 1731.78
Date: 08-07 at 02:46:35, iter: 64, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(7) mean: 1156.58, max: 1448.55
Date: 08-07 at 02:47:33, iter: 66, new3, Khoo: 954.16, current_best: 997.85 best obj: 1005.14(6) mean: 1523.84, max: 2098.90
Date: 08-07 at 02:48:42, iter: 68, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1871.15, max: 3032.66
Date: 08-07 at 02:49:40, iter: 69, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1248.63, max: 2408.12
Date: 08-07 at 02:50:41, iter: 70, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1116.85, max: 1216.99
Date: 08-07 at 02:51:39, iter: 72, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1345.94, max: 1599.38
Date: 08-07 at 02:52:53, iter: 73, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1266.87, max: 1614.32
Date: 08-07 at 02:53:54, iter: 74, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1190.16, max: 1595.57
Date: 08-07 at 02:55:03, iter: 75, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1169.38, max: 1478.61
Date: 08-07 at 02:56:24, iter: 78, new3, Khoo: 954.16, current_best: 997.85 best obj: 1248.36(7) mean: 1583.92, max: 1942.24
Date: 08-07 at 02:57:16, iter: 79, new3, Khoo: 954.16, current_best: 997.85 best obj: 1183.75(7) mean: 1433.11, max: 1819.01
Date: 08-07 at 02:58:26, iter: 80, new3, Khoo: 954.16, current_best: 997.85 best obj: 1001.63(6) mean: 1269.53, max: 1584.45
Date: 08-07 at 02:59:34, iter: 81, new3, Khoo: 954.16, current_best: 997.85 best obj: 1001.63(6) mean: 1233.93, max: 1537.93
Date: 08-07 at 03:00:40, iter: 83, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1301.16, max: 1607.51
Date: 08-07 at 03:01:27, iter: 84, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1196.31, max: 1549.59
Date: 08-07 at 03:02:30, iter: 85, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1104.15, max: 1417.66
Date: 08-07 at 03:03:19, iter: 86, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1069.88, max: 1182.77
Date: 08-07 at 03:04:24, iter: 88, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(6) mean: 1253.15, max: 1628.66
Date: 08-07 at 03:05:44, iter: 90, new3, Khoo: 954.16, current_best: 997.85 best obj: 997.85(7) mean: 1197.08, max: 1609.57
Date: 08-07 at 03:06:48, iter: 91, new3, Khoo: 954.16, current_best: 997.85 best obj: 1000.44(7) mean: 1219.98, max: 1633.66
Date: 08-07 at 03:07:53, iter: 92, new3, Khoo: 954.16, current_best: 997.85 best obj: 998.20(7) mean: 1180.46, max: 1632.82
Date: 08-07 at 03:09:06, iter: 94, new3, Khoo: 954.16, current_best: 997.85 best obj: 998.20(7) mean: 1280.97, max: 1577.97
Date: 08-07 at 03:10:14, iter: 95, new3, Khoo: 954.16, current_best: 997.85 best obj: 998.20(7) mean: 1211.61, max: 1541.71
