Date: 06-30 at 14:55:38, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1428.99(14) mean: 2692.46, max: 3523.16
Date: 06-30 at 14:56:28, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1344.28(14) mean: 2416.32, max: 3461.54
Date: 06-30 at 14:57:12, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1322.81(14) mean: 2179.71, max: 3210.35
Date: 06-30 at 14:57:57, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1322.81(14) mean: 1979.01, max: 2956.35
Date: 06-30 at 14:58:45, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1322.81(14) mean: 1974.64, max: 2922.34
Date: 06-30 at 14:59:36, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1304.62(11) mean: 1384.66, max: 1491.90
Date: 06-30 at 15:00:19, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1269.97(10) mean: 1449.20, max: 1563.33
Date: 06-30 at 15:01:08, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1430.61, max: 1616.40
Date: 06-30 at 15:01:54, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1389.41, max: 1642.05
Date: 06-30 at 15:02:41, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1354.35, max: 1452.29
Date: 06-30 at 15:03:30, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1318.75, max: 1439.06
Date: 06-30 at 15:04:12, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1380.82, max: 1506.41
Date: 06-30 at 15:05:01, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1339.41, max: 1469.49
Date: 06-30 at 15:05:44, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1357.20, max: 1515.80
Date: 06-30 at 15:06:28, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1416.19, max: 1595.65
Date: 06-30 at 15:07:19, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1251.20(9) mean: 1297.48, max: 1390.84
Date: 06-30 at 15:08:07, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1271.81, max: 1322.60
Date: 06-30 at 15:08:52, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1330.36, max: 1391.06
Date: 06-30 at 15:09:40, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1356.21, max: 1433.87
Date: 06-30 at 15:10:28, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1294.56, max: 1361.55
Date: 06-30 at 15:11:17, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1329.15, max: 1391.96
Date: 06-30 at 15:12:06, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1297.91, max: 1390.47
Date: 06-30 at 15:12:52, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1296.64, max: 1397.94
Date: 06-30 at 15:13:42, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1289.84, max: 1397.10
Date: 06-30 at 15:14:26, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1317.80, max: 1424.51
Date: 06-30 at 15:15:14, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1274.75, max: 1321.03
Date: 06-30 at 15:16:01, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.46(11) mean: 1302.68, max: 1377.56
Date: 06-30 at 15:16:49, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1245.45(11) mean: 1272.25, max: 1305.77
Date: 06-30 at 15:17:37, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1242.00(11) mean: 1278.51, max: 1343.11
Date: 06-30 at 15:18:28, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1242.00(11) mean: 1270.59, max: 1340.68
Date: 06-30 at 15:19:14, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1242.00(11) mean: 1266.43, max: 1323.19
Date: 06-30 at 15:20:02, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.36(12) mean: 1252.57, max: 1280.07
Date: 06-30 at 15:20:48, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1303.50, max: 1343.22
Date: 06-30 at 15:21:38, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1272.57, max: 1331.86
Date: 06-30 at 15:22:23, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1322.81, max: 1388.21
Date: 06-30 at 15:23:14, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1268.56, max: 1346.42
Date: 06-30 at 15:23:58, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1275.44, max: 1363.39
Date: 06-30 at 15:24:46, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1258.73, max: 1321.88
Date: 06-30 at 15:25:34, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1266.70, max: 1283.33
Date: 06-30 at 15:26:20, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1295.10, max: 1324.24
Date: 06-30 at 15:27:10, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1259.46, max: 1277.92
Date: 06-30 at 15:27:56, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1305.69, max: 1333.13
Date: 06-30 at 15:28:46, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1239.28(12) mean: 1309.69, max: 1348.62
Date: 06-30 at 15:29:33, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1270.40, max: 1384.98
Date: 06-30 at 15:30:23, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1247.26, max: 1295.01
Date: 06-30 at 15:31:12, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1245.60, max: 1278.36
Date: 06-30 at 15:31:57, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1246.50, max: 1305.39
Date: 06-30 at 15:32:45, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1245.49, max: 1294.18
Date: 06-30 at 15:33:33, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1258.49, max: 1329.85
Date: 06-30 at 15:34:24, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1248.56, max: 1289.21
Date: 06-30 at 15:35:11, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1246.41, max: 1280.63
Date: 06-30 at 15:35:57, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1238.74(12) mean: 1264.83, max: 1348.86
Date: 06-30 at 15:36:46, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1232.24(11) mean: 1250.55, max: 1343.41
Date: 06-30 at 15:37:35, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1232.24(11) mean: 1243.87, max: 1265.46
Date: 06-30 at 15:38:20, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1232.24(11) mean: 1249.24, max: 1312.86
Date: 06-30 at 15:39:07, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 1144.48 best obj: 1232.24(11) mean: 1251.80, max: 1333.84
