Date: 07-13 at 15:15:04, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1512.66(14) mean: 3610.83, max: 4163.45
Date: 07-13 at 15:16:20, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1381.26(14) mean: 3558.25, max: 4172.62
Date: 07-13 at 15:17:38, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1282.43(14) mean: 3325.14, max: 3805.17
Date: 07-13 at 15:18:51, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1235.60(14) mean: 3308.76, max: 3778.20
Date: 07-13 at 15:20:07, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1222.89(14) mean: 3325.26, max: 3784.39
Date: 07-13 at 15:21:23, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1211.91(14) mean: 3309.27, max: 3772.48
Date: 07-13 at 15:22:40, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1200.11(13) mean: 3343.56, max: 3809.79
Date: 07-13 at 15:23:56, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1160.09(16) mean: 1325.60, max: 1464.70
Date: 07-13 at 15:25:07, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1085.74(14) mean: 1363.20, max: 1499.80
Date: 07-13 at 15:26:18, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 1071.24(14) mean: 1325.33, max: 1529.36
Date: 07-13 at 15:27:26, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 983.87(12) mean: 1218.22, max: 1513.94
Date: 07-13 at 15:28:34, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 962.47(12) mean: 1101.27, max: 1210.67
Date: 07-13 at 15:29:43, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 902.71(11) mean: 1126.81, max: 1277.52
Date: 07-13 at 15:30:50, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 902.71(11) mean: 1054.69, max: 1227.84
Date: 07-13 at 15:31:59, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 895.74(11) mean: 976.80, max: 1064.58
Date: 07-13 at 15:33:06, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 859.02(11) mean: 947.65, max: 1078.15
Date: 07-13 at 15:34:10, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 928.47, max: 1053.42
Date: 07-13 at 15:35:13, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 903.80, max: 960.63
Date: 07-13 at 15:36:17, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 900.34, max: 960.63
Date: 07-13 at 15:37:22, iter: 20, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 894.22, max: 951.80
Date: 07-13 at 15:38:26, iter: 21, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 884.41, max: 950.63
Date: 07-13 at 15:39:33, iter: 23, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 901.52, max: 1088.63
Date: 07-13 at 15:40:34, iter: 24, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 880.72, max: 955.17
Date: 07-13 at 15:41:37, iter: 25, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 880.68, max: 954.51
Date: 07-13 at 15:42:43, iter: 26, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 878.37, max: 986.66
Date: 07-13 at 15:44:01, iter: 28, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 881.36, max: 977.28
Date: 07-13 at 15:45:10, iter: 29, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 880.18, max: 1018.49
Date: 07-13 at 15:46:09, iter: 30, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 867.58, max: 1006.69
Date: 07-13 at 15:47:08, iter: 31, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 861.85, max: 920.76
Date: 07-13 at 15:48:21, iter: 33, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 861.46, max: 944.81
Date: 07-13 at 15:49:26, iter: 34, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 844.82, max: 916.33
Date: 07-13 at 15:50:26, iter: 35, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 842.59, max: 922.45
Date: 07-13 at 15:51:32, iter: 36, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 832.13, max: 856.45
Date: 07-13 at 15:52:46, iter: 38, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 837.57, max: 958.43
Date: 07-13 at 15:53:49, iter: 39, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-13 at 15:54:46, iter: 40, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-13 at 15:55:49, iter: 41, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-13 at 15:57:05, iter: 43, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 831.02, max: 860.11
Date: 07-13 at 15:58:01, iter: 44, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 829.46, max: 836.76
