Date: 11-06 at 12:36:28, #particle: 5, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1730.75(16), mean: 2703.82, max: 3229.22
Date: 11-06 at 12:36:53, #particle: 5, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1640.88(16), mean: 2682.64, max: 3220.32
Date: 11-06 at 12:37:21, #particle: 5, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1530.22(15), mean: 1685.00, max: 1793.32
Date: 11-06 at 12:37:45, #particle: 5, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1529.46(15), mean: 1745.44, max: 1879.91
Date: 11-06 at 12:38:10, #particle: 5, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1529.46(15), mean: 1776.34, max: 1913.96
Date: 11-06 at 12:38:35, #particle: 5, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1529.46(15), mean: 1763.37, max: 1957.79
Date: 11-06 at 12:39:01, #particle: 5, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1529.46(15), mean: 1842.53, max: 2068.06
Date: 11-06 at 12:39:23, #particle: 5, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1529.46(15), mean: 1894.27, max: 2137.64
Date: 11-06 at 12:39:49, #particle: 5, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1529.46(15), mean: 1637.19, max: 1800.08
Date: 11-06 at 12:40:12, #particle: 5, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1529.46(15), mean: 1650.28, max: 1847.99
Date: 11-06 at 12:40:35, #particle: 5, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1529.46(15), mean: 1703.69, max: 1932.87
Date: 11-06 at 12:41:01, #particle: 5, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1508.72(15), mean: 1601.57, max: 1754.63
Date: 11-06 at 12:41:24, #particle: 5, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1261.67, best obj: 1481.74(15), mean: 1644.83, max: 1821.72
