Date: 07-04 at 23:26:56, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1395.06(10) mean: 1508.61, max: 1881.87
Date: 07-04 at 23:28:21, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1381.67(9) mean: 1482.43, max: 1888.94
Date: 07-04 at 23:29:40, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1371.80(9) mean: 1507.22, max: 1913.07
Date: 07-04 at 23:30:55, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1370.97(9) mean: 1436.44, max: 1530.10
Date: 07-04 at 23:32:19, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1370.97(9) mean: 1435.60, max: 1559.24
Date: 07-04 at 23:33:43, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1367.98(10) mean: 1401.57, max: 1462.02
Date: 07-04 at 23:35:27, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1363.80(10) mean: 1387.03, max: 1462.51
Date: 07-04 at 23:36:55, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1349.14(10) mean: 1381.31, max: 1434.30
Date: 07-04 at 23:38:18, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1348.93(10) mean: 1370.76, max: 1416.38
Date: 07-04 at 23:39:47, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1333.18(10) mean: 1366.73, max: 1392.39
Date: 07-04 at 23:41:04, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1333.18(10) mean: 1359.17, max: 1381.27
Date: 07-04 at 23:42:26, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1333.18(10) mean: 1387.20, max: 1421.42
Date: 07-04 at 23:43:58, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1333.18(10) mean: 1367.71, max: 1398.15
Date: 07-04 at 23:45:34, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1333.18(10) mean: 1365.78, max: 1398.15
Date: 07-04 at 23:47:05, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1333.18(10) mean: 1603.57, max: 1939.63
Date: 07-04 at 23:48:19, iter: 59, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1333.18(10) mean: 1396.03, max: 1626.38
Date: 07-04 at 23:49:39, iter: 60, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1333.18(10) mean: 1369.85, max: 1427.41
Date: 07-04 at 23:51:03, iter: 61, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.79(9) mean: 1350.23, max: 1391.74
Date: 07-04 at 23:52:26, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.79(9) mean: 1343.23, max: 1378.85
Date: 07-04 at 23:53:39, iter: 63, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.75(9) mean: 1346.64, max: 1420.09
Date: 07-04 at 23:54:53, iter: 64, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.75(9) mean: 1346.71, max: 1417.45
Date: 07-04 at 23:56:09, iter: 65, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.75(9) mean: 1340.22, max: 1369.05
Date: 07-04 at 23:57:19, iter: 66, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.75(9) mean: 1372.67, max: 1454.87
Date: 07-04 at 23:58:42, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1325.75(9) mean: 1335.19, max: 1389.06
Date: 07-04 at 23:59:57, iter: 69, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1323.53(10) mean: 1553.47, max: 1793.03
Date: 07-05 at 00:01:16, iter: 70, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1304.52(10) mean: 1389.00, max: 1574.84
Date: 07-05 at 00:02:29, iter: 71, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1302.75(9) mean: 1400.25, max: 1487.43
Date: 07-05 at 00:03:41, iter: 72, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1302.75(9) mean: 1402.04, max: 1522.79
Date: 07-05 at 00:05:01, iter: 73, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1302.75(9) mean: 1362.04, max: 1445.36
Date: 07-05 at 00:06:14, iter: 74, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1302.75(9) mean: 1356.44, max: 1440.38
Date: 07-05 at 00:07:36, iter: 75, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.83(10) mean: 1346.07, max: 1466.17
Date: 07-05 at 00:08:51, iter: 76, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.83(10) mean: 1336.67, max: 1489.05
Date: 07-05 at 00:10:13, iter: 77, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.83(10) mean: 1321.03, max: 1390.78
Date: 07-05 at 00:11:25, iter: 78, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.83(10) mean: 1317.59, max: 1390.78
Date: 07-05 at 00:12:56, iter: 79, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1321.64, max: 1402.12
Date: 07-05 at 00:14:31, iter: 80, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1326.28, max: 1415.81
Date: 07-05 at 00:15:50, iter: 81, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1313.22, max: 1367.73
Date: 07-05 at 00:17:06, iter: 82, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1310.52, max: 1353.98
Date: 07-05 at 00:18:18, iter: 83, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1309.29, max: 1353.98
Date: 07-05 at 00:19:57, iter: 85, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1544.71, max: 1742.61
Date: 07-05 at 00:21:19, iter: 86, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1417.54, max: 1735.80
Date: 07-05 at 00:22:43, iter: 87, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1365.54, max: 1489.77
Date: 07-05 at 00:23:51, iter: 88, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1366.40, max: 1476.79
Date: 07-05 at 00:25:11, iter: 90, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1554.83, max: 1837.51
Date: 07-05 at 00:26:22, iter: 91, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1365.42, max: 1451.07
Date: 07-05 at 00:27:40, iter: 92, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1301.57(9) mean: 1365.28, max: 1452.03
Date: 07-05 at 00:29:05, iter: 93, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1299.37(9) mean: 1351.63, max: 1418.06
Date: 07-05 at 00:30:45, iter: 94, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1299.37(9) mean: 1355.89, max: 1426.51
Date: 07-05 at 00:32:00, iter: 95, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1299.37(9) mean: 1341.92, max: 1411.80
Date: 07-05 at 00:33:08, iter: 96, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1299.37(9) mean: 1362.87, max: 1478.87
Date: 07-05 at 00:34:29, iter: 97, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1299.37(9) mean: 1349.67, max: 1460.92
Date: 07-05 at 00:35:38, iter: 99, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1299.37(9) mean: 1570.15, max: 2030.08
Date: 07-05 at 00:37:07, iter: 100, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1299.37(9) mean: 1517.41, max: 2033.25
Date: 07-05 at 00:38:21, iter: 101, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1296.71(8) mean: 1433.23, max: 1893.59
Date: 07-05 at 00:39:44, iter: 102, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1296.71(8) mean: 1360.88, max: 1513.62
Date: 07-05 at 00:41:05, iter: 103, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1296.71(8) mean: 1345.85, max: 1495.62
Date: 07-05 at 00:42:30, iter: 104, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1296.71(8) mean: 1338.14, max: 1421.72
Date: 07-05 at 00:43:55, iter: 105, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1296.71(8) mean: 1332.21, max: 1418.81
