Date: 12-02 at 08:09:58, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1587.55(15), mean: 2446.33, max: 3030.64
Date: 12-02 at 08:10:52, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1497.22(14), mean: 2493.74, max: 3077.25
Date: 12-02 at 08:11:57, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1439.25(14), mean: 1585.64, max: 1769.16
Date: 12-02 at 08:12:47, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1426.11(14), mean: 1624.38, max: 1799.84
Date: 12-02 at 08:13:39, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1424.81(14), mean: 1694.56, max: 1903.92
Date: 12-02 at 08:14:38, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1424.81(14), mean: 1702.91, max: 1900.29
Date: 12-02 at 08:15:31, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1424.81(14), mean: 1651.77, max: 1896.12
Date: 12-02 at 08:16:29, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1407.67(15), mean: 1590.75, max: 1834.27
Date: 12-02 at 08:17:27, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1406.49(15), mean: 1605.86, max: 1903.03
Date: 12-02 at 08:18:17, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1406.38(15), mean: 1656.29, max: 1947.33
Date: 12-02 at 08:19:16, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1406.38(15), mean: 1537.03, max: 1915.42
Date: 12-02 at 08:20:10, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1406.38(15), mean: 1508.53, max: 1601.10
Date: 12-02 at 08:21:03, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1388.03(14), mean: 1533.06, max: 1667.21
Date: 12-02 at 08:21:58, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1534.64, max: 1671.89
Date: 12-02 at 08:22:52, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1528.53, max: 1711.90
Date: 12-02 at 08:23:45, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1542.62, max: 1781.47
Date: 12-02 at 08:24:43, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1479.03, max: 1634.03
Date: 12-02 at 08:25:37, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1541.63, max: 1716.79
Date: 12-02 at 08:26:36, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 2511.69, max: 2986.38
Date: 12-02 at 08:27:41, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1530.64, max: 1647.99
Date: 12-02 at 08:28:30, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1573.95, max: 1722.20
Date: 12-02 at 08:29:21, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1590.07, max: 1726.56
Date: 12-02 at 08:30:18, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 2474.35, max: 2817.47
Date: 12-02 at 08:31:20, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1212.83, best obj: 1369.49(14), mean: 1574.49, max: 1691.45
